id,fold,type,label,text1,text2
because-CHRG-110hhrg44900-2.ann-E26,2,Purpose,cause,deal with a problem that's here and now,our department work creatively with the Department of Education
because-1853772.ann-E3,3,Consequence,cause,so freely,Mr. Bush looked a tad sheepish when Prime Minister Sali Berisha proclaimed him ``the greatest and most distinguished guest we have ever had in all times.''
because-wsj_1446.ann-E3,4,Motivation,cause,a caller reaches Telelawyer by dialing 900-TELELAW,a receptionist refers the call to one of six attorneys
because-wsj_1630.ann-E2,5,Motivation,cause,the bank's new back office center is completed in 1993,most of whom will be moved to downtown Brooklyn
because-CHRG-110hhrg44900-1.ann-E43,6,Consequence,cause,a run-on-the-bank type crises,irreparable harm
because-20020731-nyt.ann-E156,7,Motivation,cause,both are former attorneys general,"Two of the court's members, Chief Justice Deborah T. Poritz and Justice Peter G. Verniero, did not participate in the Nelson case"
because-wsj_1971.ann-E14,8,Consequence,obstruct,difficulty in distributing software for it,Broad acceptance of Next's computer
because-1852197.ann-E26,9,Motivation,cause,the Stryker unit has moved on to a different area of Baghdad,"there's been a reinfiltration'' by Shiite fighters and intimidation squads, who had left the area when the operation began"
because-1853957.ann-E14,0,Consequence,cause,the new procedures,much more accountability than in the past
because-CHRG-110hhrg44900-2.ann-E92,1,Motivation,cause,having these hearings,acknowledge also Chairman Frank
because-1854364.ann-E15,2,Consequence,cause,the Iraqi security forces be expanded again next year,meet requirements for forces in Baghdad
because-wsj_2465.ann-E10,3,Consequence,cause,journalists and their families are subject to the crudest form of censorship: death by assassination,the state of press freedom in the Americas still must be regarded as grim
because-1852704.ann-E6,4,Purpose,cause,"hunt down P.K.K. rebels, who favor an independent Kurdistan",send troops over the border
because-1853336.ann-E4,5,Motivation,cause,doing business in Iran,"the State Department imposed sanctions on Sukhoi -- a Boeing partner even at the time, though a company better known as a maker of fighter jets"
because-1855590.ann-E13,6,Consequence,cause,three exploded,casualties
because-wsj_1397.ann-E8,7,Purpose,cause,try a little linguine,I'm going home
because-CHRG-110hhrg44900-2.ann-E51,8,Purpose,cause,the borrower can stay in the home,you're giving a break to the borrower
because-wsj_1829.ann-E8,9,Consequence,cause,a just-in-time manufacturing approach that limits the buildup of inventory,which has only a four-day supply of microprocessors from the Valley on hand
because-1852197.ann-E27,0,Motivation,cause,the operation began,who had left the area
because-1852912.ann-E2,1,Motivation,cause,news of the attack by Muslim extremists on a Marine Corps barracks in Beirut that killed 241 service members,"Colonel Chessani, then a teenager from Rangely, Colo. follow two brothers into the service"
because-1821059.ann-E30,2,Consequence,cause,there are some members who think there is no benefit to attending,they should resign
because-1852142.ann-E4,3,Consequence,cause,"Mr. Bush sticks to his administration's pledge to have its efforts feed into United Nations climate discussions, which resume in Bali in December",that will work
because-wsj_1413.ann-E2,4,Consequence,cause,the request is approved by both the House and Senate,Mr. Cheney would need only permission from the White House Office of Management and Budget to move the money
because-1851335.ann-E13,5,Purpose,cause,hold police commanders responsible for upticks in crime under their commands,real-time information was used
because-1852912.ann-E1,6,Motivation,cause,news of the attack by Muslim extremists on a Marine Corps barracks in Beirut that killed 241 service members,"Colonel Chessani, then a teenager from Rangely, Colo. embrace Christianity"
because-wsj_1121.ann-E18,7,Motivation,cause,they spy one,the company will pay a bonus equal to one-third its value
because-1854626.ann-E1,8,Motivation,cause,changes in his positions on other social issues,who as a presidential candidate has already drawn criticism
because-wsj_2125.ann-E5,9,Consequence,cause,lower prices,his management team in their proposed LBO
because-1852142.ann-E13,0,Purpose,cause,approval,The Kyoto pact was sent to the Senate
because-1852935.ann-E13,1,Purpose,cause,combat ``the long-term forces of terrorism,adopt a more multilateral approach
because-CHRG-110hhrg44900-1.ann-E133,2,Motivation,cause,having done a good job in the current legal context of dealing with these problems,I congratulate the officials of this Administration
because-CHRG-110hhrg44900-1.ann-E126,3,Consequence,obstruct,too big or interconnected,fail
because-1820510.ann-E1,4,Consequence,cause,improper orders,the deaths of four unarmed Iraqi men during a raid in May
because-wsj_1971.ann-E7,5,Purpose,cause,evaluation purposes,they are buying small numbers
because-20020731-nyt.ann-E12,6,Motivation,cause,sexual and official misconduct,"it recommended that Bob Packwood, an Oregon Republican, be expelled"
because-1853957.ann-E11,7,Motivation,cause,Democratic accusations of earmark abuse under Republican control,still smarting
because-1855590.ann-E24,8,Consequence,cause,an improvised explosive device exploded near a foot patrol in a southern part of the capital,one soldier was killed late Sunday
because-wsj_1457.ann-E5,9,Consequence,cause,whose last big campaign,put George Bush in the White House
because-1854005.ann-E9,0,Consequence,cause,a provision in an immigration bill,it harder for legal immigrants in the United States to bring over spouses or children
because-CHRG-110hhrg44900-2.ann-E39,1,Consequence,cause,sloppy and lax mortgage origination procedures,a lot of this problem came about
because-wsj_1803.ann-E24,2,Purpose,cause,help family and friends,get there
because-1818333.ann-E4,3,Purpose,cause,let the Iraqi factions fight it out,pulling back
because-1855233.ann-E11,4,Consequence,obstruct,too late,the army come up with a strategy that would lead to its successful withdrawal
because-1855594.ann-E11,5,Consequence,cause,North Korea,"inspectors verify and monitor the shutdown in return for a 50,000-ton shipment of fuel oil"
because-1854824.ann-E2,6,Motivation,cause,saying the war was ``lost.'',"He attacks Senator Harry Reid, the Democratic leader"
because-CHRG-110hhrg44900-2.ann-E49,7,Motivation,cause,"after we get finished with all of the President's HOPE NOW program and the money that we are giving to NeighborWorks and other organizations to do counseling, they can't do very much good, because the servicers are the ones who make the decisions",I want to know if you have anything in your plans to deal with them
because-1824078.ann-E4,8,Consequence,obstruct,One change,employees who have won jury awards also collecting full disability pensions
because-1852919.ann-E7,9,Consequence,cause,disclosing confidential information about Al Yamamah,the damage that ending the investigation was designed to prevent
because-1854575.ann-E10,0,Consequence,cause,Mr. Spitzer's arrival in Albany,the bill go through
because-wsj_0026.ann-E1,1,Motivation,cause,a petition filed by Timex Inc. for changes in the U.S. Generalized System of Preferences for imports from developing nations,The action came
because-wsj_2070.ann-E1,2,Consequence,cause,profit-taking on short positions,the currency rebound to close mixed against major counterparts
because-wsj_1849.ann-E5,3,Consequence,cause,the course of human progress has now culminated in the glorious full stop of American civilization,"history is, so to speak, at an end"
because-CHRG-110hhrg44900-1.ann-E19,4,Consequence,cause,the fast action of the Federal Reserve in cooperation with the SEC and the Treasury,we dodged a bullet when Bear Stearns collapsed
because-wsj_1874.ann-E6,5,Purpose,cause,determine'' where interest rates are heading,the bond market will go back to looking at the next batch of economic numbers
because-wsj_1849.ann-E6,6,Consequence,cause,"society decides it's okay, necessary even, to look the other way",Builders get away with using sand and financiers junk
because-wsj_1700.ann-E3,7,Consequence,cause,their ideology and methods,they squeeze out everyone else
because-wsj_1874.ann-E14,8,Purpose,cause,rescue the nation's troubled thrifts,created
because-CHRG-110hhrg44900-1.ann-E64,9,Motivation,obstruct,the lender is sure that the borrower will be able to repay,a lender not lending to a borrower
because-1852142.ann-E25,0,Purpose,cause,say what you've done yesterday,Give us a press conference
because-1819714.ann-E3,1,Consequence,cause,it only helped ease the burden of repayment for graduates,the measure did nothing to improve access to college
because-ArticleIP_1060.ann-E26,2,Consequence,cause,Some,multiple doctors certify the findings
because-wsj_1649.ann-E10,3,Consequence,cause,A little more care in re-creating Marlowe's universe,the book that much more enjoyable
because-1855590.ann-E18,4,Consequence,cause,you stay divided,Al Qaeda will stay and the occupation will stay
because-wsj_1121.ann-E11,5,Purpose,cause,drink from water sprinklers,"gemsbok, hardy antelope with long straight horns, wander in from the desert"
because-wsj_1450.ann-E18,6,Motivation,cause,fear for their lives,some entrepreneurs may give up a business
because-wsj_1450.ann-E36,7,Consequence,cause,a small-business person is scheduled to testify against a robbery suspect,Small-business patrols would be an especially helpful gesture
because-wsj_1971.ann-E3,8,Consequence,cause,buyers pay full price,"The hard drive, which is the storage device of choice for virtually every desktop computer user, also now will supplement Next's futuristic optical device"
because-wsj_1353.ann-E16,9,Motivation,cause,criticizing the 49-nation group's call for Pretoria to ease apartheid,Australia and Canada also assailed the British prime minister
because-wsj_2125.ann-E14,0,Consequence,cause,Prices for retail chains are lower today than they were last week,management
because-CHRG-110hhrg44900-2.ann-E98,1,Consequence,cause,we create interest rates below market rates,our monetary policy disrupts the markets
because-CHRG-110hhrg44900-1.ann-E196,2,Consequence,cause,it is true that speculators bear blame,"To the extent that we can glean further insight from our panelists today, that would be of tremendous help"
because-CHRG-110hhrg44900-2.ann-E58,3,Purpose,cause,"prevent self-fulfilling prophesies, to use, you know, Jeffrey Lacker's words, with respect to runs on our financial institutions",that can provide a sense of security
because-1851286.ann-E11,4,Motivation,obstruct,that relationship is healed,"cooperation will continue to suffer, as will the communities themselves"
because-1852197.ann-E19,5,Consequence,cause,"the battalion, commanded by Lt. Col. Patrick Frank, moved in",it was replacing a lone American Army company of 125 soldiers
because-CHRG-110hhrg44900-1.ann-E201,6,Consequence,obstruct,regulation alone,all future bouts of market instability
because-20020731-nyt.ann-E82,7,Consequence,cause,you have the will and the dedication here,you can learn a lot and be something
because-1851278.ann-E4,8,Purpose,cause,secure the area and allow engineers to move in and repair and upgrade the dam,open the route in Helmand up to the Kajaki dam this year
because-CHRG-110hhrg44900-2.ann-E21,9,Motivation,cause,over the next 9-month period the Congress is not able to act and you discern that the powers you have are not adequate to meet the challenges,take certain actions to prevent systemic risk
because-20020731-nyt.ann-E147,0,Consequence,cause,your actions and failure to act,at least the appearance of impropriety
because-CHRG-110hhrg44900-1.ann-E169,1,Consequence,cause,additional time,work through these challenges
because-1851265.ann-E35,2,Purpose,cause,avoid hundreds of millions of dollars in corporate income taxes,U.P.S. engaged in sham transactions
because-1851265.ann-E26,3,Purpose,cause,wipe out prior capital gains,that could be carried back
because-1855648.ann-E25,4,Motivation,cause,"he claimed Satan had ordered him to kill two boys, ages 6 and 9",institutionalized
because-wsj_1603.ann-E4,5,Motivation,cause,his troubles,Mr. Chan was jailed three times between 1960 and 1974
because-CHRG-110hhrg44900-2.ann-E64,6,Purpose,cause,"strengthen the infrastructure we have, the over-the-counter derivative market, the tri-party repossession market, and that which is secured financing between institutions",do some things
because-CHRG-110hhrg44900-2.ann-E96,7,Consequence,cause,we didn't have enough regulation,it must have happened
because-1853336.ann-E9,8,Consequence,cause,Aeroflot,a delivery agreement for 2010 expire
because-1852710.ann-E12,9,Consequence,cause,the Normandy invasion,who died
because-1851265.ann-E21,0,Purpose,cause,generate the claimed loss,used by the company
because-CHRG-110hhrg44900-2.ann-E3,1,Purpose,cause,strengthen the oversight under existing statutes,we can do
because-20020731-nyt.ann-E5,2,Motivation,cause,the committee released its letter publicly,"Torricelli took the Senate floor Tuesday night to apologize to the people of New Jersey for allowing his seat in the chamber ""to be placed in this position."""
because-Article247_327.ann-E7,3,Consequence,cause,it has published three times since the initial omission,it scores an additional three points
because-NYTnewswire4.ann-E8,4,Consequence,cause,Eli has put on about 15 pounds and weighs about 220,his size is closer to Peyton's
because-wsj_1603.ann-E7,5,Purpose,cause,determine if he was ``a real working man or an exploiter.'',He was further questioned
because-wsj_1446.ann-E18,6,Purpose,cause,settle with states,pay $11.5 million overall
because-ArticleIP_1060.ann-E23,7,Consequence,cause,the ventilator,too much oxygen
because-CHRG-110hhrg44900-1.ann-E106,8,Consequence,cause,unconstrained risk-taking in a group of financial institutions outside the commercial banking system,threats to the systemic stability of the economy
because-20020731-nyt.ann-E13,9,Motivation,cause,CONDUCT RELATED TO GIFTS,SENATE ETHICS PANEL ADMONISHES NEW JERSEY SENATOR
because-wsj_2465.ann-E3,0,Consequence,cause,They bombed the Bogota offices last month,$2.5 million in damage
because-wsj_1971.ann-E12,1,Consequence,cause,the optical device,the delays
because-1851265.ann-E29,2,Consequence,cause,the economic substance doctrine were turned into a law with profit requirements,"such legitimate and common transactions as liquidating a controlled subsidiary, conducting a spinoff for antitrust reasons, and stock repurchases through surplus funds could be deemed illegitimate"
because-CHRG-110hhrg44900-1.ann-E25,3,Purpose,cause,preserve market discipline and discourage moral hazard,we must see to it that no firm should be considered too big or interconnected to fail
because-CHRG-110hhrg44900-2.ann-E52,4,Motivation,cause,our time constraints,"Let me ask, Mr. Secretary, that you respond in writing on the servicer issue"
because-20020731-nyt.ann-E46,5,Consequence,cause,"trials that Powell said the United States had ""always felt"" were flawed",who is serving a 15-year sentence on charges of sodomy and abuse of power
because-1822572.ann-E23,6,Motivation,cause,the new governor warned last Friday that health care spending must reflect the patients' needs and not politics and entrenched interests -- a statement that Mr. Rivera interpreted as an attack on 1199,now he sees a major fight looming with Mr. Spitzer
because-CHRG-110hhrg44900-1.ann-E208,7,Consequence,cause,the necessary procedures and controls,manage the risks that they face
because-1821517.ann-E22,8,Purpose,cause,investigate reports that Saddam Hussein was trying to buy uranium from Niger for his nuclear weapons program,who had been sent to Africa
because-1821517.ann-E14,9,Motivation,cause,receiving a query from Andrea Mitchell of NBC,"Stephen J. Hadley, the deputy national security adviser, expressed anger"
because-1854626.ann-E10,0,Motivation,cause,that reason,"he supports stem cell research on new and existing lines, in both private and federally funded settings"
because-wsj_1504.ann-E13,1,Consequence,cause,It increases employee commitment to the company,all
because-1822572.ann-E10,2,Consequence,obstruct,the police intervened,the factions fighting
because-wsj_1829.ann-E1,3,Consequence,cause,damaged roadways,many workers were forced to stay home
because-wsj_1963.ann-E1,4,Motivation,cause,efforts to streamline the House version in advance of a House-Senate conference broke down,Hopes for quick enactment of pending deficit-reduction legislation faded
because-wsj_1455.ann-E11,5,Consequence,cause,Living in Hong Kong,"him sensitive to the limits on food, power and water supplies"
because-1852710.ann-E6,6,Motivation,cause,it seeks allies against Islamic radicalism and European help through NATO for the fighting in Afghanistan,the Bush administration more recently has made efforts to heal the trans-Atlantic rift
because-wsj_2465.ann-E4,7,Motivation,cause,the extraordinary courage of its publisher and his staff,El Espectador has been a special target
because-CHRG-110hhrg44900-2.ann-E85,8,Consequence,cause,Bear Stearns' trading operation,risk to its clearing operations
because-1855648.ann-E31,9,Motivation,cause,insanity,not guilty
because-wsj_1044.ann-E9,0,Consequence,cause,the Senate approved the House-passed measure,The action
because-20020731-nyt.ann-E124,1,Consequence,cause,documents unearthed during the five-year legal battle over its ownership,its Maltese Falconesque history only recently came to light
because-20020731-nyt.ann-E52,2,Purpose,cause,play a pivotal part in the Expos' playoff plans,outfielder Cliff Floyd was imported to Montreal
because-wsj_1931.ann-E11,3,Motivation,cause,suggestions by Bank of Japan Governor Satoshi Sumita that appeared to advise Japanese investors to be very careful in investing in U.S. leveraged buy-outs,nervousness over the recent sharp dive in stock prices could intensify
because-1851266.ann-E11,4,Motivation,cause,existing conditions continuing,India's unilateral commitment not to test nuclear weapons
because-1853336.ann-E2,5,Consequence,cause,relations between Russia and the United States soured,which had appeared dead last year
because-CHRG-110hhrg44900-1.ann-E182,6,Motivation,cause,our financial firms are highly intertwined,Steps are being taken to improve market infrastructure
because-1851286.ann-E4,7,Consequence,cause,the life of the witness may be in jeopardy,courts should consider not putting the documents online
because-1854005.ann-E8,8,Purpose,cause,eliminate a provision in an immigration bill that would have made it harder for legal immigrants in the United States to bring over spouses or children,the two worked together
because-wsj_2033.ann-E16,9,Purpose,cause,justify cash caches to the IRS,People often cite frugality and distrust of banks
because-20020731-nyt.ann-E187,0,Consequence,cause,they significantly upgrade older plants,install modern pollution controls
because-1855648.ann-E4,1,Consequence,obstruct,too mentally impaired,vote
because-1852197.ann-E24,2,Consequence,obstruct,the American military began providing security,Gunmen regularly attacked trash trucks when they entered Sunni areas
because-wsj_0184.ann-E2,3,Motivation,obstruct,"they determine which employees, and how many, will participate in the retirement plan",they couldn't estimate the size of the charge
because-Article247_327.ann-E24,4,Motivation,cause,"having ""eventually convinced"" Broaddrick to grant an interview to the New York Times (as the Times reports in today's story)",awarding Rabinowitz bonus points
because-wsj_1874.ann-E24,5,Consequence,cause,the quake,``wide-scale credit deterioration'' for issuers and debt issues in the 12-county area of Northern California affected by the quake
because-wsj_1450.ann-E21,6,Consequence,cause,Underclass neighborhoods offer relatively few employment opportunities,the poverty of local residents
because-CHRG-110hhrg44900-1.ann-E113,7,Motivation,cause,the Bear Stearns episode,the Congress may wish to consider whether new tools are needed for ensuring an orderly liquidation of a systemically important securities firm that is on the verge of bankruptcy together with a more formal process for deciding when to use those tools
because-1855594.ann-E7,8,Motivation,cause,"the United States accused the bank, Banco Delta Asia, of complicity in financial crimes on behalf of North Korea",The money was frozen
because-CHRG-110hhrg44900-2.ann-E74,9,Consequence,cause,do,be safe and sound
because-CHRG-110hhrg44900-2.ann-E134,0,Consequence,cause,considering intervention by the regulators,distinguish between fundamental and nonfundamental runs on financial institutions
because-wsj_1450.ann-E30,1,Consequence,cause,enough police,satisfy small businesses
because-CHRG-111shrg61651.ann-E36,2,Motivation,cause,"the issue of size, I think, is also relevant","I think the two keys to Mr. Volcker's suggestion, that of segregation of function within the industry and particularly the protection of the large deposit-taking institutions and the idea of being concerned about size, have merit and deserve the consideration of this Committee"
because-1851266.ann-E12,3,Motivation,cause,"China, Pakistan or another country were to test",clearly India cannot be expected to continue its moratorium
because-1851335.ann-E7,4,Purpose,cause,announce an ambitious proposal to set up a system to monitor and measure the success of nearly every federal agency,Mr. Giuliani used the endorsement event
because-1852031.ann-E8,5,Consequence,cause,American forces,overthrow the Islamist movement that controlled Somalia for six months last year
because-wsj_1603.ann-E34,6,Consequence,cause,Vietnam's poor-quality products,we can't compete with neighboring countries
because-CHRG-110hhrg44900-1.ann-E94,7,Consequence,cause,the Federal Reserve,ensure that those firms have the financial strength needed to withstand conditions of extreme market stress
because-1818253.ann-E10,8,Consequence,cause,the Iraqi government,Iraq a more prosperous country
because-CHRG-110hhrg44900-2.ann-E18,9,Purpose,cause,the hope that we will make a clearer statement about when private equity can come in and add capital to the banking system,We are currently looking at that
because-1854017.ann-E14,0,Motivation,cause,the entire Parliament must vote on the speaker,"there is a tacit understanding that while the Tawafiq coalition would nominate a Sunni Arab, it would first obtain approval from the Shiite and Kurdish blocs"
because-Article247_327.ann-E12,1,Motivation,cause,not following it on the story,taunting the rest of the press
because-1855648.ann-E33,2,Motivation,cause,mental illness,under full guardianship
because-1851287.ann-E4,3,Consequence,cause,Surface will be able to recognize objects placed upon it,this the first coffee table able to tell you to get a coaster for that drink
because-1855590.ann-E2,4,Purpose,cause,tamp down violence throughout the country,attacking several insurgent strongholds simultaneously
because-1854824.ann-E6,5,Purpose,cause,appeal to Spanish-speaking voters or dolphins,One held a ``Señor Flipper'' sign
because-wsj_1455.ann-E5,6,Consequence,cause,Mr. McDonough's plans get executed,"as much of the Polish center as possible will be made from aluminum, steel and glass recycled from Warsaw's abundant rubble"
because-CHRG-110hhrg44900-1.ann-E44,7,Consequence,obstruct,the Federal Government what do,"future, similar bailouts that can put taxpayer dollars at risk"
because-1851265.ann-E12,8,Consequence,cause,Codifying it into law,rigidity that defeats the function that the doctrine has played over the years
because-1854158.ann-E1,9,Consequence,cause,mistaken identity,an exchange of fire
because-1855594.ann-E5,0,Purpose,cause,discuss how its inspectors would verify the shutdown,"it would send a team to Pyongyang, the North Korean capital, next week"
because-1845580.ann-E16,1,Consequence,cause,years,The cold war
because-wsj_1121.ann-E17,2,Motivation,cause,they see their equipment used like that,The Caterpillar people aren't too happy
because-wsj_1849.ann-E2,3,Consequence,cause,years of chicanery and bureaucratic indifference,The extent of the disaster
because-wsj_1803.ann-E7,4,Motivation,cause,they found no damage,Santa Fe resumed service at 10:45 p.m.
because-1855648.ann-E27,5,Consequence,cause,Maine and Vermont,jailed felons vote
because-wsj_1506.ann-E20,6,Consequence,cause,Congress,restrictions the White House said have hampered its freedom of action
because-wsj_1041.ann-E17,7,Consequence,cause,this drug for 2 1/2 years,that has been profiteering
because-1821517.ann-E1,8,Consequence,cause,her perspective as a former insider in the vice president's office and as a former colleague of Mr. Libby,Ms. Martin's testimony may prove especially damaging to Mr. Libby
because-20020731-nyt.ann-E117,9,Motivation,cause,trying to sell the coin in the Waldorf-Astoria Hotel in Manhattan,having been arrested by Secret Service agents
because-wsj_1698.ann-E19,0,Motivation,cause,he and his colleagues are serious about kicking their compulsions,they'll sign up
because-20020731-nyt.ann-E151,1,Motivation,cause,the jury could have been confused by instructions on the verdict sheet,"The court, vacating Nelson's death sentence for the second time, ruled"
because-1852919.ann-E12,2,Purpose,cause,win contracts,making payments to foreign officials
because-20020731-nyt.ann-E68,3,Consequence,cause,they are in,"all they have to do is come every day, come on time every day and work hard"
because-1855590.ann-E3,4,Motivation,cause,fresh infusions of American troops focused on Baghdad in recent months,insurgents moved their bases outside the city
because-wsj_2465.ann-E1,5,Motivation,cause,"the Colombian government began cracking down on the traffickers in August, trying to prevent their takeover of the country",The attacks have intensified
because-1851265.ann-E34,6,Motivation,cause,a large revenue estimate has been attached to it,Congress will enact economic substance codification
because-1854575.ann-E17,7,Motivation,cause,bundling a million dollars,you reward people
because-CHRG-110hhrg44900-1.ann-E118,8,Consequence,cause,key payment and settlement systems operate smoothly under stress effectively manage counterparty risk,the stability of the broader financial system
because-1855590.ann-E26,9,Consequence,cause,"raids on what American officials described as a secret network involved in transporting ``lethal aid'' from Iran to Iraq, particularly deadly roadside bombs known as explosively formed penetrators, or E.F.P.'s.",They
because-1851265.ann-E2,0,Consequence,cause,the three-year federal investigation into tax shelter fraud,the indictment of four current and former partners of the accounting firm Ernst & Young this week
because-wsj_2465.ann-E15,1,Purpose,cause,discuss the drug problem,"meet within 90 days with Mr. Barco, President Alan Garcia of Peru and President Jaime Paz Zamora of Bolivia"
because-wsj_1685.ann-E2,2,Motivation,cause,the most environmentally safe way of dealing with a national problem cannot be built in Atchinson County,what hope have we for dealing with the wastes our economy produces
because-wsj_1689.ann-E4,3,Consequence,obstruct,"1978, when it added the ``Deloitte'' name of its British affiliate","Deloitte, Haskins & Sells was known as Haskins & Sells"
because-1852912.ann-E15,4,Consequence,cause,live-fire training,infantrymen discern enemy targets from civilians
because-1855233.ann-E15,5,Consequence,cause,sophisticated American diplomacy,broker an agreement that gradually shifted power from the army to civilians
because-wsj_1353.ann-E5,6,Motivation,cause,high winds had been predicted at the landing site,The five astronauts returned to Earth about three hours early
because-wsj_1450.ann-E19,7,Motivation,cause,34 years in business that included four robbery deaths and 16 robberies or burglaries on the premises,One Washington couple recently sold their liquor store
because-wsj_1248.ann-E7,8,Consequence,cause,the volatility of the stock market since the launch of the issue,it would have been unreasonable to expect a better result
because-20020731-nyt.ann-E19,9,Motivation,cause,taking two bronze statues on loan from Chang,The ethics panel also criticized Torricelli
because-20020731-nyt.ann-E28,0,Motivation,cause,its forces were implicated in the violence that swept East Timor after that territory voted for independence,The United States cut virtually all military links with Indonesia in 1999
because-1819714.ann-E7,1,Motivation,cause,siding with bank lenders over middle-class voters,attacking an incumbent
because-NYTnewswire4.ann-E10,2,Consequence,cause,A change in the rules and a fluke in the calendar this season,colleges to play 12 regular-season games
because-1851335.ann-E10,3,Purpose,cause,discuss how its basic concepts could be applied to government agencies,"he met yesterday in Los Angeles with Chief William J. Bratton of the Police Department, who was police commissioner when Mr. Giuliani was mayor of New York and an originator of the Compstat program"
because-1852031.ann-E7,4,Motivation,cause,a gun battle on Friday evening in which the militants wounded four Somali security agents and then melted into the mountains,"Somali officials contacted American officers in Djibouti, where there is a large American military base"
because-wsj_1504.ann-E5,5,Motivation,cause,the scheduled time,Mr. Stone entered a conference room in a building near where he worked
because-CHRG-110hhrg44900-1.ann-E102,6,Consequence,cause,the resolution of a failing securities firm might have fiscal implications,"it would be appropriate for the Treasury to take a leading role in any such process, in consultation with the firm's regulator and other authorities"
because-CHRG-110hhrg44900-1.ann-E56,7,Consequence,cause,the run on Bear Stearns,the immediate crisis
because-CHRG-110hhrg44900-1.ann-E39,8,Consequence,cause,the HOPE NOW Alliance,keep hundreds of thousands of families in their homes
because-wsj_1803.ann-E9,9,Motivation,cause,kinked rails near the epicenter of the quake,"service on its north-south coastline, which is used by an Amtrak train between Los Angeles and Seattle, was suspended temporarily"
because-1851278.ann-E2,0,Purpose,cause,the operation,which had just dropped off soldiers
because-1852919.ann-E1,1,Motivation,cause,so sensitive and potentially disruptive to British-Saudi relations,the government canceled an official inquiry last December into the claims of corruption that have swirled around the transaction
because-1852160.ann-E2,2,Motivation,cause,their own interests,they wouldn't play politics
because-1854675.ann-E17,3,Motivation,cause,the fighting,All crossings from Israel and Egypt were closed
because-1855233.ann-E18,4,Motivation,cause,improved performance in the war on terror and an increase in Pakistan's spending on development and education,American aid
because-CHRG-111shrg61651.ann-E11,5,Consequence,cause,the bubble bursts,you are going to have a big problem
because-wsj_1649.ann-E8,6,Motivation,cause,it suits his purposes,who still doesn't hesitate to have Marlowe jailed
because-1852711.ann-E11,7,Consequence,cause,"Prime Minister Tony Blair of Britain planning to leave office later this month, and the new French president, Nicolas Sarkozy, an unknown quantity to Mr. Bush",Mrs. Merkel may be the president's best friend in Europe
because-1854573.ann-E10,8,Motivation,cause,people who are becoming Muslims are manipulated by radical fanatics,a death cult
because-1821517.ann-E7,9,Motivation,cause,his nuclear weapons program,buy uranium from Niger
because-wsj_2125.ann-E3,0,Consequence,cause,prices were crazy,it was even harder to do an LBO
because-CHRG-110hhrg44900-1.ann-E3,1,Purpose,cause,avert events that pose unacceptable systemic risk,step in
