id,con,pre,rel,con_polar,con_P,pre_polar,pre_senti,pre_jtype,pre_Q,conpre_polar
14119#1_3692#873,Anyone should be allowed to be a parent.,"The concept of a social contract where we agree on maintaining a civil society bound by the Rule of Law or, at least, good manners suggests that we should look after those who can't look after themselves.",neu,advocate,Anyone be allowed to be a parent,,,,,neutral
22421#1_9360#317,Religion should be allowed in the public spaces.,"A judge still has the power to overturn a jury, change a sentence or deliver a directed verdict, in cases where the law is clear and the jury has not voted in accordance with the law.",neu,advocate,Religion be allowed in the public spaces,,,,,neutral
14258#1_30188#211,Animal testing should be banned.,Legacy students may be raised in such a way that makes them a better fit for a particular college.,neu,object,Animal testing,,,,,neutral
5601#1_5601#464,Donald Trump should be impeached.,An election every four years does not provide enough of a check on a president who is unfit and abusing the power of the office.,sup,advocate,Donald Trump be impeached,object,negative,property,An election every four years does not provide enough of a check on a president who is unfit and abusing the power of the office,contrast
26461#1_22454#1277,The Subminimum Wage should be abolished.,"Free speech optimistically assumes that the listener is capable of information literacy. Influential opinions are not determined by the competence, expertise and knowledge of individuals, but by whether the opinion itself was controversial or propagated widely. A mass propagation of untruths may seem believable to the layman, and will spiral out of control, overwhelmingly educated discourse.",neu,object,The Subminimum Wage,,,,,neutral
14416#1_14416#51,Cinco de Mayo should not be celebrated in the US.,"Adding alcohol and mariachi music is not a celebration, but an insult.",sup,object,Cinco de Mayo be celebrated in the US,advocate,negative,property,"Adding alcohol and mariachi music is not a celebration, but an insult",contrast
24424#1_24424#60,Libraries should stop having a physical presence and instead only exist digitally (i.e. online).,Digital libraries would be more eco-friendly than physical libraries.,sup,object,Libraries having a physical presence,object,positive,conseq,Digital libraries would be more eco-friendly than physical libraries,consist
10134#1_10134#350,Hate speech should be legally protected.,"Moral standards may include some form of intolerance. Thereby, limiting freedom of speech would also limit freedom of religion.",sup,advocate,Hate speech be legally protected,object,negative,conseq,limiting freedom of speech would also limit freedom of religion,contrast
18056#1_4415#373,We need more Solutions Architects in the IT industry,"One could argue that we do not have today the technology to counter the biological effects of decreased Martian gravity, even if we might find solutions in the future. This is not a problem on the clouds of Venus. Other problems that cloud cities on Venus pose can more easily be addressed with today's technologies.",neu,advocate,Solutions Architects in the IT industry,,,,,neutral
7738#69_1324#520,The human mind is capable of conceiving of things that cannot be observed. Religion itself is proof of this. That capability need not come from an external source.,Reparations would help to close the emotional racial divide in the US.,neu,object,"That capability, of conceiving of things that cannot be observed, come from an external source",,,,,neutral
984#357_984#574,There is no reason sexual desires should be suppressed.,"In our monogamous society, infidelity is considered immoral.",att,object,sexual desires be suppressed,object,negative,property,"In our monogamous society, infidelity is considered immoral",consist
18293#1_18293#2,The use of aerial-dropped 1080 poison should be encouraged.,Other animals are killed by the poison.,att,advocate,The use of aerial-dropped 1080 poison,advocate,negative,conseq,Other animals are killed by the poison,consist
3654#19_3654#68,All childcare should be subject to rigorous checks and controls to ensure the safety of the children. With these in place gender is no longer an issue.,"Absolutely. Everybody should be free to pursue whatever career or calling they wish, without discrimination. Childcare and education providers are required to have rigorous procedures that safeguard children, so safety is no longer an issue. Many men are wonderful with children and increasingly men take more of an equal share in raising their own children and find they love it.",sup,advocate,All childcare be subject to rigorous checks and controls to ensure the safety of the children,advocate,positive,norm,"Childcare and education providers are required to have rigorous procedures that safeguard children, so safety is no longer an issue",consist
16454#134_16454#401,"Unless behavior is threatening or disruptive, the bar for what is made illegal should be very high. It sets a precedent that minor inconveniences can/should be banned.",Begging is defined as the act of asking for charity and thus classifying this it as illegal would be violating free speech laws.,sup,advocate,"Unless behavior is threatening or disruptive, the bar for what is made illegal be very high",object,negative,conseq,Begging is defined as the act of asking for charity and thus classifying this it as illegal would be violating free speech laws,contrast
23911#1_23911#5,The NTSC version of Super Smash Bros. Melee should be adopted in Europe.,The NTSC version is more fun.,sup,advocate,The NTSC version of Super Smash Bros. Melee be adopted in Europe,advocate,positive,conseq,The NTSC version is more fun,consist
4148#34_8522#395,Animals should be preserved in order to eradicate ethics.,"Faith-based schools promote religious education, and religious education may promote the idea that fantasies and myths are ""realities"", which lead to children having difficulties in discerning Fact from fiction \[see article\]",neu,advocate,Animals be preserved,,,,,neutral
16288#1_16288#94,"Except for those in absolute poverty, everyone should tithe (choose to give a tenth of income to charity).",Absolute poverty exists and an increase in charitable giving could alleviate it.,sup,advocate,"Except for those in absolute poverty, everyone tithe (choose to give a tenth of income to charity)",advocate,positive,conseq,Absolute poverty exists and an increase in charitable giving could alleviate it,consist
1474#86_15098#43,Pedophiles should be provided with coping mechanisms and non-harmful outlets such as computer-generated child pornography.,ICE uses tactics specifically designed to scare and marginalize immigrants in America.,neu,advocate,Pedophiles be provided with coping mechanisms and non-harmful outlets,,,,,neutral
23597#3_10074#272,Teachers should have the freedom to express themselves through their appearence.,Only companies with large amounts of money to spend on advertising have the ability to counteract this form of speech in an equally effective manner. Given this unlevel playing field advertising hardly qualifies as an arena for free speech.,neu,advocate,Teachers have the freedom to express themselves through their appearence,,,,,neutral
18325#1_18325#25,We should spend our spare time helping others rather than in self-development.,Volunteering is a form of self-development; the two are not mutually exclusive.,sup,advocate,spend our spare time helping others,advocate,positive,property,Volunteering is a form of self-development;,consist
10250#1_10250#1087,Voters in the UK should have a final vote on the Brexit deal.,"There are other alternatives to solving this problem, that do not require another referendum.",att,advocate,Voters in the UK have a final vote on the Brexit deal,advocate,negative,property,"There are other alternatives to solving this problem, that do not require another referendum",consist
2851#1_9762#30,Conscientious objection to abortion should be banned,Armed police already present in schools where and when shootings occur do not deter or stop shooters.,neu,object,Conscientious objection to abortion,,,,,neutral
5601#6_5601#1297,After the division of the 2016 election America does not need another divisive political drama.,Trump is a creator of divisive political drama. His actions and tweets in his first year created enough division already; impeachment would relieve this political stress.,att,object,"America, another divisive political drama",object,positive,conseq,impeachment would relieve this political stress,consist
3253#1_15098#43,There should be no limits on freedom of speech.,ICE uses tactics specifically designed to scare and marginalize immigrants in America.,neu,object,limits on freedom of speech,,,,,neutral
24424#1_11186#64,Libraries should stop having a physical presence and instead only exist digitally (i.e. online).,"Written decision processes will likely cost more, so should not be employed indiscriminately, as many businesses will not benefit enough to offset the costs.",neu,object,Libraries having a physical presence,,,,,neutral
9812#1_13520#135,Empathy should be taught in school.,Morals are prescriptions about how one aught to act. It is literally impossible to act without a morality.,neu,advocate,Empathy be taught in school,,,,,neutral
2024#1_2024#2793,Zoos should be forbidden.,Looking to animals or displaying them isn't ethical.,sup,object,Zoos,advocate,negative,property,Looking to animals or displaying them isn't ethical,contrast
9762#577_15434#4786,Schools are tense places and teachers are already faced with having to diffuse arguments and fights daily. This is not a good place for a gun to be stored. In a crisis a teacher needs to mind all the children and assure they are silent and sheltered in place or moving as the situation requires. That is already a very tall order.,"Historically, suppression of religion is accompanied by genocide. Recent efforts to legally (or forcefully) change or abolish religions in Russia, China, Germany, Cambodia - or even among the indigenous populations of America - have proved in that in order to eliminate a religion, the religious must first be eliminated.",neu,object,Schools a good place for a gun to be stored,,,,,neutral
3253#1_3253#192,There should be no limits on freedom of speech.,"Political correctness around speech has been gaining ground. This is harmful as it might stop people from addressing issues because they're afraid to insult/hurt an individual or group, even when they actually want to raise awareness to a genuine problem.",sup,object,limits on freedom of speech,advocate,negative,conseq,"This is harmful as it might stop people from addressing issues because they're afraid to insult/hurt an individual or group,",contrast
5637#1_5637#2902,Pregnant people should have the right to choose abortion.,"The moral stance on abortion differs between religions, and therefore is not universally considered murder.",sup,advocate,Pregnant people have the right to choose abortion,advocate,positive,property,"The moral stance on abortion differs between religions, and therefore is not universally considered murder",consist
6980#1_6980#125,Quebec should become an independent country.,The majority of Quebecers do not want to revisit the question of whether Quebec should be independent. This indicates they are happy with Quebec remaining as a part of Canada.,att,advocate,Quebec become an independent country,advocate,negative,norm,The majority of Quebecers do not want to revisit the question of whether Quebec should be independent,consist
16674#17_3346#4223,Humans should be allowed to explore DIY gene editing.,"There is a very dangerous consequence that would arise if a ban on semi automatic weapons were to become a reality. And that is the black market. In much the same way that illegal drugs are smuggled into our country because there is a market and profits to be made, it is not unlikely that the same would happen with guns. It is very likely that we would see not only semi automatic rifles smuggled into the country on the black market, but fully automatic weapons, with no background checks.",neu,advocate,Humans be allowed to explore DIY gene editing,,,,,neutral
1528#1_1528#1103,Society should not treat obesity as an acceptable lifestyle choice.,"Gluttony is the issue with which society should take exception. Indulging beyond the needs of nutrition can occur in all people, and would require more personal honesty and humility. Obesity is an outward appearance may be the result of a situation warranting compassion and kindness, not ridicule and shame.",att,object,Society treat obesity as an acceptable lifestyle choice,advocate,positive,conseq,"Obesity is an outward appearance may be the result of a situation warranting compassion and kindness, not ridicule and shame",contrast
5601#1_1926#1393,Donald Trump should be impeached.,"Protecting minors from ""distressing content"" will never be fully effective. Therefore, it is more important for schools that they prepare their students to deal with such content then trying to keep them from it.",neu,advocate,Donald Trump be impeached,,,,,neutral
8516#1_8516#599,Children should be allowed to vote.,"If a person cannot have legal independence then that person should not be allowed to vote. Presumably, minors and the mentally disabled have caretakers representing their interests. An argument could be made that emancipated minors should be allowed representation but in general, minors should not vote.",att,advocate,Children be allowed to vote,advocate,negative,norm,If a person cannot have legal independence then that person should not be allowed to vote. ,consist
27425#1_1413#284,Medical research should embrace racial differences in treatment efficacy,The availability of commercial sex partners channels excess male sexual energy away from the wives of other men (thereby preventing adultery) or unwilling sexual partners (thereby preventing rape and sexual assault).,neu,advocate,Medical research embrace racial differences in treatment efficacy,,,,,neutral
1335#1_1335#117,The International Olympic Committee (IOC) should create a permanent venue for the Olympic Games.,Creating a permanent venue is sensible regarding financial costs and space.,sup,advocate,The International Olympic Committee (IOC) create a permanent venue for the Olympic Games,advocate,positive,property,Creating a permanent venue is sensible regarding financial costs and space,consist
30103#1_30103#10,"The roles an actor can play should not be limited by that actor’s race, gender, or sexuality.","Race, gender and sexuality are but a few of many factors that must be weighed when casting a character. An actor's talent may be more important than getting an exact visual match in some cases.",sup,object,"The roles an actor can play be limited by that actor’s race, gender, or sexuality",advocate,negative,norm,An actor's talent may be more important than getting an exact visual match in some cases,contrast
1835#444_1835#457,Leagues already educate both athletes and the general public on issues around domestic violence. This should be enough to discharge any moral burden on them.,The NBA and NFL have been vocal opponents of bills which deny transgender people access to bathrooms which reflect their identity.,sup,advocate,Leagues already educate both athletes and the general public on issues around domestic violence be enough to discharge any moral burden on them,advocate,positive,property,The NBA and NFL have been vocal opponents of bills which deny transgender people access to bathrooms which reflect their identity,consist
7738#243_3871#88,"This is Hume's is/ought distinction. To justify how things ""ought"" to be, you need something other than what currently ""is"".","Fossil fuels are building blocks for petrochemical products - fertilizer, concrete, and plastics to name a few - and education in these processes will be integral to modern economies.",neu,advocate,"something other than what currently ""is"" To justify how things ""ought"" to be",,,,,neutral
13292#1_13292#20,Governments should put a tax on meat.,"Since meat is subsidized, focus should start there first.",att,advocate,Governments put a tax on meat,advocate,negative,norm,"Since meat is subsidized, focus should start there first",consist
5601#872_5601#1561,Trump should be impeached on political grounds.,"Trump likely took a bribe from China. After banning sales of the phone on military bases on the grounds that China was using them for espionage, Trump turned around and said that he was working with President Xi of China to help save ZTE — “Too many jobs in China lost.” This occurred after a Chinese owned company invested a large sum of money in a project in which the Trump Organization has a substantial stake.",sup,advocate,Trump be impeached on political grounds,object,negative,property,Trump likely took a bribe from China. ,contrast
2469#1_17261#14,The electoral college should be abolished.,This is not a practical reason to keep the penny.,neu,object,The electoral college,,,,,neutral
8649#5_8649#65,"The name ""Macedonia"" should only be the name of a region), and not be coopted to construct a national identity.","The region of Macedonia spans six countries#Boundaries_and_definitions), and for any one country to claim this name for its own national identity is to culturally appropriate the heritage of an entire region.",sup,advocate,"The name ""Macedonia"" only be the name of a region",object,negative,conseq,and for any one country to claim this name for its own national identity is to culturally appropriate the heritage of an entire region,contrast
13520#64_13520#102,AIs must solve problems to survive!,AI must have access to as many potential solutions as possible. This directly implies they must respect individuality.,sup,advocate,AIs solve problems to survive,advocate,positive,norm,AI must have access to as many potential solutions as possible,consist
10250#1_9360#276,Voters in the UK should have a final vote on the Brexit deal.,The complexities in the process of selecting juries are not inherent to their use. The processes could easily be streamlined.,neu,advocate,Voters in the UK have a final vote on the Brexit deal,,,,,neutral
16322#1_2214#460,Businesses Should Not Deny Service to Trump Administration Officials.,"Not every country operates under humanitarian principles. Many countries partake in activities like actively causing harm in the form of state sponsored terrorism, or not providing basic healthcare and education for the needy which contradicts humanitarian principles.",neu,object,Businesses Deny Service to Trump Administration Officials,,,,,neutral
801#1_5601#659,Capital punishment should be abolished in the United States.,Impeaching Donald Trump would not bring about the justice he or his associates deserve. Instead we should focus on the special council investigation. The entire administration needs to be brought down. This presidency cannot stand as it is a threat to our democracy as a whole.,neu,object,Capital punishment in the United States,,,,,neutral
6351#8_22143#10,The European Union should become a United States of Europe.,"Eating out is expensive, so the obligation of providing a tip is unpleasant.",neu,advocate,The European Union become a United States of Europe,,,,,neutral
5601#872_30446#447,Trump should be impeached on political grounds.,"A high degree of scrutiny can cause a buildup of anger and resentment because, as reported by a man placed on a similar list, being flagged is followed by unfounded checks and searches.",neu,advocate,Trump be impeached on political grounds,,,,,neutral
8457#1_16026#6,"The ""Poor"" should be a protected equality group.",International treaties oblige Italy to do it.,neu,advocate,"The ""Poor"" be a protected equality group",,,,,neutral
11268#1_11268#38,We should build Lagrange colonies before settling on mars,A La Grange station could be profitable with the advent of asteroid mining. The La Grange station would focus as a way point as well as a refinery for the precious metals that would be harvested.,sup,advocate,build Lagrange colonies before settling on mars,advocate,positive,conseq,A La Grange station could be profitable with the advent of asteroid mining,consist
3346#1_3346#1931,"The US should adopt stricter gun control legislation, in the form of the policy defined in the discussion info (click top left menu =\> Info).",The occupation/hobby related gun use declaration restrictions proposed are unnecessarily onerous and unlikely to be well implemented.,att,advocate,The US adopt stricter gun control legislation in the form of the policy defined in the discussion info (click top left menu =\> Info),advocate,negative,property,The occupation/hobby related gun use declaration restrictions proposed are unnecessarily onerous and unlikely to be well implemented,consist
1926#1369_1926#1384,The language of Twain is inaccessible to children and should therefore be modified.,"Children, when given proper instruction, will better understand the true meaning of the literature being provided to them when the original text is kept. People only understand Shakespeare when it is translated for them.",att,advocate,The language of Twain be modified,object,positive,conseq,"Children, when given proper instruction, will better understand the true meaning of the literature being provided to them when the original text is kept",contrast
2024#1_2024#454,Zoos should be forbidden.,Keeping wild animals confined and on display is degrading.,sup,object,Zoos,advocate,negative,property,Keeping wild animals confined and on display is degrading,contrast
24623#1_14255#967,All political offices should have an age cap.,Churches should exist legally as non-profit charities and be expected to maintain the same documentation. This would prevent abusive money making schemes and tax evasion such as scientology and mega churches from wealth building without income tax and property tax.,neu,advocate,All political offices have an age cap,,,,,neutral
8606#337_12626#752,"Public universities should not be tuition free. Not if the funding comes from the government. Government should tax only to provide for national defense, criminal law enforcement and other functions directly related to the prohibition of initiating force, fraud or theft. It is immoral to make others pay for one's education. A free marketplace will provide an education more efficiently than a government education paid for by unwilling taxpayers.","Banning religious symbols from school could support bullying of people who are religious, make student feel alienated and different, and unintentionally smother religion. Teachers hiding their religion may make students feel they need to do the same, smothering their free choice for fear of alienation and bullying.",neu,object,Public universities be tuition free if the funding comes from the government,,,,,neutral
16174#1_12828#605,Pride organisers should refuse corporate sponsorship.,Private education is a form of consentual exchange of goods and services (in this case money and tutoring) which does no direct harm and denies no rights to any other person and should therefore constitute a part of basic human freedom.,neu,object,Pride organisers corporate sponsorship,,,,,neutral
14050#1_15695#45,Children need boredom.,"Newborns can contract HPV during the delivery process. Since it is unavoidable in these cases, the vaccination should be made available to women of childbearing age.",neu,advocate,Children boredom,,,,,neutral
2439#1_2439#332,Military conscription should apply to men and women equally.,"Women soldiers could be raped in war, by allies and enemies.",att,advocate,Military conscription apply to men and women equally,advocate,negative,conseq,"Women soldiers could be raped in war, by allies and enemies",consist
4650#902_6351#232,Eliminate all single-winner offices.,"Despite cultural diversity, Europeans share very similar values.",neu,object,all single-winner offices,,,,,neutral
13386#1_1233#228,The United States should act as the global police.,Many people are financially dependent on honey production/collection and trade.,neu,advocate,The United States act as the global police,,,,,neutral
2214#1_2214#2033,High-income countries should take in significant numbers of refugees.,"The financial ability of high-income countries enables them to activate complex and supportive, integration programs. The moral obligation of these countries extends past simply 'taking them in'. Refugees must also be engaged in the new set of social and civil structures, and high-income countries have the resources to facilitate this process.",sup,advocate,High-income countries take in significant numbers of refugees,advocate,positive,property,"The financial ability of high-income countries enables them to activate complex and supportive, integration programs",consist
14255#1_1229#5364,Churches in the United States should lose their automatic tax-exempt status.,"As the vegetarian diet can satisfy our nutritional needs, eating meat only to satisfy our taste buds is incompatible with a moral or ethical being.",neu,object,Churches in the United States automatic tax-exempt status,,,,,neutral
16201#1_19119#238,Heterosexual people should not be allowed in gay bars.,"Hungarians value homogeneity in their nation, which is shown by the large-scale popular opposition to a common European policy on migration. (QA16)",neu,object,Heterosexual people be allowed in gay bars,,,,,neutral
921#119_9863#7,Pulling the lever has negative consequences for the person and thus should not be done.,"This might be considered a pro as well as it means that contribution is not reserved to the people with ""skills"". Anyone may contribute however they want.",neu,object,Pulling the lever,,,,,neutral
21024#1_21024#42,Existing scientific journals should be flipped to fair open access publishing models. Fair Open Access Alliance,"If scientific journals were more accessible, backing up claims with sources online would be easier, improving the quality of scientific discussions online.",sup,advocate,Existing scientific journals be flipped to fair open access publishing models,advocate,positive,conseq,"If scientific journals were more accessible, backing up claims with sources online would be easier, improving the quality of scientific discussions online",consist
23597#2_16376#51,Tattoo discriminations should come to an end.,Services that have BikeShare stations have fewer of their bikes stolen.,neu,object,Tattoo discriminations,,,,,neutral
11268#1_27376#6,We should build Lagrange colonies before settling on mars,Copyright corrupts art.,neu,advocate,build Lagrange colonies before settling on mars,,,,,neutral
22454#1_22454#1277,Governments should not set policies that limit free speech.,"Free speech optimistically assumes that the listener is capable of information literacy. Influential opinions are not determined by the competence, expertise and knowledge of individuals, but by whether the opinion itself was controversial or propagated widely. A mass propagation of untruths may seem believable to the layman, and will spiral out of control, overwhelmingly educated discourse.",att,object,Governments set policies that limit free speech,object,negative,property,Free speech optimistically assumes that the listener is capable of information literacy. ,consist
18590#1_18590#50,Prisons should not exist.,"Certain violent individuals have very little statistical likelihood of ""rehabilitation"". Separating these individuals from the rest of society is necessary for public safety.",att,object,Prisons,advocate,positive,norm,Separating these individuals from the rest of society is necessary for public safety,contrast
12984#1_12984#122,The US should ban the production and distribution of genetically modified foods.,There is doubt over the environmental benefits of reduced tilling.,sup,object,The US the production and distribution of genetically modified foods,advocate,negative,conseq,There is doubt over the environmental benefits of reduced tilling,contrast
14272#1_14272#130,The US Should Not Have Pulled Out of the Iran Deal.,Regime change has to come from within the country. This is more likely if Iran's economy is strong and the people have money in their pockets. Putting back in place the sanctions will create an excuse to blame the US for domestic problems and a distraction from governmental incompetence.,sup,object,The US Pulled Out of the Iran Deal,advocate,negative,conseq,Putting back in place the sanctions will create an excuse to blame the US for domestic problems and a distraction from governmental incompetence,contrast
4272#1_2168#25,There should be an independent Kurdish state.,The social consequences of unification are numerous and severe.,neu,advocate,an independent Kurdish state,,,,,neutral
5746#1_5746#219,Routine childhood vaccination against preventable diseases should be mandatory worldwide.,"Forced to live life in exile, off-planet, would be a warmer safer idea than being forced to trust X organizations/governments having full-on mandatory access to our fragile, internal systems. Corruption and malpractice abound, and those ""mandatorily"" need to be handled first. Otherwise, corruption and malpractice are just given a free, law-given pathway into determining your life, death, and suffering.",att,advocate,Routine childhood vaccination against preventable diseases be mandatory worldwide,advocate,negative,conseq,"Corruption and malpractice abound, and those ""mandatorily"" need to be handled first. Otherwise, corruption and malpractice are just given a free, law-given pathway into determining your life, death, and suffering",consist
23911#1_10250#896,The NTSC version of Super Smash Bros. Melee should be adopted in Europe.,There is no democracy remaining in the UK. A second vote would accentuate the illusion and might undermine the autocratic plutocracy that Britain has become. The electorate has already submitted to the supreme authority of the Prime Minister's office so any further outbursts of democratic dissent would be simply demeaning.,neu,advocate,The NTSC version of Super Smash Bros. Melee be adopted in Europe,,,,,neutral
1528#1_1324#2673,Society should not treat obesity as an acceptable lifestyle choice.,Reparations mostly benefit the lawyers who think of these kinds of suits. Reparations would encourage more lawyers to think of other ways to exploit the real suffering by putting a dollar amount they can take a percentage of...instead of providing actual ways to help those who have been impacted.,neu,object,Society treat obesity as an acceptable lifestyle choice,,,,,neutral
30884#3_1474#67,The Universal Declaration of Human Rights (UDHR) should be legally binding.,"This will reduce the amount of harm done to children, as it is easier to prevent children from entering a single area.",neu,advocate,The Universal Declaration of Human Rights (UDHR) be legally binding,,,,,neutral
1528#1_1528#81,Society should not treat obesity as an acceptable lifestyle choice.,Society writ large foots the bill for health problems caused by obesity.,sup,object,Society treat obesity as an acceptable lifestyle choice,advocate,negative,conseq,Society writ large foots the bill for health problems caused by obesity,contrast
4148#34_4148#88,Animals should be preserved in order to eradicate ethics.,"The concept of 'good and evil' are a dichotomy only useful to humans for survival. Animals do not need this concept to survive. Therefore, its existence should not hold any value in deciding if human life should be valued over that of animals.",att,advocate,Animals be preserved,advocate,negative,norm,its existence should not hold any value in deciding if human life should be valued over that of animals,consist
2368#1_2368#998,A license should be required in order to have a child (procreate).,"Many parents have an unparalleled attachment to their children and cite them as a 'reason to live'. These parents would suffer immeasurably, were they to lose their children.",att,advocate,A license be required to have a child (procreate),advocate,negative,conseq,"These parents would suffer immeasurably, were they to lose their children",consist
1692#1_1692#1112,Citizens in democratic states should be required to vote or be fined.,"Implementing this would require punishment for not voting. This would require knowing whether or not a person voted in any given race. This could be used to determine who the individual did vote for, which would violate anonymity.",att,advocate,Citizens in democratic states be required to vote or be fined,advocate,negative,conseq,"This could be used to determine who the individual did vote for, which would violate anonymity",consist
1926#3_1926#257,Schools have a duty to protect their students who are still minors from distressing content.,"The racial language in Huckleberry Finn is inherently inflammatory, distressing, and offensive.",sup,advocate,Schools protect their students who are still minors from distressing content,object,negative,conseq,"The racial language in Huckleberry Finn is inherently inflammatory, distressing, and offensive",contrast
2868#1_2868#334,U.S. presidents should not have the power to issue pardons.,"The president cannot review every conviction, so the pardon system is an opportunity that does not apply equally to everyone.",sup,object,U.S. presidents have the power to issue pardons,advocate,negative,conseq,the pardon system is an opportunity that does not apply equally to everyone,contrast
4711#1_4711#17,Private property should exist in outer space.,"Being able to derive benefits, such as ressources or research results, is driving innovation.",sup,advocate,Private property exist in outer space,advocate,positive,conseq,"Being able to derive benefits, such as ressources or research results, is driving innovation",consist
5904#1_7100#3962,Governments should make an effort to reduce the gender pay gap.,"Legalisation will at length normalize drug use, which can lead to excess use as with alcohol (drinking games, binge drinking) which can be far more dangerous when done with hard drugs.",neu,advocate,Governments make an effort to reduce the gender pay gap,,,,,neutral
984#357_14742#40,There is no reason sexual desires should be suppressed.,"Society considers all conscious adult citizens as equals. The elderly are adult human beings, who are capable of making conscious and informed decisions, and should thus not be considered less equal to other adult citizens.",neu,object,sexual desires be suppressed,,,,,neutral
27060#1_27060#2,International tourism should not require a visa.,Freedom of movement is a basic human right.,sup,object,International tourism require a visa,object,positive,property,Freedom of movement is a basic human right,consist
2368#1_13449#175,A license should be required in order to have a child (procreate).,This law would put people in danger.,neu,advocate,A license be required to have a child (procreate),,,,,neutral
2995#3_12945#31,Avoid Entirely,A single-payer system mitigates the risk of additional costs to the consumer should they be outside their home town.,neu,advocate,Avoid Entirely,,,,,neutral
2995#2_2995#988,Kneel,"Its effect has been more net negative than positive, because it was not coordinated. Kaepernick was able to be pointed out as an isolated case and put in a negative light to many people, to the point where his message was diluted and derailed.",att,advocate,Kneel,advocate,negative,conseq,"Its effect has been more net negative than positive, because it was not coordinated. ",consist
14258#1_28770#13,Animal testing should be banned.,Smartphones enable parents to communicate with their kids more easily and regularly.,neu,object,Animal testing,,,,,neutral
801#321_801#534,Most major democracies have abolished and condemned the death penalty. The US should not be different.,"Rehabilitation and reintegration should be the goals of the prison system, and the worst of criminals should be just as entitled to that opportunity as any other criminal.",sup,object,The US death penalty,object,positive,norm,"Rehabilitation and reintegration should be the goals of the prison system, and the worst of criminals should be just as entitled to that opportunity as any other criminal",consist
4479#16_4479#62,Catalonia is a key contributor to the European economy. Europe must act to avoid instability in the region.,The small size of Catalonia's economy should be an argument against EU intervention.,att,advocate,Europe act to avoid instability in Catalonia,advocate,negative,property,The small size of Catalonia's economy should be an argument against EU intervention,consist
2160#1_1108#871,Tourism to North Korea should be banned.,"The estimates of the Americans killed in action (up to 800,000) and among the Japanese (over 1 million) show that the dropping of the bomb was a military necessity.",neu,object,Tourism to North Korea,,,,,neutral
1926#6_1926#742,"It is important to preserve the artistic integrity of great works of art like Huckleberry Finn. As such, none of its language should be modified.",I have a PhD in English but haven't taught it for 20 years. I regret never having taught the unexpurgated version of this profoundly moral and beautiful work of art. I regret even believing that I would be afraid to teach it as Twain wrote it. To back away from art is little other than moral cowardice. It doesn't show respect for the tender sensibilities of young people. It reveals a cynical contempt hidden under a hypocritical veil. I say that because I too engaged in that hypocrisy.,sup,object,Huckleberry Finn language be modified,advocate,negative,property,To back away from art is little other than moral cowardice,contrast
