id,fold,label,target,text
irish-435,6,neg,Fianna Fail,Fianna Fail still around the place like a bad smell . . things rank and gross . I'm not listening to news and commentary for now . Sanity .
irish-545,7,neg,Brian Cowen,How come Brian Cowen is prepared to but his Premiership to his party but not his people ?
irish-439,8,neg,Fianna Fail,Fianna Fail : Forget the usuall suspects A dark-horse backbencher a new voice not any of cowans cabinet YUK !.
irish-1789,9,neu,Fine Gael,I'm not taking your motion of no confidence because even Fine Gael thought it was a stupid suggestion : Cowen to Gilmore dail
irish-329,0,neg,Brian Cowen,Brian Cowen's epitaph : He may have ruined the country but at least he ruined Fianna Fail too . GE11
irish-1359,1,neu,Brian Cowen,Brian Cowen Irish Prime Minister and leader of Fianna Fail poses with his wife Mary for photograp
irish-906,2,neg,Fine Gael,Voting Fine Gael ? Ask yourself why Enda Kenny keeps disappearing when there's a crisis ? Do u want him as Taoiseach ? ge11
irish-2447,3,pos,Sinn Fein,Boyle's former party colleague Chris O'Leary running for Sinn Fein in corksouthcentral and will poll well
irish-2150,4,neu,Sinn Fein,SF are on fire - Taoiseachs threat of legal action Questions from Caoimhghn Caolin | Sinn Fein
irish-1785,5,neu,Fine Gael,I'd say Fine Gael are drunk already . Woo hoo . ffheave
irish-2431,6,pos,Eamon Gilmore,50 days until the general election - time for a change ! Join the labour party and in Eamon Gilmore we can elect a .
irish-718,7,neg,Brian Cowen,My 5 yr old and 3 yr old have just become politically aware and hate Brian Cowen after RTE cancel Ice Age 2 for extended Six One news
irish-218,8,neg,Fianna Fail,twip Cowen : ' Everyone in Fiana Fail wants a good future for Fianna Fail . The country is paramount .'
irish-1874,9,neu,Brian Cowen,Irish Prime Minister Sets Election for March : Prime Minister Brian Cowen has announced that Ireland will elect .
irish-2257,0,neu,Fine Gael,The are two Fine Gael seats to be won in Dublin North-Central ! ge11
irish-1897,1,neu,Gerry Adams,ITN News : Gerry Adams on collapsed Irish coalition
irish-505,2,neg,Gerry Adams,Gerry Adams quits as an MP ; the good news keeps rolling in today BelfastWest By -election
irish-254,3,neg,Fianna Fail,Another day another fuck up for Fianna Fail Martin will do badly enough not to oust Cowen but well enough to kill FF vote come GE .
irish-1428,4,neu,Brian Cowen,Coughlan tells rtept political accountability was the reason why Brian Cowen sought the Cabinet reshuffle >> That's what GE11 is for
irish-979,5,neu,Fine Gael,austinstacksabu Alan Shatter Olivia Mitchell and Peter Matthews will all be running for Fine Gael in Dublin South .
irish-1541,6,neu,Fine Gael,FF's only electoral strategy appears to be pointing out that Labour and Fine Gael are different parties rtefl
irish-1462,7,neu,Gerry Adams,does anyone will if there will be time for gerry adams to be released from his WB seat in time if elections are about 1wk away ? ge11
irish-77,8,neg,Eamon Gilmore,jc_ie Holy Shit Eamon Gilmore is listening ! Tell him to do something else !
irish-1039,9,neu,Fine Gael,FineGaelToday
irish-2430,0,pos,Sinn Fein,rtefl sinn fein are lining themselves up nicely to Hoover up any protest votes . Labour beware
irish-511,1,neg,Brian Cowen,Go on Tunisia ! Wish Ireland could do that to the fat fucker Brian Cowen . U PIG SHIT . I HOPE HIS WIFE CHOPS HIS BALLS OFF
irish-2364,2,neu,Fianna Fail,Yes Fine Gael . the MONC * does * offer Fianna Fail the chance to unite ! . to unite AGAINST Cowen as leader !
irish-680,3,neg,Sinn Fein,labour and sinn fein on the same page-no confidence motions for publicity-with no chance of success- cynical politics-keeping cowen in
irish-2034,4,neu,Fianna Fail,Min ? Cuv has said he would be interested in being a candidate for leadership of Fianna Fail .? << LMAO
irish-2175,5,neu,Sinn Fein,Sinn Fein should have a heave next ; how would that even work ? ffheave
irish-112,6,neg,Gerry Adams,Melvinouk I suggest you update your profile pic then cos you look like you are bessies with Gerry Adams
irish-2211,7,neu,Sinn Fein,Sinn Fein TD sues Sunday World for defamation
irish-1360,8,neu,Brian Cowen,Brian Cowen is the first victim as a politician in European Financial Crisis of 2011
irish-246,9,neg,Sinn Fein,Am dying to see who sinn fein trot out on the posters last time round it was the yearbook pictures of those least likely to ever have sex
irish-1709,0,neu,Sinn Fein,Good old RTE . A vote for Sinn Fein is a vote for Civil War party ? Jesus Labour have infested that organisation
irish-29,1,neg,John Gormley,CiaranCuffe ciaran any chance of the election being called in 2nd half of Jan(ref John Gormley ) couple of months back ?
irish-2,2,neg,Fine Gael,aaronmckenna Moriartylives True . Fine Gael have Varadkar Bruton Noonan and Hayes to waffle about finance . ge11 vinb
irish-109,3,neg,Sinn Fein,mcgconor Sinn Fein is a eurosceptic conservative party - rather like Law and Justice in Poland or even the British Conservative Party .
irish-336,4,neg,John Gormley,Bullshit john gormley you and your party contributed to the worst goverment this state has ever known . You are no better than fianna failed .
irish-1001,5,neu,Sinn Fein,Chasaveen As I recall there's also a Sinn Fein non-confidence motion out there . or maybe it failed ? Gov't will fall when Greens go .
irish-1142,6,neu,Fine Gael,poldestoc Fine Gael
irish-965,7,neu,Sinn Fein,agthompson nishmadoshi garydunion samcoatesuk You think ? Working with Sinn Fein and other un-Green parties who compete with real Greens ?
irish-2262,8,neu,Fine Gael,The Economist recommends Irish default . Will Fine Gael give the Irish people this choice in forthcoming election ? euro
irish-487,9,neg,Brian Cowen,Former Defence Minister Willie O'Dea has said he will not be supporting Brian Cowen in tomorrow's motion of confidence in the party leader
irish-174,0,neg,Sinn Fein,undermeoxter You're allowing your hatred of Fianna Fail and Sinn Fein to blind you on the power of using your vote tactically . prstv ge11
irish-1003,1,neu,Eamon Gilmore,ChristineBohan I think Trevor S is the secret love child of Mammy O'Rourke and Eamon Gilmore . that's what I got out of that presser .
irish-1127,2,neu,Gerry Adams,Mr_Neurosceptic Do you know who did Gerry Adams ' voice on the news when we weren't allowed to hear him ( without googling) ?
irish-2397,3,pos,Fine Gael,john_mcguirk simle message should be : Fine Gael - Rebuild Better
irish-419,4,neg,Fianna Fail,Fianna Fail A lot done more to do - If we knew it was damage they were talking about they might not have been reelected !
irish-1516,5,neu,Eamon Gilmore,Eamon Gilmore
irish-1995,6,neu,Fianna Fail,Link to 87 Election Literature where FF state ' Reflect on 250 000 unemployed 100 000 immigrants '
irish-1322,7,neu,Fine Gael,BANKING consultant Peter Mathews will run for Fine Gael in the general election the Irish Independent has learnt .
irish-978,8,neu,Sinn Fein,aurora111 Is the Sinn Fein party in Eire affiliated with the one in N . Ireland ?
irish-2005,9,neu,Sinn Fein,looks like Gilmore is jumping to Gerry's tune ! Dear leader obv finding it tough leaving his Sinn Fein roots in the past !
irish-1769,0,neu,Brian Cowen,How cud Brian Cowen promote any FF TD to Cabinet ? He can't know if they voted confidence in him last night secretballot
irish-1517,1,neu,Eamon Gilmore,Eamon Gilmore wiki recent
irish-62,2,neg,Sinn Fein,Enda_Lee kathrynreilly Indeed . Let's not forget that Sinn Fein have been cutting services in Northern Ireland . GE11
irish-338,3,neg,Brian Cowen,Business : Irish PM's Future Hangs in the Balance - As Irish Prime Minister Brian Cowen fights for his political life .
irish-228,4,neg,Fianna Fail,100 Reasons to Vote Against Fianna Fail - a work in progress - 100reasonsnottovoteff
irish-231,5,neg,Sinn Fein,A Failed Fianna Fail & an Irish Political Earthquake : The Rise of Sinn Fein ? But keep a keen eye out on the IRA '.
irish-2300,6,neu,John Gormley,Trevor Sergeant says the Greens told FF on Wed they wouldnt vote for a reshuffle . John Gormley says it was Thursday . Which is correct ?
irish-1267,7,neu,Brian Cowen,sp Irish Prime Minister Calls for Early Elections : Brian Cowen announced an earlier-than-expected general elec .
irish-1074,8,neu,Sinn Fein,john_mcguirk I'd be shocked if they let a Sinn Fein rep speak on Frontline . rtefl
irish-133,9,neg,Fianna Fail,PinPinIre Fianna Fail screwed me so you are right . I detest them .
irish-1816,0,neu,Fine Gael,Ireland : Blow for Fine Gael as long-serving TD stands down The Irish Independent ( 2011 ) > ACE Election News
irish-704,1,neg,Brian Cowen,Mary Harney is retiring .? WHEN will Brian Cowen step down ?
irish-2205,2,neu,Sinn Fein,Sinn Fein table emergency Assembly question on Swine Flu response Health SwineFlu
irish-418,3,neg,Fianna Fail,Fianna Fail 23.3 . 1926 to 11.3 . 2011 R.I.P. ( Rot in Perpetuity )
irish-2411,4,pos,Sinn Fein,rtenews Sinn Fein doing what's right for the people in not rushing the finance bill ( rushed legislation is bad legislation ) ge11 sf
irish-1872,5,neu,Brian Cowen,Irish Prime Minister Calls for Early Elections : New York TimesLONDON - Brian Cowen the embattled Irish prime mi .
irish-1824,6,neu,Brian Cowen,Ireland ? s PM to make statement on future : Ireland ? s Prime Minister Brian Cowen will announce on Sunday evening w .
irish-549,7,neg,Gerry Adams,How sad is this ? Daughter of disappeared afraid of Sinn Fein supporters if she runs against Gerry Adams
irish-745,8,neg,Fianna Fail,Ok - story with Fianna Fail ? Dev Og rumour flying about cant be true surely ?
irish-2253,9,neu,Sinn Fein,Tele ( politics ) Sinn Fein eyes end of two-party state in Republic of Ireland : In the early days of June 1994 .
irish-2486,0,pos,Fine Gael,Fine Gael are a very different party to Fianna Fail ! thingsSkearonmightsay
irish-1014,1,neu,Fine Gael,D_McCourt fine gael
irish-491,2,neg,Gerry Adams,Gerry Adams ( murdering IRA scumbag ) wants my support I would rather castrate myself with a rusty saw ge11
irish-929,3,neg,Fine Gael,why do Irish tweeters think Fine Gael/lab will be any better ? Fine Gael has been close to/part of banking circles since state was founded .
irish-2296,4,neu,Fianna Fail,Tonight on vinb the panel discuss whether or not the Taoiseach will survive the motion of confidence in his leadership of Fianna Fail
irish-666,5,neg,John Gormley,John Gormley sinking in this briefing . ge11 dail
irish-2237,6,neu,Brian Cowen,Tale of the tapes : Brian Cowen and Micheal Martin's media face-off this evening - Who said what is here .
irish-1205,7,neu,Fine Gael,Whyjay99 2 largest parties here r fianna fail & fine Gael both which stem frm war of independence . Both prob centre right . On left lab .
irish-2511,8,pos,Gerry Adams,I was very impressed with Martin Mc Guinness on the Late Late show last night . I would like to see Gerry Adams in the Dal .
irish-403,9,neg,Eamon Gilmore,Eamon Gilmore must have used the word ' change ' a dozen times in that 60-sec interview on RTE TV . Time to eh amend the talking points ge11
irish-819,0,neg,Eamon Gilmore,so eamon gilmore and ruairi quinn didnt want to take the pain like the rest of us
irish-1225,1,neu,Fianna Fail,europe Martin resigns following confidence motion : Following Brian Cowen ? s victory in the Fianna Fail con . news
irish-566,2,neg,Fine Gael,I just saw Fine Gael's dowloadable poster . Really ? I thought it was a piss take .
irish-1224,3,neu,Eamon Gilmore,europe Gilmore : Not tenable for Cowen to stay on as Taoiseach : Labour leader Eamon Gilmore said the Irish . news
irish-92,4,neg,Brian Cowen,kencurtin ha ha Langer . Yes . I feel like Brian Cowen .
irish-2556,5,pos,Fine Gael,Peter Mathews is running for Fine Gael . Finally someone who knows what they'll be talking about ! generalelection
irish-2531,6,pos,Brian Cowen,Iwebslog.com- Irish Prime Minister Cowen wins confidence vote \n ( AP)\n : AP - Prime Minister Brian . World
irish-2166,7,neu,Sinn Fein,Sinn Fein has voted against the Bank Guarantee since Oct 2008 once the details of the scheme were clear .
irish-1387,8,neu,Fine Gael,btw Sindo reports that Peter Mathews is in talks with Fine Gael about running for them in Dublin South ge11
irish-2542,9,pos,Sinn Fein,Loyalists voting for Sinn Fein - UDA boss -
irish-197,0,neg,Fine Gael,ge11 The Labour Party and Fine Gael need to get their act together or they will hand this election to FF .
irish-2383,1,pos,Sinn Fein,dmelia13 SInn Fein more popular in polls than FF . Says it all .
irish-1335,2,neu,Eamon Gilmore,Big day ahead : Eamon Gilmore will be in Athenry at 3pm to open my constituency office . All are welcome . Looking forward to seeing you !
irish-471,3,neg,Fine Gael,Fine Gael like you've never seen before > Nice mashup tool for ge11
irish-2014,4,neu,Fianna Fail,Martin resigns following confidence motion : Following Brian Cowen ? s victory in the Fianna Fail confidence motion .
irish-1948,5,neu,John Gormley,John Gormley's full statement as Greens wihdraw from Govt .: The full Statement by John Gormley Spokesperson on .
irish-546,6,neg,John Gormley,How hilarious would it be if John Gormley was only finding out about cowen statement because he's watching 20 000 Leagues Under the Sea .
irish-1693,7,neu,Gerry Adams,Gerry Adams : Councillor Paddy Wright - An Appreciation : Councillor Paddy WrightRegular readers will know that ea .
irish-305,8,neg,Brian Cowen,Brian Cowen is so delusional that I bet when he looks in the mirror he sees Johnny Depp
irish-2347,9,neu,Gerry Adams,Why does Ryan Tubridy have a fascination with getting Gerry Adams to admit that he was in the IRA challenged Adams and McGuinness on LLS
irish-1036,0,neu,Sinn Fein,fergbyrne feker Ehh . Sinn Fein very much on the anti Treaty side .
irish-33,1,neg,Fine Gael,Colmogorman Fine Gael would get intobed with the devil just like the greens did
irish-2444,2,pos,Brian Cowen,BBC : Irish PM Brian Cowen wins confidence vote
irish-847,3,neg,John Gormley,That John Gormley is a spineless little arse-licking bollox ! He makes me feckin sick so he does ! ge11
irish-1579,4,neu,Brian Cowen,Fine Gael and Labour party did there utmost to discredit Brian Cowen and the Fianna Fail party They will be looking for our votes Wasters ?
irish-703,5,neg,Brian Cowen,Mary Hanafin has said that there is some unease within Fianna Fail about the leadership of Taoiseach Brian Cowen .
irish-297,6,neg,Brian Cowen,BRIAN COWEN FUCK OFF ffheave
irish-1955,7,neu,Gerry Adams,Just commented on : Gerry Adams resigns from Westminster
irish-1627,8,neu,Fine Gael,Fine Gael's website is back up - get involved !
irish-150,9,neg,Fianna Fail,sf2057 same old same old - yabba yabba Typical Fianna Fail you working as Minister Dick Roache's spin Doctor !
irish-1803,0,neu,Eamon Gilmore,in labour party hq listening to brian cowen with eamon gilmore
irish-949,1,neg,Brian Cowen,Yup - time to go
irish-574,2,neg,Gerry Adams,I will piss myself laughing if Jean McConville's daughter stops Gerry Adams getting a seat in ge11
irish-569,3,neg,Eamon Gilmore,I saw Eamon Gilmore speak in NUIG a couple months ago I must say I was underwhelmed . sixone
irish-548,4,neg,Fine Gael,How many of these dull Fine Gael nitwits are working night and d .
irish-988,5,neu,Gerry Adams,BritainVotes first time ever Gerry Adams has accepted an office of profit under the Crown - Steward of the Manor of Northstead
irish-351,6,neg,Brian Cowen,Congrats to FF for getting rid of Brian Cowen . Tell us how you did it as the rest of us are still stuck with him- Brendan O'Connor on RTE1
irish-1645,7,neu,Gerry Adams,For a short time I thought Gerry Adams was resigning on Cowen's behalf .
irish-667,8,neg,John Gormley,John Gormley was obviously in bed when Dempsey and the others quit .
irish-1580,9,neu,Fine Gael,Fine Gael and Labour to support Brian Lenihan's finance bill along with the greens . Lenihan for leader !
irish-853,0,neg,John Gormley,The date of the General Election will be discussed at a meeting today between Taoiseach Brian Cowen and Green Party leader John Gormley . lol
irish-258,1,neg,Fianna Fail,Apparently there's a show on TV3 about public figures skating on thin ice now - haven't we seen enough of Fianna Fail for one day ?
irish-630,2,neg,Fianna Fail,It Happened Under Fianna Fails Watch -Leaflet for fianna Fail -2009 LE Tullamore
irish-1163,3,neu,Eamon Gilmore,rtefrontline why can't Eamon Gilmore attend ?
irish-2015,4,neu,Fine Gael,Mary Banotti Richie Ryan -Fine Gael -1984 Euro Elections Dublin
irish-1552,5,neu,Fianna Fail,Fianna Fail in Senate suddenly threatening to oppose Greens ' Cl .
irish-239,6,neg,Brian Cowen,Ahh I hate Brian cowen he makes my blood boil the wanker Ohh I hate hate hate him
irish-654,7,neg,John Gormley,John Gormley did state that he wasn't Sherlock now I can see why rtefl
irish-1527,8,neu,Fine Gael,Enda should just tell the designers to get a picture of Brian Cowen and VOTE FINE GAEL across his face .
irish-1144,9,neu,Fianna Fail,PotatoInsertion elainebyrne yes the dome was a pretty good read . Local government parallels with fianna fail
irish-1466,0,neu,Sinn Fein,Down The Plughole -Flyer from Jonathan O'Brien -Sinn Fein -Cork North Central 2011 GE -3ww
irish-2304,1,neu,Fianna Fail,Two More Fianna Fail T . D .' s Withdraw From Politics
irish-2345,2,neu,Sinn Fein,why are Sinn Fein not on ? rtept ge11
irish-860,3,neg,Fianna Fail,The Irish Association of Gombeens has expelled Fianna Fail for bringing them into disrepute . ge11
irish-1539,4,neu,Fianna Fail,Fair play to Michael Martin if he's sticking to his guns . Not so much if he's just taking a punt on seizing power of Fianna Fail
irish-1746,5,neu,Fianna Fail,HAHAHAHAHA Eamonn O'Cuiv fancies himself as the leader of Fianna Fail ? HAHAHAHAHA
irish-1302,6,neu,Fianna Fail,An Unusual colour scheme . Poster for Niall Collins -Fianna Fail -Limerick 2011 General Election -3yT ge11
irish-1078,7,neu,Sinn Fein,JohnODowdMLA - is that why Sinn Fein u-turned on the bank guarantee after Arthur Morgan welcoming this decisive move Dail Eireann 30.9 . 08
irish-2582,8,pos,Gerry Adams,Talking about my undying love for Gerry Adams & my friend goes was he that guy in celeb big brother omg pmsl :')
irish-620,9,neg,Brian Cowen,Irish PM's party mulls second coup bid in a week : DUBLIN ( Reuters ) - Irish Prime Minister Brian Cowen could fac .
irish-772,0,neg,Fianna Fail,Politics is many's a thing but never boring Fianna Fail's night of the long knives has only just started let's hope the voters rise at dawn !
irish-394,1,neg,Fine Gael,downloadable Fine Gael campaign posters in psychedelic colouring / Fine Gael ? s website returns ?
irish-1241,2,neu,Fine Gael,Ireland : Fine Gael MEP Mairead McGuinness has called for the introduction of gender quotas for a more balanced Dil
irish-400,3,neg,Eamon Gilmore,Eamon Gilmore making an ass of himself on sixone
irish-375,4,neg,Fianna Fail,Dear rtept nobody gives a f**k about Fianna Fail . Yours sincerely everybody .
irish-2261,5,neu,Fianna Fail,The Dublin South Fianna Fail selection convention will be held on Thursday 20th January 2011 . Further details available upon request .
irish-1476,6,neu,Sinn Fein,Eamon Dunphy would consider running for Sinn Fein ? Bloody hell Dunphy in the Dail would be a nightmare for the Ceann Comhairle
irish-2476,7,pos,Eamon Gilmore,Eamon Gilmore playing an active blinder here stunning performance . rtefl
irish-1991,8,neu,Gerry Adams,Least surprising news of the day election date for Dil ireann leads to Westminster by election in Belfast
irish-639,9,neg,Fianna Fail,James Downey : Cowen is unfit to lead but so is the Fianna Fail party -
irish-407,0,neg,Gerry Adams,Eh no thanks Gerry FF may be a shower of corrupt and greedy idiots but at least they're not terrorists !
irish-1508,1,neu,Eamon Gilmore,Eamon Gilmore says the Government is attempting the stroke of all strokes in trying to manoeuvre a cabinet reshuffle . newsatone
irish-1147,2,neu,Gerry Adams,RealMattLucas `What does Gerry Adams have to say about it Matt . he can't be too pleased . `
irish-665,3,neg,John Gormley,John Gormley single handedly ruined the green party & any good reputation they had . I doubt they'll ever recover
irish-629,4,neg,Fianna Fail,Is there anyone left in Fianna Fail ? Does anybody care at this stage .
irish-1648,5,neu,Fianna Fail,Former Irish foreign minister Micheal Martin all set to run for Fianna Fail leadership again
irish-514,6,neg,Fianna Fail,Going by the logic of if you dont vote you cant complain anyone who voted Fianna Fail last time shouldnt be allowed vote this time latelate
irish-1170,7,neu,Fine Gael,senhealyeames will you be speaking up against the pensions & payments to O'Keefe/Ahern/Harney/etc and where does fine gael stand on this ?
irish-1820,8,neu,Fine Gael,Ireland : McGuinness seeks Dil gender quotas : The Ireland East Fine Gael MEP Mairead McGuinness has said . news
irish-533,9,neg,Eamon Gilmore,Has Eamon Gilmore been replaced with a bobblehead ?. ( nodding a LOT ) ge11
irish-454,0,neg,Gerry Adams,Finds it hilarious that Gerry Adams was interviewed at the back of an alley !
irish-1087,1,neu,Gerry Adams,karlmonaghan DylanTGLane I was keeping quiet about Gerry Adams . Only my select weird Internet friends know bout that one .
irish-826,2,neg,John Gormley,Some needs to tell John Gormley it's a bit late to pull out of govt after an election is called
irish-1719,3,neu,Eamon Gilmore,Governmment is dysfunctional and disintegrating says Eamon Gilmore to Dail .
irish-2210,4,neu,Sinn Fein,Sinn Fein TD sues ' Sunday World '
irish-98,5,neg,Fine Gael,labour We need a real Goverment with a Real Mandate to pass a Fianance Bill . will Labour &Fine Gael now prop up this farce ge11
irish-1538,6,neu,Fianna Fail,FAIL Tweets : 1927 ad for Fianna Fail the only Party that can give it to you
irish-1500,7,neu,Eamon Gilmore,Eamon Gilmore on RTE's Six One - Watch live -
irish-625,8,neg,Fianna Fail,Is Fianna Fail's delusion a refusal to admit that the past decade's waste has led to the destruction of what was the state's biggest power ?
irish-1822,9,neu,Sinn Fein,Ireland : Snodaigh begins defamation proceedings : Sinn Fein TD Aengus Snodaigh has begun defamation pro . news
irish-55,0,neg,Gerry Adams,DylanTGLane cerise_j that's worse than fancying Gerry Adams
irish-1398,1,neu,Fianna Fail,Can someone who knows politics explain 2me y Hanafin running for ffleader is bein treated as a joke ?
irish-309,2,neg,Brian Cowen,Brian Cowen It's over finished kaput . you've done a spectacular amount of damge to Ireland Please go .
irish-2030,3,neu,John Gormley,Met John Gormley out canvessing about 10mins ago he said the Taoiseach had just rang him and that everything was in a shambles . ge11
irish-2538,4,pos,Eamon Gilmore,Looking forward to the visit of Labour Leader Eamon Gilmore to Monksland South Roscommon on Friday evening .
irish-869,5,neg,John Gormley,The next time I walk into a room with an energy efficient bulb and then stub my toe - I will hunt you down John Gormley ge11
irish-922,6,neg,Fianna Fail,Whether Cowen stays or goes it ? s the end of Fianna Fail as we know it | Irish Examiner ffheave
irish-272,7,neg,Brian Cowen,Barack Obama : YES WE CAN ! Brian Cowen : i dont know . we might . <--- LOL
irish-1357,8,neu,Brian Cowen,Brian cowen in 1989
