pairid,argid,propid_to,propid_from,text_to,text_from,relation,normarg_nneu2_4_0,normarg_nneu2_4_1,normarg_nneu2_4_2,normarg_nneu2_4_3
00460_3#00460_3_2,00460,00460_3,00460_3_2,Obama does deserve a second term.,Improved health access for disadvantaged.,1,0.023890342137167557,0.07672440688634637,0.019622153296005754,0.0650810470580223
00460_3#00460_3_3,00460,00460_3,00460_3_3,Obama does deserve a second term.,Obama has helped protect and advance interests of disabled.,1,0.04308009639048061,0.43568414048080817,0.04633038130806597,0.4567843587109754
00643_9#00643_9_1,00643,00643_9,00643_9_1,Colonizing the Moon is a good idea.,Knowledge of Moon extensive; colonization adds little,-1,0.05846719382211456,0.463087237572983,0.02085547401726543,0.44590716930277363
00643_9#00643_9_2,00643,00643_9,00643_9_2,Colonizing the Moon is a good idea.,Moon is ideal for extra-terrestrial discovery,1,0.055635128303643325,0.5603949053872881,0.014473128952912119,0.18913886961835993
00643_9#00643_9_3,00643,00643_9,00643_9_3,Colonizing the Moon is a good idea.,Too few scientific reasons to colonize the Moon,-1,0.054026983156805035,0.3676092423120876,0.07433648078915037,0.5282087920564855
00643_9#00643_9_4,00643,00643_9,00643_9_4,Colonizing the Moon is a good idea.,Moonbase will help answer remaining scientific questions,1,0.1402759827495992,0.7551550970176191,0.0167784900592042,0.16223438801507006
00643_9#00643_9_5,00643,00643_9,00643_9_5,Colonizing the Moon is a good idea.,Manned mission to Moon less cost-effective than robotic missions,-1,0.21202382040877818,0.5250084273334136,0.2602662080038834,0.38643753738506326
00643_9#00643_9_6,00643,00643_9,00643_9_6,Colonizing the Moon is a good idea.,The Moon would be ideal site for a space observatory.,1,0.09396565271084957,0.6748531205959634,0.019029323393484947,0.20866906936068208
00793_2#00793_2_1,00793,00793_2,00793_2_1,The US is justified in unilaterally striking targets in Pakistan.,A unilateral US strike would violate the Pakistani movement to sovereign democracy.,-1,0.029420976345955065,0.5657385095441689,0.018252123177460354,0.3640255700639114
00793_2#00793_2_2,00793,00793_2,00793_2_2,The US is justified in unilaterally striking targets in Pakistan.,The Pakistani public would view a US unilateral strike as an invasion,-1,0.03171619083750375,0.43843395678699354,0.030959075383779476,0.4794268822660923
00793_2#00793_2_3,00793,00793_2,00793_2_3,The US is justified in unilaterally striking targets in Pakistan.,The Pakistani people would view unilateral strikes in a good light.,1,0.033197021578156856,0.629024857459401,0.013120864786114695,0.31242780688776056
00793_2#00793_2_4,00793,00793_2,00793_2_4,The US is justified in unilaterally striking targets in Pakistan.,The Pakistani people would act virulently.,-1,0.03566056789537724,0.4437542937600824,0.014366324290158924,0.4309296495257624
00862_3#00862_3_1,00862,00862_3,00862_3_1,Burying Osama Bin Laden at sea was the right choice.,Islamic law flexible to special burials such as Bin Ladens.,1,0.06661960709588417,0.5285225433202286,0.04473311082627759,0.38295834775917026
00862_3#00862_3_10,00862,00862_3,00862_3_10,Burying Osama Bin Laden at sea was the right choice.,Islamic traditions followed in Bin Laden burial.,1,0.04204728222818402,0.6093690633834631,0.0169820697221841,0.3075092816335763
00862_3#00862_3_11,00862,00862_3,00862_3_11,Burying Osama Bin Laden at sea was the right choice.,Giving Bin Laden religious respects degrades Islam.,-1,0.04444358565715544,0.5173841186718395,0.034228765133915054,0.4032799514458518
00862_3#00862_3_2,00862,00862_3,00862_3_2,Burying Osama Bin Laden at sea was the right choice.,Bin Laden sea burial takes religious sensitivities too far.,-1,0.02808411317210801,0.3979589916058875,0.035111509185223454,0.5197815967729624
00862_3#00862_3_3,00862,00862_3,00862_3_3,Burying Osama Bin Laden at sea was the right choice.,"Sea burial pays respect to Islam, not to Bin Laden.",1,0.12624066206603055,0.45402837853586986,0.13876448864692614,0.4709354026278061
00862_3#00862_3_4,00862,00862_3,00862_3_4,Burying Osama Bin Laden at sea was the right choice.,"Many Muslims would have preferred to see body, confirm death.",-1,0.08154136276702367,0.45179229592463954,0.0812339588672144,0.45104293482567304
00862_3#00862_3_5,00862,00862_3,00862_3_5,Burying Osama Bin Laden at sea was the right choice.,Why give Osama Bin Laden a dignified religious burial?,-1,0.3636021180059105,0.273057296793195,0.21707150537215952,0.2643420162558285
00862_3#00862_3_6,00862,00862_3,00862_3_6,Burying Osama Bin Laden at sea was the right choice.,"Land burial only a tradition, not in Quran.",1,0.08981373838146083,0.4457807208940568,0.08958034503796104,0.4430282961667441
00862_3#00862_3_7,00862,00862_3,00862_3_7,Burying Osama Bin Laden at sea was the right choice.,Bin Laden sea burial violates Islamic tradition.,-1,0.047739682110873434,0.5775082479418322,0.025773040876165148,0.33376347233391207
00862_3#00862_3_8,00862,00862_3,00862_3_8,Burying Osama Bin Laden at sea was the right choice.,Remains buried at sea are considered lost by Muslims.,-1,0.02824401246704126,0.46081432864353916,0.028356317584390927,0.46198846477509337
00862_3#00862_3_9,00862,00862_3,00862_3_9,Burying Osama Bin Laden at sea was the right choice.,Sea burial only option consistent with 24-hour Islamic rule.,1,0.25699416517004425,0.6063952916986012,0.06848421908431934,0.2812772253124057
00915_4#00915_4_1,00915,00915_4,00915_4_1,The United States NSAs warrantless wiretapping program was justified.,"The Supreme Court has long held that the Fourth Amendment allows warrantless searches where special needs, beyond the normal need for law enforcement"" exist",1,0.13146615862594585,0.35710484463310227,0.07516343019786939,0.5280411495567708
00915_4#00915_4_12,00915,00915_4,00915_4_12,The United States NSAs warrantless wiretapping program was justified.,"The NSA programs abuses of civil liberties extend well beyond the ""special needs"" category of the law:",-1,0.030438627693929014,0.3444447902653834,0.026130189016805846,0.5711883625326625
00915_4#00915_4_20,00915,00915_4,00915_4_20,The United States NSAs warrantless wiretapping program was justified.,The program easily meets the Courts reasonableness test for whether a warrant is required.,1,0.08141428262798565,0.6116495502010543,0.02503314758942881,0.26059427922552714
00915_4#00915_4_6,00915,00915_4,00915_4_6,The United States NSAs warrantless wiretapping program was justified.,"Judge Taylor misused the precedent of the ""Youngstown Sheet and Tube Case"" (seizure of U.S. steel mills in the face of a union strike) and overlooked many of its and subsequent rulings",1,0.01136897953046208,0.057283236077136625,0.010006001657378734,0.05176980120708041
00915_4#00915_4_9,00915,00915_4,00915_4_9,The United States NSAs warrantless wiretapping program was justified.,The NSA programs failure to procure judicial orders violated the fourth (right to privacy) and first amendments (freedom of speech):,-1,0.15045386745043204,0.5105663153635642,0.06444151363386096,0.2508816207496477
00915_9#00915_9_2,00915,00915_9,00915_9_2,The United States NSAs warrantless wiretapping program was justified.,The NSA program was legal under Title II of the USA PATRIOT Act entitled Enhanced Surveillance Procedures.,1,0.06581043715042431,0.5380628843027935,0.019646531891637113,0.3744689058815651
00915_9#00915_9_3,00915,00915_9,00915_9_3,The United States NSAs warrantless wiretapping program was justified.,The administration argued as early as 2004:,1,0.0701155449731189,0.33847936426671626,0.04776419740623532,0.41803678017544704
00915_9#00915_9_4,00915,00915_9,00915_9_4,The United States NSAs warrantless wiretapping program was justified.,"Some sources claim,according to Wikipedia, that in order for Title II to be used in defense of the program",-1,0.04918001094834447,0.43208448786202214,0.05998645588300535,0.3938658092386679
00924_3#00924_3_1,00924,00924_3,00924_3_1,Wave power is good.,Under-water wave power systems avoid aesthetic concerns.,1,0.02266132407358114,0.6283455537954243,0.06839413267611574,0.24404126692477301
00924_3#00924_3_2,00924,00924_3,00924_3_2,Wave power is good.,Wave generators degrade the pristine beauty of the environment.,-1,0.022428831045188276,0.3094774577678937,0.04056357777326309,0.5485795390715132
00924_3#00924_3_3,00924,00924_3,00924_3_3,Wave power is good.,Under-water wave power is too expensive to solve aesthetics.,-1,0.01795281977905125,0.43824397601447657,0.016491361565430625,0.40586243901816826
00925_6#00925_6_1,00925,00925_6,00925_6_1,The New Start nuclear arms reduction treaty is a good idea.,New START is about national politics not interests.,-1,0.14574272362718854,0.4240217104074633,0.121483218776671,0.4388055406772187
00925_6#00925_6_2,00925,00925_6,00925_6_2,The New Start nuclear arms reduction treaty is a good idea.,Russia will build-up nuclear arms without New START.,1,0.11546249650674385,0.42543405737552814,0.0906776724594507,0.47507954636551963
00925_6#00925_6_3,00925,00925_6,00925_6_3,The New Start nuclear arms reduction treaty is a good idea.,Reducing US-Russian nuclear weapons makes for a safer world.,1,0.04524183748408152,0.7386534714640732,0.00900248004268733,0.1873102683865191
01026_1#01026_1_1,01026,01026_1,01026_1_1,Israels 2008/2009 military bombing and invasion of Gaza was justified.,"Israels strikes have severely damaged Hamas, secured Israel",1,0.03747747548710425,0.4295586180894487,0.02738840504567608,0.4909514866950482
01026_1#01026_1_10,01026,01026_1,01026_1_10,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israeli assault on Hamas upholds liberty globally,1,0.15633900815041166,0.45912424437744054,0.08218305744538791,0.4230297163083415
01026_1#01026_1_11,01026,01026_1,01026_1_11,Israels 2008/2009 military bombing and invasion of Gaza was justified.,"Israels Gaza assault was ""aggression"" not ""self-defense"" under i-law",-1,0.12384841205168688,0.44482330903564604,0.12763609667105463,0.4155419673974765
01026_1#01026_1_12,01026,01026_1,01026_1_12,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israel has a right to determine how best to uphold its security.,1,0.47877360206191294,0.0007968656712618055,0.3561187738126592,0.0007327051890360838
01026_1#01026_1_13,01026,01026_1,01026_1_13,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israels assault on Gaza was an act of self-defense,1,0.1030889522655471,0.398746485916623,0.06660954728712282,0.5234692318477588
01026_1#01026_1_14,01026,01026_1,01026_1_14,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israel cannot be safe with a terrorist regime in Gaza,1,0.4087336243905795,0.5336957429830785,0.1690043257623575,0.2758315353452954
01026_1#01026_1_2,01026,01026_1,01026_1_2,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Hamas will easily rebuild from damage inflicted by Israel,-1,0.039964960409558374,0.5160803935687743,0.029138076601216444,0.39655161064585687
01026_1#01026_1_3,01026,01026_1,01026_1_3,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israel cannot destroy Hamas and end rocket attacks by force,-1,0.3277309736132802,0.2657377114662604,0.1734514414010946,0.22548598568221545
01026_1#01026_1_4,01026,01026_1,01026_1_4,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israels attack of Gaza was not an act of last resort,-1,0.09805330110067978,0.5125087206625061,0.0647207188954603,0.3658127467759571
01026_1#01026_1_5,01026,01026_1,01026_1_5,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israeli attacks on Gaza feed extremist resentment and terrorism,-1,0.025036151102426015,0.5022974625527086,0.022379831965907863,0.40773816722139167
01026_1#01026_1_6,01026,01026_1,01026_1_6,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Military strikes in Gaza re-establish Israeli deterrence,1,0.056434880135338275,0.4382265106349037,0.045873980535296247,0.43725519242218025
01026_1#01026_1_7,01026,01026_1,01026_1_7,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israeli attacks embolden extremists on both sides in cycle of violence,-1,0.018821944799429783,0.44019113256497044,0.01766392658671838,0.48564348252988865
01026_1#01026_1_8,01026,01026_1,01026_1_8,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israels assault in Gaza was an act of last resort,1,0.09111932458259528,0.424718643275617,0.074796352109937,0.5064387308985917
01026_1#01026_1_9,01026,01026_1,01026_1_9,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israeli assault may actually increase support for Hamas,-1,0.016314822448958474,0.46419309742336706,0.016460745989161283,0.4650844597459564
01101_13#01101_13_1,01101,01101_13,01101_13_1,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,China is actually taking good measures to fight global warming.,1,0.07308126575576492,0.6214533858693506,0.023672021785127187,0.2586773776000086
01101_13#01101_13_2,01101,01101_13,01101_13_2,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,Industrial countries caused global warming so should carry burden,1,0.7006246401202527,0.02838814048573375,0.16778038054191727,0.048208001861964216
01101_13#01101_13_3,01101,01101_13,01101_13_3,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,Kyoto regulations on developed nations hurts developing nations,-1,0.06809977383949078,0.4661740327106782,0.0147848088267656,0.4189847199099903
01101_13#01101_13_4,01101,01101_13,01101_13_4,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,Kyoto Protocol wrongly exempts large developing nations.,-1,0.014697750338304396,0.28141168274588935,0.05714300759898723,0.6449064026549314
01101_13#01101_13_5,01101,01101_13,01101_13_5,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,India/China can be pressured into joining Kyoto or other treaties,1,0.031054295545026193,0.5008365431687936,0.004526675971912381,0.4095042686098052
01151_19#01151_19_1,01151,01151_19,01151_19_1,Single-payer health care is a good idea.,"When the wealthy must use public health care, the system improves",1,0.21865695715072606,0.7631046002755599,0.02733668970939613,0.154341719614484
01151_19#01151_19_2,01151,01151_19,01151_19_2,Single-payer health care is a good idea.,Many single-payer systems give patients free choice of practitioners.,1,0.04881238324389486,0.7323099562776654,0.008425272317303521,0.1654464672149858
01151_19#01151_19_3,01151,01151_19,01151_19_3,Single-payer health care is a good idea.,People have a right to pay more for better health care,-1,0.6564949466776937,0.0013113212818028506,0.12596022726725928,0.00032720598923465915
01151_19#01151_19_4,01151,01151_19,01151_19_4,Single-payer health care is a good idea.,Universal health care will have rules that decrease patient flexibility,-1,0.07474219059578602,0.6370103842374233,0.011222180707390443,0.29463035917620684
00002_1#00002_1_1,00002,00002_1,00002_1_1,"The US government ""fair use"" copyright clause is a good thing.","Fair use doesn""t give copyright holders enough rights",-1,0.16666478455731285,0.4085728961167755,0.2242211880952988,0.49662446325545395
00002_1#00002_1_2,00002,00002_1,00002_1_2,"The US government ""fair use"" copyright clause is a good thing.",Fair Use provides sufficient protection to copyright-holders to generate significant revenues.,1,0.022930762414131323,0.7703899385194487,0.0037198027166816185,0.16826858488279917
00002_1#00002_1_3,00002,00002_1,00002_1_3,"The US government ""fair use"" copyright clause is a good thing.",Fair Use allows reasonable copying of copyrighted works,1,0.22020159952008334,0.5946527232644303,0.04317085683643877,0.3124700996502305
00002_1#00002_1_4,00002,00002_1,00002_1_4,"The US government ""fair use"" copyright clause is a good thing.",Difficulties in defining Fair Use leads to wasteful court-battles.,-1,0.01341389969524348,0.32623724128062853,0.02411814769638148,0.5863885747142715
00112_7#00112_7_1,00112,00112_7,00112_7_1,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.","No Child Left Behind offers flexibility at state, local level",1,0.1334844197618025,0.6399939984980868,0.04920380743966586,0.30591243584356576
00112_7#00112_7_2,00112,00112_7,00112_7_2,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",NCLB state testing is done more widely with greater effect.,1,0.006244636939630737,0.16041812761827404,0.0020939215946392292,0.06116255417671839
00112_7#00112_7_3,00112,00112_7,00112_7_3,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",No Child Left Behind exerts too much federal power over states.,-1,0.03953130777314267,0.3764682163000704,0.06547451133019548,0.5533323460836542
00112_7#00112_7_4,00112,00112_7,00112_7_4,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",No Child Left Behind encourages states to set low standards.,-1,0.178838042139457,0.5016722640131653,0.12982743828079915,0.4164868021737621
00112_7#00112_7_5,00112,00112_7,00112_7_5,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",Education standards between states are inconsistent under NCLB,-1,0.06970806788005225,0.547399450616523,0.03338452356533868,0.29423508582458985
00112_7#00112_7_6,00112,00112_7,00112_7_6,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",Statewide standards are an improvement over major local failures:,1,0.015442664670502423,0.22824037058963573,0.007136550500516816,0.1832224498210912
00112_7#00112_7_7,00112,00112_7,00112_7_7,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",States are free to opt out of No Child Left Behind,1,0.3650815332533341,0.010812071259183988,0.3286160398267588,0.0070268300147108
00112_7#00112_7_8,00112,00112_7,00112_7_8,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",NCLB damages relationship/accountability of schools to community.,-1,0.05089969885433844,0.4694083711599435,0.0686582877990757,0.36183553854853806
00126_11#00126_11_1,00126,00126_11,00126_11_1,The idea of missile defenses in the Czech Republic and Poland is justified.,Iran poses a significant nuclear and ballistic missile threat,1,0.03819134926651467,0.4488451223880894,0.04124627671327114,0.41895013847992874
00126_11#00126_11_2,00126,00126_11,00126_11_2,The idea of missile defenses in the Czech Republic and Poland is justified.,Iran can be deterred; attacking others would result in its annihilation,-1,0.015444898115084852,0.49526312867597627,0.014085325668970786,0.39388529345302503
00126_11#00126_11_3,00126,00126_11,00126_11_3,The idea of missile defenses in the Czech Republic and Poland is justified.,"Iran would not use missiles; they lack ""plausible deniability""",-1,0.07938312594742877,0.5301168685277216,0.048859204949324476,0.38835699287119585
00126_11#00126_11_4,00126,00126_11,00126_11_4,The idea of missile defenses in the Czech Republic and Poland is justified.,Intelligence reports show Iranian threat has been exaggerated,-1,0.014407123655107315,0.20499250357308926,0.012261243355078257,0.24691072076322945
00126_11#00126_11_5,00126,00126_11,00126_11_5,The idea of missile defenses in the Czech Republic and Poland is justified.,Iran is simply not a geopolitical threat to international order,-1,0.0679884698244319,0.27880333531268625,0.044594036662210124,0.21175166610346963
00130_3#00130_3_1,00130,00130_3,00130_3_1,Airport security profiling is a good idea.,Israeli style profiling system not scalable in America.,-1,0.015339359952989302,0.34805920891629105,0.06696504512651333,0.5446619272087905
00130_3#00130_3_2,00130,00130_3,00130_3_2,Airport security profiling is a good idea.,"Profiling works well for Israel, can work well elsewhere",1,0.03314433702635899,0.6678531257123334,0.007562283860055875,0.22197499257386735
00130_3#00130_3_3,00130,00130_3,00130_3_3,Airport security profiling is a good idea.,Profiling makes far less sense in America than Israel,-1,0.019807004964223583,0.32402384575115245,0.038714996975848695,0.557849875037367
00183_1#00183_1_1,00183,00183_1,00183_1_1,"The CTBT, or any other nuclear test ban treaty, is a good idea.",Enforcing a nuclear test ban is a risky proposition.,-1,0.015912296569549178,0.46252177545699535,0.016061071035068677,0.4329108791026459
00183_1#00183_1_2,00183,00183_1,00183_1_2,"The CTBT, or any other nuclear test ban treaty, is a good idea.",Improved monitoring from test ban provides important information,1,0.08458659252808648,0.7994856251197391,0.011397363671776763,0.15627769010918885
00183_1#00183_1_3,00183,00183_1,00183_1_3,"The CTBT, or any other nuclear test ban treaty, is a good idea.",New technologies enable detection and ban of nuclear tests.,1,0.07042012532367686,0.662449779489012,0.015532847659734594,0.2523851049211581
00183_1#00183_1_4,00183,00183_1,00183_1_4,"The CTBT, or any other nuclear test ban treaty, is a good idea.",Nuclear Test Ban lacks force behind it,-1,0.037478342820574564,0.3921461552613298,0.06802424915956448,0.5436926141114095
00183_1#00183_1_5,00183,00183_1,00183_1_5,"The CTBT, or any other nuclear test ban treaty, is a good idea.","Enforcing a test ban, not detecting tests, is the issue",-1,0.02515574601309075,0.1387136519494812,0.08447565154560252,0.8057677198407645
00183_1#00183_1_6,00183,00183_1,00183_1_6,"The CTBT, or any other nuclear test ban treaty, is a good idea.",Detecting nuclear tests is too difficult to enforce ban,-1,0.021420699756883838,0.5199790701278112,0.015109224256769034,0.38122339854829906
00183_6#00183_6_1,00183,00183_6,00183_6_1,"The CTBT, or any other nuclear test ban treaty, is a good idea.",Monitoring NCBT could further alienate countries.,-1,0.014568740084696328,0.29343509041350685,0.008757894878884113,0.6177895746059511
00183_6#00183_6_2,00183,00183_6,00183_6_2,"The CTBT, or any other nuclear test ban treaty, is a good idea.",CTBT has gained widespread support; should receive more.,1,0.7745074899706714,0.16418810859558258,0.11811288617648626,0.03373810965034217
00183_6#00183_6_3,00183,00183_6,00183_6_3,"The CTBT, or any other nuclear test ban treaty, is a good idea.",Test ban treaty helps reduce wasteful government spending,1,0.06820515797496149,0.7714425954547064,0.018466957732833383,0.18187711025490777
00183_6#00183_6_4,00183,00183_6,00183_6_4,"The CTBT, or any other nuclear test ban treaty, is a good idea.",World can better leverage rogue states after ratifying CTBT,1,0.08438614191080801,0.7468027384112347,0.011041776329909037,0.1912394900096799
00196_15#00196_15_1,00196,00196_15,00196_15_1,Capitalism is the superior system to socialism.,Poverty is a byproduct of inequalities under capitalism.,-1,0.039416566816210204,0.43705767325518474,0.036123925364939,0.47232177100615985
00196_15#00196_15_10,00196,00196_15,00196_15_10,Capitalism is the superior system to socialism.,Capitalism makes the rich richer and the poor poorer,-1,0.10084635098974584,0.4587079587957548,0.06638618484751382,0.4612978968182104
00196_15#00196_15_2,00196,00196_15,00196_15_2,Capitalism is the superior system to socialism.,"Business don""t take from poor; they add value and jobs.",1,0.045698928875740584,0.2861530487589615,0.03252016791657466,0.18276835607453273
00196_15#00196_15_3,00196,00196_15,00196_15_3,Capitalism is the superior system to socialism.,"Capitalism fosters equal opportunity, not equal outcome.",1,0.05112383419743767,0.43796648435048985,0.04232133991036589,0.5005131847217286
00196_15#00196_15_4,00196,00196_15,00196_15_4,Capitalism is the superior system to socialism.,Inequalities in capitalism stifle individual opportunity.,-1,0.0445711473023917,0.37641694152248406,0.03943361706736616,0.5407564688161433
00196_15#00196_15_5,00196,00196_15,00196_15_5,Capitalism is the superior system to socialism.,Capitalism gives everyone the opportunity to succeed,1,0.2388127435267361,0.6393300870810109,0.0713943135192725,0.2836901410213885
00196_15#00196_15_6,00196,00196_15,00196_15_6,Capitalism is the superior system to socialism.,Capitalism is unequal riches; socialism is equal poverty,1,0.16036535961226978,0.4113619263454189,0.12592961298622463,0.4661130113346741
00196_15#00196_15_7,00196,00196_15,00196_15_7,Capitalism is the superior system to socialism.,Income and rewards in capitalism are unequal,-1,0.04792366657554465,0.45325467766393535,0.04746955055720557,0.451042668564951
00196_15#00196_15_8,00196,00196_15,00196_15_8,Capitalism is the superior system to socialism.,Socialism does not bring poverty but prosperity.,-1,0.04655671684685065,0.4183339791934906,0.06106250454128411,0.49040472714940664
