argid,propid,text,ie
00040,00040_1_6,"Limits can be imposed on burqa when necessary, but not ban","[[""Limits"", ""can not ban""], [""Limits"", ""can be imposed"", ""on burqa"", ""when necessary""]]"
00040,00040_1_7,General statements in favor of ban on burqa and niqab,[]
00040,00040_1_8,Discomfort with burqa is inadequate to ban it,"[[""Discomfort with burqa"", ""to ban"", ""it""], [""Discomfort with burqa"", ""is"", ""inadequate to ban it""]]"
00040,00040_1_9,Burqa ban violates rights of women to their own body.,"[[""Burqa ban"", ""violates"", ""rights of women""]]"
00055,00055_13,Iraq should be partitioned into three autonomous sectarian regions.,"[[""Iraq"", ""should be partitioned"", ""into three autonomous sectarian regions""]]"
00055,00055_13_1,The Shiite Islamist leader Abdul Aziz al-Hakim,[]
00055,00055_13_2,Many Shias would reject a US partition plan as an imperialist divide-and-conquer strategy:,"[[""Many Shias"", ""would reject"", ""a US partition plan"", ""as an imperialist divide-and-conquer strategy""]]"
00055,00055_13_3,Shias see a partition plan as a means of constraining the Sunnis:,"[[""Shias"", ""see"", ""a partition plan"", ""as a means of constraining the Sunnis""]]"
00055,00055_13_5,Shiite leaders opposing any partition plan:,"[[""Shiite leaders"", ""opposing"", ""any partition plan""]]"
00055,00055_13_6,"""The Supreme Council for Islamic Revolution in Iraq (SCIRI), a Shia party, advocate a southern federal region.""","[[""Iraq ( SCIRI )"", ""[is] a party [of]"", ""Shia""], [""Iraq ( SCIRI )"", ""[is]"", ""a Shia party""], [""The Supreme Council for Islamic Revolution in Iraq"", ""advocate"", ""a southern federal region""]]"
00055,00055_13_7,A substantial body of Shiites are committed to Iraqi Unity:,"[[""A substantial body of Shiites"", ""are committed"", ""to Iraqi Unity""]]"
00055,00055_13_8,Iraq Overall:,[]
00055,00055_14,Iraq should be partitioned into three autonomous sectarian regions.,"[[""Iraq"", ""should be partitioned"", ""into three autonomous sectarian regions""]]"
00055,00055_14_1,Claim that Arab Sunni Iraqis strongly reject the federalism envisioned by the Kurds:,"[[""the federalism"", ""envisioned"", ""by the Kurds""], [""Arab Sunni Iraqis"", ""strongly reject"", ""the federalism envisioned by the Kurds""]]"
00055,00055_14_2,Claim that Sunnis fear being isolated from Iraqs oil resources:,"[[""Claim that Sunnis fear"", ""being isolated"", ""from Iraqs oil resources""], [""Sunnis"", ""fear""]]"
00055,00055_14_3,"Claim that Sunnis may have the most to gain from a partitioning of Iraq, giving them reasons to change their general position to support for a partition plan:","[[""the most"", ""to gain"", ""from a partitioning of Iraq"", ""giving them reasons""], [""Sunnis"", ""may have"", ""the most to gain from a partitioning of Iraq,""]]"
00081,00081_5,Women should breastfeed in public. It should be legal and protected.,"[[""Women"", ""should breastfeed"", ""in public""], [""It"", ""should be protected""], [""It"", ""should be"", ""legal""]]"
00081,00081_5_1,If breastfeeders must cover; meateaters should eat under table,"[[""meateaters"", ""should eat"", ""under table""], [""breastfeeders"", ""must cover""]]"
00081,00081_5_2,Breastfeeding is a privilege.,"[[""Breastfeeding"", ""is"", ""a privilege""]]"
00081,00081_5_3,Those offended by breastfeeding should tolerate it.,"[[""Those"", ""by breastfeeding""], [""Those offended by breastfeeding"", ""should tolerate"", ""it""], [""Those"", ""offended"", ""by breastfeeding""]]"
00171,00171_4,The Palestinians do have the right to return.,"[[""The Palestinians"", ""do have"", ""the right to return""]]"
00171,00171_4_1,The right of return is internationally recognized,"[[""The right of return"", ""is recognized""]]"
00171,00171_4_2,More of a right to leave than right to return.,[]
00171,00171_4_3,Jews expelled from Arab countries have no right of return.,"[[""Jews"", ""have"", ""no right of return""], [""Jews"", ""expelled"", ""from Arab countries""]]"
00171,00171_4_4,"Palestinians maybe ""should"" be allowed to return, but have no ""right""","[[""Palestinians"", ""have"", ""no \"" right""], [""Palestinians"", ""to return""], [""Palestinians"", ""should be allowed""]]"
00171,00171_4_5,"Palestinians were forced to leave, have a right to return.","[[""Palestinians"", ""have"", ""a right to return""], [""Palestinians"", ""to leave""], [""Palestinians"", ""were forced"", ""to leave""]]"
00171,00171_4_6,"Right of return jeopardizes Israeli welfare, so invalid",[]
00171,00171_4_7,Right of return based on claim of unprovoked victimhood.,[]
00171,00171_4_8,"Palestinians never citizens of Israel, no right to return.",[]
00184,00184_3,Catholic priests still should be required to take a vow of celibacy.,"[[""Catholic priests"", ""to take"", ""a vow of celibacy""], [""Catholic priests"", ""should be required"", ""to take a vow of celibacy"", ""still""]]"
00184,00184_3_1,Celibate priests avoid being torn between God and family,"[[""Celibate priests"", ""being torn"", ""between God and family""], [""Celibate priests"", ""avoid"", ""being torn between God and family""]]"
00184,00184_3_10,Marriage/sex are sacred; priests should be allowed to marry,"[[""Marriage/sex"", ""are"", ""sacred""], [""priests"", ""should be allowed""], [""priests"", ""to marry""]]"
00184,00184_3_2,Marriage and family do not distract from priesthood.,"[[""family"", ""do not distract"", ""from priesthood""], [""Marriage"", ""do not distract"", ""from priesthood""]]"
00184,00184_3_3,Married priests could better consult married churchgoers,"[[""Married priests"", ""could consult"", ""married churchgoers""]]"
00184,00184_3_4,Statements that Catholic priests should be allowed to marry,"[[""Catholic priests"", ""to marry""], [""Catholic priests"", ""should be allowed""]]"
00184,00184_3_9,Celibacy forces priests to live lonely life; bad for Church.,"[[""Celibacy forces priests"", ""to live"", ""lonely life; bad for Church""]]"
00211,00211_8,The US federal government should increase the minimum wage.,"[[""The US federal government"", ""should increase"", ""the minimum wage""]]"
00211,00211_8_12,"""President Bush signaled readiness last week to consider some Democratic priorities such as a minimum-wage increase"".","[[""President Bush"", ""signaled readiness to consider"", ""some Democratic priorities such as a minimum-wage increase""], [""President Bush"", ""signaled"", ""readiness"", ""last week"", ""to consider some Democratic priorities such as a minimum-wage increase""]]"
00211,00211_8_14,Senator Rick Santorum (R-PA),[]
00211,00211_8_2,Sen. Edward Kennedy,[]
00211,00211_8_3,Democrats tend to support raising the minimum wage and are making it majority legislative priority for the 110th Congress:,"[[""Democrats"", ""are making"", ""it majority legislative priority for the 110th Congress""], [""Democrats"", ""to support""], [""Democrats"", ""tend"", ""to support""], [""Democrats"", ""to support raising"", ""the minimum wage""], [""Democrats"", ""to support"", ""raising the minimum wage""], [""Democrats"", ""tend"", ""to support raising the minimum wage""]]"
00211,00211_8_4,Assistant Majority Leader Dick Durbin:,"[[""Durbin"", ""[is] Dick [of]"", ""Assistant Majority Leader""]]"
00211,00211_8_6,Nancy Pelosi - 110th Congress House Speaker,[]
00211,00211_8_7,Republicans tend to oppose raising the minimum wage:,"[[""Republicans"", ""to oppose raising"", ""the minimum wage""], [""Republicans"", ""to oppose"", ""raising the minimum wage""], [""Republicans"", ""tend"", ""to oppose raising the minimum wage""]]"
00233,00233_1,Aboriginals should be treated differently under the law.,"[[""Aboriginals"", ""should be treated differently"", ""under the law""]]"
00233,00233_1_2,"Cultures, including aboriginal traditions, evolve and morph through time and the interaction with other cultures:","[[""Cultures , including aboriginal traditions"", ""evolve""]]"
00233,00233_1_4,The treaties were made by a colonial power in a different age and time:,"[[""The treaties"", ""were made"", ""by a colonial power"", ""in a different time""], [""The treaties"", ""were made"", ""by a colonial power in a different age""]]"
00233,00233_1_5,Aboriginal culture will be lost if modern governments do not help to protect it:,"[[""modern governments"", ""do not help to protect"", ""it""], [""modern governments"", ""do not help"", ""to protect it""], [""Aboriginal culture"", ""will be lost"", ""if modern governments do not help to protect it""]]"
00233,00233_1_6,Aboriginals deserve differential treatment as compensation for violated treaties:,"[[""Aboriginals"", ""deserve"", ""differential treatment as compensation for violated treaties""]]"
00280,00280_3,Men found guilty of sex crimes should be chemically castrated.,"[[""Men"", ""found"", ""guilty of sex crimes""]]"
00280,00280_3_1,"Any attempt to ""help"" offender may be soft on him.","[[""Any attempt to \""help\"" offender"", ""may be"", ""soft on him""]]"
00280,00280_3_2,Castration exposes sex offenders to side effects,"[[""Castration"", ""exposes"", ""sex offenders"", ""to side effects""]]"
00280,00280_3_3,"Do those that can""t stand side-effects go back to jail.","[[""those"", ""can t stand"", ""side-effects""]]"
00280,00280_3_4,Castration is a humane alternative to life-long imprisonment.,"[[""Castration"", ""is"", ""a humane alternative to life-long imprisonment""]]"
00280,00280_3_5,Castrating sex offenders less effective than psychotheraphy.,[]
00280,00280_3_6,Castration helps sex offender by freeing them of urges.,"[[""Castration"", ""helps sex offender by freeing"", ""them"", ""of urges""], [""Castration"", ""helps"", ""sex offender""]]"
00321,00321_2,Human reproductive cloning should be banned and punishments should be leveled against it.,"[[""punishments"", ""should be leveled"", ""against it""], [""Human reproductive cloning"", ""should be banned""]]"
00321,00321_2_1,Human cloning would enable infertile couples to have children,"[[""infertile couples"", ""to have"", ""children""], [""Human cloning"", ""would enable"", ""infertile couples"", ""to have children""]]"
00321,00321_2_2,Cloning allows gay couples to have children of their own blood,"[[""gay couples"", ""to have"", ""children of their own blood""], [""Cloning"", ""allows"", ""gay couples to have children of their own blood""]]"
00321,00321_2_3,"The ends don""t justify the means in cloning a child.","[[""t"", ""justify"", ""the means in cloning a child""], [""The ends"", ""don"", ""t justify the means in cloning a child""]]"
00321,00321_2_4,By the will of nature/God infertile couples are not meant to reproduce,"[[""God infertile couples"", ""to reproduce""], [""God infertile couples"", ""are not meant""]]"
00322,00322_13,The American War on Drugs is succeeding and it should not be abandoned.,"[[""it"", ""should not be abandoned""], [""The American War on Drugs"", ""is succeeding""]]"
00322,00322_13_1,State justified in protecting individuals from own drug abuse.,"[[""State"", ""justified"", ""in protecting individuals from own drug abuse""]]"
00322,00322_13_2,"Individuals are at liberty to take drugs, harm themselves","[[""Individuals"", ""harm"", ""themselves""], [""Individuals"", ""to take"", ""drugs""], [""Individuals"", ""are"", ""at liberty"", ""to take drugs""]]"
00322,00322_13_3,State should not regulate belief in creative value of drugs,"[[""State"", ""should not regulate"", ""belief in creative value of drugs""]]"
00322,00322_13_4,War on Drugs is overly punitive and draconian,"[[""War on Drugs"", ""is"", ""draconian""], [""War on Drugs"", ""is"", ""overly punitive""]]"
00322,00322_13_5,State should not regulate spiritual interest in drugs,"[[""State"", ""should not regulate"", ""spiritual interest in drugs""]]"
00322,00322_13_6,War on Drugs invades privacy of Americans,[]
00322,00322_13_7,The state is justified in protecting society from drug-users.,"[[""The state"", ""is justified"", ""in protecting society from drug-users""]]"
00387,00387_5,Hydrogen vehicles should be a major part of strategies to fight global warming.,"[[""Hydrogen vehicles"", ""should be"", ""a major part of strategies""]]"
00387,00387_5_1,Hydrogen cars will help end foreign oil dependencies,"[[""Hydrogen cars"", ""will help end"", ""foreign oil dependencies""], [""Hydrogen cars"", ""will help"", ""end foreign oil dependencies""]]"
00387,00387_5_2,Hydrogen can decrease tensions over oil and promote peace,"[[""Hydrogen"", ""can decrease"", ""tensions over oil""]]"
00387,00387_5_3,"Uneconomical hydrogen cars can""t lower foreign dependencies.",[]
00387,00387_5_4,Alternatives to hydrogen exist to lower foreign oil dependencies.,"[[""Alternatives to hydrogen"", ""exist""]]"
00466,00466_5,Acts of hate should be criminalized.,"[[""Acts of hate"", ""should be criminalized""]]"
00466,00466_5_1,Hate crime laws can help emphasize the importance of tolerance.,[]
00466,00466_5_2,Hate crime laws target violent acts not thoughts,"[[""Hate crime laws"", ""target"", ""violent acts""]]"
00466,00466_5_3,Hate is a learned attribute; no individual is born hating.,"[[""Hate"", ""is"", ""a learned attribute""], [""no individual"", ""is born"", ""hating""], [""no individual"", ""hating""]]"
00466,00466_5_4,"Hate crime laws won""t change hatred.","[[""Hate crime laws"", ""won"", ""t change hatred""]]"
00466,00466_5_5,Hate Crime laws would only INCREASE racial tension.,"[[""Hate Crime laws"", ""would INCREASE"", ""racial tension""]]"
00549,00549_10,The United Kingdom should hand over the Falkland Islands to Argentina.,"[[""The United Kingdom"", ""should hand over"", ""the Falkland Islands"", ""to Argentina""]]"
00549,00549_10_1,The Argentines invaded British territory.,"[[""The Argentines"", ""invaded"", ""British territory""]]"
00549,00549_10_2,Britain sent its soldiers to fight an unjust war in the Falkland Islands.,"[[""its soldiers"", ""to fight"", ""an unjust war"", ""in the Falkland Islands""], [""Britain"", ""sent"", ""its soldiers"", ""to fight an unjust war in the Falkland Islands""]]"
00549,00549_10_3,Returning the Falkland Islands would be an insult to dead soldiers.,"[[""Returning the Falkland Islands"", ""would be"", ""an insult to dead soldiers""]]"
00549,00549_10_4,The British had permission from the UN to use reasonable force to retake the islands,"[[""The British"", ""had permission from the UN to use"", ""reasonable force"", ""to retake the islands""], [""The British"", ""had"", ""permission from the UN""]]"
00572,00572_7,The US-Indian nuclear deal was justified. It should move forward.,"[[""The US-Indian nuclear deal"", ""was justified""], [""It"", ""should move"", ""forward""]]"
00572,00572_7_1,US-India nuclear deal heightens India-Pakistan nuclear tensions.,"[[""US-India nuclear deal"", ""heightens"", ""India-Pakistan nuclear tensions""]]"
00572,00572_7_3,US-India nuclear deal could cause Pakistan to seek similar deal elsewhere.,"[[""Pakistan"", ""to seek"", ""similar deal"", ""elsewhere""], [""US-India nuclear deal"", ""could cause"", ""Pakistan to seek similar deal elsewhere""]]"
00572,00572_7_4,US-India nuclear deal alienates Pakistan (does not have a deal).,"[[""Pakistan"", ""does not have"", ""a deal""], [""US-India nuclear deal"", ""alienates"", ""Pakistan""]]"
00637,00637_3,Public schools should have condom distribution programs.,"[[""Public schools"", ""should have"", ""condom distribution programs""]]"
00637,00637_3_1,Religious considerations are not irrelevant.,"[[""Religious considerations"", ""are not"", ""irrelevant""]]"
00637,00637_3_2,Condoms for students can offend people from different religions.,"[[""Condoms for students"", ""can offend"", ""people from different religions""]]"
00637,00637_3_3,Putting a condom machine in a school does not mean that all students are encouraged to have sex,"[[""all students"", ""are encouraged"", ""to have sex""], [""Putting a condom machine in a school"", ""does not mean"", ""that all students are encouraged to have sex""], [""all students"", ""to have"", ""sex""]]"
00750,00750_4,Governments should require that genetically modified foods be labeled.,"[[""genetically modified foods"", ""be labeled""], [""Governments"", ""should require"", ""that genetically modified foods be labeled""]]"
00750,00750_4_1,Food producers opposing GM labels appear to be hiding risks.,"[[""Food producers opposing GM labels"", ""to be hiding"", ""risks""], [""Food producers opposing GM labels"", ""appear""], [""Food producers"", ""opposing"", ""GM labels""]]"
00750,00750_4_2,Labeling is part of efforts to stigmatize GM foods,"[[""Labeling"", ""is"", ""part of efforts""]]"
00750,00750_4_3,GM food producers opposing labels seem against consumer choice.,"[[""GM food producers opposing labels"", ""seem""], [""GM food producers"", ""opposing"", ""labels""]]"
00750,00750_4_4,GM labeling improves confidence in food safety measures,"[[""GM labeling"", ""improves"", ""confidence in food safety measures""]]"
00750,00750_4_5,Labeling of GM foods alarms and turns-away consumers.,[]
00750,00750_4_6,It is good for labeling to turn consumers off to GM foods.,"[[""labeling"", ""to turn off"", ""to GM foods""]]"
00838,00838_6,There should be an outright ban on the smacking or spanking of children.,"[[""an outright ban on the smacking or spanking of children"", ""should be""]]"
00838,00838_6_1,Children deserve the same rights as everyone else.,"[[""Children"", ""deserve"", ""the same rights as everyone else""]]"
00838,00838_6_2,You cannot legally smack an adult.,"[[""You"", ""can not legally smack"", ""an adult""]]"
00838,00838_6_3,Children deserve rights but smacking can be justified.,"[[""smacking"", ""can be justified""], [""Children"", ""deserve"", ""rights""]]"
00867,00867_2,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,"[[""$165m bonuses"", ""were justified""], [""They"", ""taxed""], [""They"", ""should not be reneged""]]"
00867,00867_2_1,AIG employees are not only ones capable of restructuring,"[[""AIG employees"", ""are not"", ""only ones capable of restructuring""]]"
00867,00867_2_2,AIG bonuses blackmail taxpayers with threat of collapse,"[[""AIG bonuses"", ""blackmail"", ""taxpayers""]]"
00867,00867_2_3,Bonuses help AIG keep employees and survive,"[[""Bonuses"", ""help survive help"", ""survive""], [""Bonuses"", ""help survive""], [""Bonuses"", ""help AIG keep"", ""employees""], [""Bonuses"", ""help AIG"", ""keep employees""], [""Bonuses"", ""help"", ""AIG keep employees""]]"
00867,00867_2_4,Reneging AIG bonuses would undermine shareholder confidence,"[[""Reneging AIG bonuses"", ""would undermine"", ""shareholder confidence""]]"
00867,00867_2_5,"AIG workers/execs that caused collapse won""t help recovery","[[""AIG workers/execs"", ""caused"", ""collapse""], [""AIG workers/execs that caused collapse"", ""won"", ""t help recovery""]]"
00867,00867_2_6,Punishing bonuses will distract AIG from restructuring,"[[""AIG"", ""from restructuring""], [""Punishing bonuses"", ""will distract"", ""AIG"", ""from restructuring""]]"
00883,00883_3,Puerto Rico should move for US statehood. The US should accept it.,"[[""Puerto Rico"", ""should move"", ""for US statehood""], [""The US"", ""should accept"", ""it""]]"
00883,00883_3_1,Puerto Rico has waited for too long for full citizenship.,"[[""Puerto Rico"", ""has waited"", ""for too long"", ""for full citizenship""]]"
00883,00883_3_2,Puerto Ricans are already considered Americans.,[]
00883,00883_3_3,Puerto Rican statehood would require changing the US flag.,"[[""Puerto Rican statehood"", ""would require"", ""changing the US flag""]]"
00883,00883_3_4,Puerto Rico as colony is unacceptable.,"[[""Puerto Rico as colony"", ""is"", ""unacceptable""]]"
00883,00883_3_5,Puerto Ricans deserve full political rights and citizenship.,"[[""Puerto Ricans"", ""deserve"", ""full political citizenship""], [""Puerto Ricans"", ""deserve"", ""full political rights""]]"
00883,00883_3_6,Puerto Ricans have rejected statehood many times now.,"[[""Puerto Ricans"", ""have rejected"", ""statehood many times"", ""now""]]"
00883,00883_3_7,Puerto Ricans have earned statehood through support of US.,"[[""Puerto Ricans"", ""have earned"", ""statehood""]]"
00883,00883_5,Puerto Rico should move for US statehood. The US should accept it.,"[[""Puerto Rico"", ""should move"", ""for US statehood""], [""The US"", ""should accept"", ""it""]]"
00883,00883_5_1,Democrats want Puerto Rican statehood to gain votes,"[[""Puerto Rican statehood"", ""to gain"", ""votes""], [""Democrats"", ""want"", ""Puerto Rican statehood to gain votes""]]"
00883,00883_5_2,Puerto Rico statehood does not clearly benefit one party,"[[""Puerto Rico statehood"", ""does not clearly benefit"", ""one party""]]"
00883,00883_5_3,Puerto Rico would outrank 26 states in size/representation.,"[[""Puerto Rico"", ""would outrank"", ""26 states""], [""Puerto Rico"", ""would outrank"", ""26 states"", ""in size/representation""]]"
00883,00883_5_4,Puerto Rico statehood forces re-assigning Congressional seats.,"[[""forces"", ""re-assigning"", ""Congressional seats""], [""Puerto Rico"", ""statehood"", ""forces re-assigning Congressional seats""]]"
00889,00889_34,Tibet should seek and gain independence.,"[[""Tibet"", ""should seek""]]"
00889,00889_34_1,Between the 13th and 14th centuries Tibet was under Mongol not Chinese rule,"[[""Tibet"", ""was"", ""under Mongol"", ""Between the 13th and 14th centuries""]]"
00889,00889_34_2,"Even during the periods of nominal subjugation to the Mongol and Qing Empires, Tibet was largely self-governing.","[[""Tibet"", ""was"", ""largely self - governing"", ""Even during the periods of nominal subjugation to the Qing Empires""], [""Tibet"", ""was"", ""largely self - governing"", ""Even during the periods of nominal subjugation to the Mongol""]]"
00889,00889_34_3,Mongolia gave diplomatic recognition to the Tibetan state in 1207,"[[""Mongolia"", ""gave"", ""diplomatic recognition"", ""to the Tibetan state"", ""in 1207""]]"
00889,00889_34_4,Tibet has been part of China since 13th century Mongol invasions,"[[""Tibet"", ""has been"", ""part of China"", ""since 13th century Mongol invasions""]]"
00899,00899_1,"Govts should mandate that people buy private health insurance, or face penalties.","[[""people"", ""buy"", ""private health insurance, or face penalties""], [""Govts"", ""should mandate"", ""that people buy private health insurance, or face penalties""]]"
00899,00899_1_1,Health insurance mandates do not foster responsibility,"[[""Health insurance mandates"", ""do not foster"", ""responsibility""]]"
00899,00899_1_2,"Health insurance mandates preserve markets, limit govt","[[""Health insurance mandates"", ""preserve"", ""markets""]]"
00899,00899_1_3,"Less government, not more, is answer for uninsured","[[""Less government"", ""is"", ""answer for uninsured""]]"
00899,00899_1_4,Mandates in society are very rare and exceptional,"[[""Mandates in society"", ""are"", ""very exceptional""], [""Mandates in society"", ""are"", ""very rare""]]"
00904,00904_6,The Confederate flag should be banned.,"[[""The Confederate flag"", ""should be banned""]]"
00904,00904_6_1,The confederate flag represented more than racism (a complicated issue):,"[[""The confederate flag"", ""represented"", ""more than racism""]]"
00904,00904_6_2,The Confederate flag is no more racist than the Union flag:,"[[""The Confederate flag"", ""is"", ""no more racist than the Union flag""]]"
00904,00904_6_3,The Confederate flag has not been a consistent cultural fixture of the South:,"[[""The Confederate flag"", ""has not been"", ""a consistent cultural fixture of the South""]]"
00904,00904_6_4,The Confederate flag is an important symbol of Southern culture and solidarity:,"[[""The Confederate flag"", ""is"", ""an important symbol of solidarity""], [""The Confederate flag"", ""is"", ""an important symbol of Southern culture""]]"
00904,00904_6_5,The Confederate flag is inherently racist in its symbolism:,"[[""The Confederate flag"", ""is"", ""inherently racist in its symbolism""]]"
00942,00942_5,Geothermal energy should be a major part of plans to combat global warming.,"[[""Geothermal energy"", ""should be"", ""a major part of plans""]]"
00942,00942_5_1,Geothermal energy does not cause acid rain like fossil fuels.,"[[""Geothermal energy"", ""does not cause"", ""acid rain like fossil fuels""]]"
00942,00942_5_2,Geothermal energy takes less land than other renewables,"[[""Geothermal energy"", ""takes"", ""less land than other renewables""]]"
00942,00942_5_3,Geothermal drilling can release toxic gases from the earth,"[[""Geothermal drilling"", ""can release"", ""toxic gases"", ""from the earth""]]"
00942,00942_5_4,The environmental benefits of geothermal outweigh the costs,"[[""The environmental benefits of geothermal"", ""outweigh"", ""the costs""]]"
00942,00942_5_5,Geothermal drilling can be regulated to avoid releasing toxins.,"[[""Geothermal drilling"", ""can be regulated"", ""to avoid releasing toxins""]]"
00942,00942_5_6,Geothermal energy does not release any waste byproduct.,"[[""Geothermal energy"", ""does not release"", ""any waste byproduct""]]"
00942,00942_5_7,Geothermal energy drilling and extraction can cause earthquakes,"[[""extraction"", ""can cause"", ""earthquakes""], [""Geothermal energy drilling"", ""can cause"", ""earthquakes""]]"
00942,00942_5_8,Geothermal wastewater contains toxic chemicals.,"[[""Geothermal wastewater"", ""contains"", ""toxic chemicals""]]"
00971,00971_4,The state should be fully privatised.,"[[""The state"", ""should be privatised""]]"
00971,00971_4_4,The electorate will hold elected officials accountable to running state-owned companies efficiently:,"[[""The electorate"", ""will hold"", ""elected officials accountable to running state-owned companies efficiently""]]"
00971,00971_4_5,"Natural monopolies are by definition not subject to competition, and may be better administered by the state.","[[""Natural"", ""better administered"", ""by the state""], [""Natural"", ""may be"", ""better administered by the state""], [""Natural monopolies"", ""are not subject"", ""by definition""]]"
00971,00971_4_6,The most efficient and consumer friendly services are provided in industries driven by free choice and the power of the buyer.,"[[""The consumer friendly services"", ""are provided"", ""in industries""], [""industries"", ""driven"", ""by the power of the buyer""], [""industries"", ""driven"", ""by free choice""], [""The most efficient friendly services"", ""are provided"", ""in industries""]]"
01015,01015_1,There should be a tax on fatty foods.,"[[""a tax on fatty foods"", ""should be""]]"
01015,01015_1_1,A fat tax will not solve the problem of low exercise levels,"[[""A fat tax"", ""will not solve"", ""the problem of low exercise levels""]]"
01015,01015_1_2,"A fat-tax won""t solve the problem of over-eating.","[[""A fat-tax won\""t"", ""solve"", ""the problem of over-eating""]]"
01015,01015_1_3,"A ""fat tax"" would save lives.","[[""A \""fat tax"", ""would save"", ""lives""]]"
01015,01015_1_4,Pandoras Box has been opened.,"[[""Pandoras Box"", ""has been opened""]]"
01015,01015_1_5,"Obesity is an ""epidemic"" that warrants a fat tax","[[""an \""epidemic"", ""warrants"", ""a fat tax""], [""Obesity"", ""is"", ""an \""epidemic\"" that warrants a fat tax""]]"
01015,01015_1_6,A fat tax is just as appropriate as cigarette and alcohol taxes,"[[""A fat tax"", ""is"", ""just as appropriate as alcohol taxes""], [""A fat tax"", ""is"", ""just as appropriate as cigarette taxes""]]"
01021,01021_6,The military should be allowed to recruit in public schools.,"[[""The military"", ""to recruit"", ""in public schools""], [""The military"", ""should be allowed""]]"
01021,01021_6_1,Military does not equate educationally disadvantaged students necessarily as good soldiers.,"[[""Military"", ""does not equate"", ""educationally disadvantaged students"", ""necessarily"", ""as good soldiers""]]"
01021,01021_6_2,Military provides important role in disadvantaged communities,"[[""Military"", ""provides"", ""important role in disadvantaged communities""]]"
01021,01021_6_3,Military wrongly targets disadvantaged communities.,"[[""Military"", ""wrongly targets"", ""disadvantaged communities""]]"
01046,01046_5,School students should face mandatory drug-tests.,"[[""School students"", ""should face"", ""mandatory drug-tests""]]"
01046,01046_5_1,There is a clear and present problem with drug use among teenagers in many countries.,"[[""a clear and present problem with drug use among teenagers in many countries"", ""is""]]"
01046,01046_5_10,There are means of preventing drug use other than obligatory drug tests.,"[[""means of preventing drug use other than obligatory drug tests"", ""are""]]"
01046,01046_5_11,Random drug testing will effectively utilize social and peer pressures:,"[[""Random drug testing"", ""will effectively utilize"", ""peer pressures""], [""Random drug testing"", ""will effectively utilize"", ""social pressures""]]"
01046,01046_5_2,Deterring drug use is the main objective of random drug testing.,"[[""Deterring drug use"", ""is"", ""the main objective of random drug testing""]]"
