argid,propid,text,ie
01026,01026_1_5,Israeli attacks on Gaza feed extremist resentment and terrorism,"[[""Israeli attacks on Gaza"", ""feed"", ""extremist terrorism""], [""Israeli attacks on Gaza"", ""feed"", ""extremist resentment""]]"
01026,01026_1_6,Military strikes in Gaza re-establish Israeli deterrence,"[[""Military strikes in Gaza"", ""re-establish"", ""Israeli deterrence""]]"
01026,01026_1_7,Israeli attacks embolden extremists on both sides in cycle of violence,"[[""Israeli attacks"", ""embolden"", ""extremists on both sides in cycle of violence""]]"
01026,01026_1_8,Israels assault in Gaza was an act of last resort,"[[""Israels assault in Gaza"", ""was"", ""an act of last resort""]]"
01026,01026_1_9,Israeli assault may actually increase support for Hamas,"[[""Israeli assault"", ""may increase"", ""support for Hamas""]]"
01101,01101_13,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,"[[""The Kyoto Protocol"", ""is"", ""a good treaty to combat global warming""], [""It"", ""is a model for"", ""future treaties""], [""It"", ""is"", ""a model for future treaties""]]"
01101,01101_13_1,China is actually taking good measures to fight global warming.,"[[""China"", ""is taking good measures to fight"", ""global warming""], [""China"", ""is taking"", ""good measures"", ""to fight global warming""]]"
01101,01101_13_2,Industrial countries caused global warming so should carry burden,"[[""global warming"", ""so should carry"", ""burden""], [""Industrial countries"", ""caused"", ""global warming so should carry burden""]]"
01101,01101_13_3,Kyoto regulations on developed nations hurts developing nations,"[[""Kyoto regulations on developed nations"", ""hurts"", ""developing nations""]]"
01101,01101_13_4,Kyoto Protocol wrongly exempts large developing nations.,"[[""Kyoto Protocol"", ""wrongly exempts"", ""large developing nations""]]"
01101,01101_13_5,India/China can be pressured into joining Kyoto or other treaties,"[[""India/China"", ""into joining"", ""Kyoto or other treaties""], [""India/China"", ""can be pressured"", ""into joining Kyoto or other treaties""]]"
01151,01151_19,Single-payer health care is a good idea.,"[[""Single-payer health care"", ""is"", ""a good idea""]]"
01151,01151_19_1,"When the wealthy must use public health care, the system improves","[[""the system"", ""improves"", ""When the wealthy must use public health care""], [""the wealthy"", ""must use"", ""public health care""]]"
01151,01151_19_2,Many single-payer systems give patients free choice of practitioners.,"[[""Many single-payer systems"", ""give"", ""patients"", ""free choice of practitioners""]]"
01151,01151_19_3,People have a right to pay more for better health care,"[[""People"", ""have to pay"", ""more"", ""for better health care""], [""People"", ""have"", ""a right to pay more for better health care""]]"
01151,01151_19_4,Universal health care will have rules that decrease patient flexibility,"[[""rules"", ""decrease"", ""patient flexibility""], [""Universal health care"", ""will have"", ""rules that decrease patient flexibility""]]"
00002,00002_1,"The US government ""fair use"" copyright clause is a good thing.","[[""The US government \""fair use\"" copyright clause"", ""is"", ""a good thing""]]"
00002,00002_1_1,"Fair use doesn""t give copyright holders enough rights","[[""Fair use doesn\""t"", ""give"", ""copyright holders"", ""enough rights""]]"
00002,00002_1_2,Fair Use provides sufficient protection to copyright-holders to generate significant revenues.,"[[""Fair Use"", ""provides sufficient protection to generate"", ""significant revenues""], [""Fair Use"", ""provides"", ""sufficient protection"", ""to copyright-holders""]]"
00002,00002_1_3,Fair Use allows reasonable copying of copyrighted works,"[[""Fair Use"", ""allows"", ""reasonable copying of copyrighted works""]]"
00002,00002_1_4,Difficulties in defining Fair Use leads to wasteful court-battles.,"[[""Difficulties in defining Fair Use"", ""leads"", ""to wasteful court-battles""]]"
00112,00112_7,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.","[[""the No Child"", ""Left"", ""Behind Act of 2001""]]"
00112,00112_7_1,"No Child Left Behind offers flexibility at state, local level","[[""No Child"", ""Left"", ""Behind""]]"
00112,00112_7_2,NCLB state testing is done more widely with greater effect.,"[[""NCLB state testing"", ""is done more widely""]]"
00112,00112_7_3,No Child Left Behind exerts too much federal power over states.,"[[""No Child"", ""Left"", ""Behind""]]"
00112,00112_7_4,No Child Left Behind encourages states to set low standards.,"[[""No Child"", ""Left"", ""Behind""], [""states"", ""to set"", ""low standards""]]"
00112,00112_7_5,Education standards between states are inconsistent under NCLB,"[[""Education standards between states"", ""are"", ""inconsistent"", ""under NCLB""]]"
00112,00112_7_6,Statewide standards are an improvement over major local failures:,"[[""Statewide standards"", ""are"", ""an improvement over major local failures""]]"
00112,00112_7_7,States are free to opt out of No Child Left Behind,"[[""No Child"", ""Left"", ""Behind""], [""States"", ""to opt"", ""out of No Child""], [""States"", ""are"", ""free to opt out of No Child""]]"
00112,00112_7_8,NCLB damages relationship/accountability of schools to community.,[]
00126,00126_11,The idea of missile defenses in the Czech Republic and Poland is justified.,"[[""The idea of missile defenses in Poland"", ""is justified""], [""The idea of missile defenses in the Czech Republic"", ""is justified""]]"
00126,00126_11_1,Iran poses a significant nuclear and ballistic missile threat,"[[""Iran"", ""poses"", ""a significant ballistic missile threat""], [""Iran"", ""poses"", ""a significant nuclear missile threat""]]"
00126,00126_11_2,Iran can be deterred; attacking others would result in its annihilation,"[[""Iran"", ""can be deterred""], [""attacking others"", ""would result"", ""in its annihilation""]]"
00126,00126_11_3,"Iran would not use missiles; they lack ""plausible deniability""","[[""Iran"", ""would not use"", ""missiles""], [""they"", ""lack"", ""plausible deniability""]]"
00126,00126_11_4,Intelligence reports show Iranian threat has been exaggerated,"[[""Iranian threat"", ""has been exaggerated""], [""Intelligence reports"", ""show"", ""Iranian threat has been exaggerated""]]"
00126,00126_11_5,Iran is simply not a geopolitical threat to international order,"[[""Iran"", ""is not"", ""a geopolitical threat to international order""]]"
00130,00130_3,Airport security profiling is a good idea.,"[[""Airport security profiling"", ""is"", ""a good idea""]]"
00130,00130_3_1,Israeli style profiling system not scalable in America.,[]
00130,00130_3_2,"Profiling works well for Israel, can work well elsewhere","[[""Profiling"", ""works well"", ""for Israel""]]"
00130,00130_3_3,Profiling makes far less sense in America than Israel,"[[""Profiling"", ""makes"", ""far less sense in America""]]"
00183,00183_1,"The CTBT, or any other nuclear test ban treaty, is a good idea.","[[""The CTBT, or any other nuclear test ban treaty"", ""is"", ""a good idea""]]"
00183,00183_1_1,Enforcing a nuclear test ban is a risky proposition.,"[[""Enforcing a nuclear test ban"", ""is"", ""a risky proposition""]]"
00183,00183_1_2,Improved monitoring from test ban provides important information,"[[""Improved monitoring from test ban"", ""provides"", ""important information""]]"
00183,00183_1_3,New technologies enable detection and ban of nuclear tests.,"[[""New technologies"", ""enable"", ""ban of nuclear tests""], [""New technologies"", ""enable"", ""detection""]]"
00183,00183_1_4,Nuclear Test Ban lacks force behind it,"[[""Nuclear Test Ban"", ""lacks"", ""force""]]"
00183,00183_1_5,"Enforcing a test ban, not detecting tests, is the issue","[[""Enforcing a test ban"", ""is"", ""the issue""], [""a test ban"", ""not detecting"", ""tests""]]"
00183,00183_1_6,Detecting nuclear tests is too difficult to enforce ban,"[[""Detecting nuclear tests"", ""is"", ""too difficult to enforce ban""]]"
00183,00183_6,"The CTBT, or any other nuclear test ban treaty, is a good idea.","[[""The CTBT, or any other nuclear test ban treaty"", ""is"", ""a good idea""]]"
00183,00183_6_1,Monitoring NCBT could further alienate countries.,"[[""Monitoring NCBT"", ""could alienate"", ""countries""]]"
00183,00183_6_2,CTBT has gained widespread support; should receive more.,"[[""CTBT"", ""should receive"", ""more""], [""CTBT"", ""has gained"", ""widespread support""]]"
00183,00183_6_3,Test ban treaty helps reduce wasteful government spending,"[[""Test ban treaty"", ""helps reduce"", ""wasteful government spending""], [""Test ban treaty"", ""helps"", ""reduce wasteful government spending""]]"
00183,00183_6_4,World can better leverage rogue states after ratifying CTBT,"[[""World"", ""can better leverage rogue states after ratifying"", ""CTBT""], [""World"", ""can better"", ""leverage rogue states"", ""after ratifying CTBT""]]"
00196,00196_15,Capitalism is the superior system to socialism.,"[[""Capitalism"", ""is"", ""the superior system to socialism""]]"
00196,00196_15_1,Poverty is a byproduct of inequalities under capitalism.,"[[""Poverty"", ""is"", ""a byproduct of inequalities under capitalism""]]"
00196,00196_15_10,Capitalism makes the rich richer and the poor poorer,"[[""Capitalism"", ""makes"", ""the poor poorer""], [""Capitalism"", ""makes"", ""the rich richer""]]"
00196,00196_15_2,"Business don""t take from poor; they add value and jobs.","[[""Business"", ""don"", ""t take from poor""], [""they"", ""add"", ""value and jobs""]]"
00196,00196_15_3,"Capitalism fosters equal opportunity, not equal outcome.","[[""Capitalism"", ""fosters"", ""equal opportunity, not""]]"
00196,00196_15_4,Inequalities in capitalism stifle individual opportunity.,"[[""Inequalities in capitalism"", ""stifle"", ""individual opportunity""]]"
00196,00196_15_5,Capitalism gives everyone the opportunity to succeed,"[[""everyone"", ""to succeed""], [""Capitalism"", ""gives"", ""everyone"", ""the opportunity to succeed""]]"
00196,00196_15_6,Capitalism is unequal riches; socialism is equal poverty,"[[""Capitalism"", ""is"", ""unequal riches""], [""socialism"", ""is"", ""equal poverty""]]"
00196,00196_15_7,Income and rewards in capitalism are unequal,"[[""rewards in capitalism"", ""are"", ""unequal""], [""Income"", ""are"", ""unequal""]]"
00196,00196_15_8,Socialism does not bring poverty but prosperity.,"[[""Socialism"", ""does not bring"", ""prosperity""], [""Socialism"", ""does not bring"", ""poverty""]]"
00196,00196_15_9,"In capitalism, profit is made through exploitation.","[[""profit"", ""is made"", ""In capitalism""]]"
00246,00246_7,The farming and consumption of veal is acceptable.,"[[""consumption of veal"", ""is"", ""acceptable""], [""The farming"", ""is"", ""acceptable""]]"
00246,00246_7_1,Veal and cattle production is a generally inefficient use of land,[]
00246,00246_7_2,Veal farming is wasteful of the growth potential of a baby cow.,"[[""Veal farming"", ""is"", ""wasteful of the growth potential of a baby cow""]]"
00246,00246_7_3,Veal farming is a good alternative to the slaughtering of unwanted calves,"[[""Veal farming"", ""is"", ""a good alternative to the slaughtering of unwanted calves""]]"
00246,00246_7_4,The inefficient land-use of veal is not a justification to ban veal.,"[[""The inefficient land-use of veal"", ""is not"", ""a justification to ban veal""]]"
00246,00246_7_5,"If cattle land-use is a problem, the markets are best for solving the problem.","[[""the markets"", ""are"", ""best for solving the problem""], [""cattle land-use"", ""is"", ""a problem""]]"
00246,00246_7_7,Veal farming is an economically important industry that cannot be scrapped,"[[""an economically important industry"", ""can not be scrapped""], [""Veal farming"", ""is"", ""an economically important industry that cannot be scrapped""]]"
00246,00246_7_8,If veal is forbidden in one country its often simply exported abroad.,"[[""veal"", ""is forbidden"", ""in one country""]]"
00458,00458_4,A no fly zone over Libya is a good idea.,"[[""A no fly zone over Libya"", ""is"", ""a good idea""]]"
00458,00458_4_1,No-fly zone justified against madman Gaddafi,"[[""No-fly zone"", ""justified"", ""against madman Gaddafi""]]"
00458,00458_4_2,No evidence that rebels would govern any better than Gaddafi,"[[""rebels"", ""would govern any better""]]"
00458,00458_4_3,No-fly zone could increase support for Gaddafi,"[[""No-fly zone"", ""could increase"", ""support for Gaddafi""]]"
00458,00458_4_4,No fly zone in Libya prevents a massacre,"[[""No fly zone in Libya"", ""prevents"", ""a massacre""]]"
00458,00458_4_5,West has responsibility to countering oppression.,"[[""West"", ""has responsibility to countering"", ""oppression""], [""West"", ""has"", ""responsibility""]]"
00458,00458_4_6,No proof Libyan airforce fired on own people,"[[""No proof Libyan airforce"", ""fired"", ""on own people""]]"
00458,00458_4_7,No-fly zone is an act of war; goes too far,"[[""No-fly zone"", ""goes"", ""too far""], [""No-fly zone"", ""is"", ""an act of war""]]"
00458,00458_4_8,No-fly zone does not constitute military intervention.,"[[""No-fly zone"", ""does not constitute"", ""military intervention""]]"
00458,00458_4_9,People will suspect US in Libya regardless of no-fly zone,"[[""People"", ""will suspect"", ""US"", ""in Libya"", ""regardless of no-fly zone""]]"
00460,00460_7,Obama does deserve a second term.,"[[""Obama"", ""does deserve"", ""a second term""]]"
00460,00460_7_1,Took major steps toward universal and stronger healthcare.,[]
00460,00460_7_2,Pushed investigation of excessive insurance rate hikes.,[]
00460,00460_7_3,Republican Paul Ryan has provided an alternative to Obamacare.,"[[""Republican Paul Ryan"", ""has provided"", ""an alternative to Obamacare""]]"
00460,00460_7_4,Obamacare was a bad political move for Obama.,"[[""Obamacare"", ""was"", ""a bad political move for Obama""]]"
00460,00460_7_5,Individual mandate was conceived by conservatives.,"[[""Individual mandate"", ""was conceived"", ""by conservatives""]]"
00460,00460_7_6,Provided emergency healthcare to laid off workers.,[]
00460,00460_7_7,"AFA only offers access to about 20,000 w/ pre-existing conditions.","[[""AFA"", ""offers"", ""access"", ""to about 20,000 w/ pre-existing conditions""]]"
00460,00460_7_8,Affordable Care Act based off of Romneys plan in MA.,"[[""Affordable Care Act"", ""based"", ""off of Romneys plan in MA""]]"
00460,00460_7_9,Repealed restrictions on life-saving embryonic stem cell research.,[]
00505,00505_5,The United States NSAs warrantless wiretapping program was justified.,"[[""The United States NSAs warrantless wiretapping program"", ""was justified""]]"
00505,00505_5_1,FISA authorizes the Justice Department to obtain warrants from the secret Foreign Intelligence Surveillance Court (FISC) up to 72 hours after the beginning of the eavesdropping.,"[[""the Justice Department"", ""to obtain"", ""warrants"", ""from the secret Foreign Intelligence Surveillance Court""], [""FISA"", ""authorizes"", ""the Justice Department"", ""to obtain warrants from the secret Foreign Intelligence Surveillance Court (FISC) up to 72 hours after the beginning of the eavesdropping""]]"
00505,00505_5_3,FISA blocked terrorist intelligence findings pre 9/11:,"[[""terrorist intelligence findings"", ""pre""], [""FISA"", ""blocked"", ""terrorist intelligence findings"", ""9/11""]]"
00505,00505_5_4,"Specter 16 March, 2006 Statement on Introduced Bills:",[]
00505,00505_5_6,FISA was amended within the context of the emerging threat of terrorism:,"[[""FISA"", ""was amended"", ""within the context of the emerging threat of terrorism""]]"
00505,00505_5_7,Revealing sources and methods:,[]
00648,00648_5,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,"[[""The $700 billion bailout plan for the 2008 US financial crisis"", ""is"", ""a good idea""]]"
00648,00648_5_1,Financial crisis requires and justifies strong executive powers.,"[[""Financial crisis"", ""justifies"", ""strong executive powers""], [""Financial crisis"", ""requires""]]"
00648,00648_5_2,Paulson Plan does not allow for enough Congressional oversight,"[[""Paulson Plan"", ""does not allow"", ""for enough Congressional oversight""]]"
00648,00648_5_3,$700b bailout includes oversight/transparency,"[[""$ 700b bailout includes oversight /"", ""includes"", ""oversight transparency""], [""$ 700b bailout"", ""includes"", ""$ 700b bailout includes oversight /""], [""$700b bailout"", ""includes"", ""oversight/transparency""]]"
00648,00648_5_4,$700b plan gives unconstitutionally broad power to Treasury,"[[""$ 700b plan"", ""gives"", ""unconstitutionally broad power""], [""$700b plan"", ""gives"", ""unconstitutionally broad power"", ""to Treasury""]]"
00696,00696_6,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,"[[""A - trade system"", ""is"", ""preferable to a carbon tax in reducing carbon emissions""], [""A cap - system"", ""is"", ""preferable to a carbon tax in reducing carbon emissions""]]"
00696,00696_6_1,Cap-and-trade would cause job loss.,"[[""- trade"", ""would cause"", ""job loss""]]"
00696,00696_6_10,A carbon tax is more predictable and less volatile than a cap-and-trade system.,"[[""A carbon tax"", ""is"", ""less volatile than a cap - trade system""], [""A carbon tax"", ""is"", ""less volatile than a cap - system""], [""A carbon tax"", ""is"", ""more predictable""]]"
