pairid,argid,propid_to,propid_from,text_to,text_from,relation,abduct_3_cause,abduct_3_obstruct,abduct_3_else
00688_2#00688_2_5,00688,00688_2,00688_2_5,Web 2.0 citizen journalism is having a positive effect worldwide.,"Web 2.0 technology is enabling market and democratic forces to be excercised more efficiently, and since these forces are long-term success-stories, Web 2.0 technologies are here to stay:",-1,7.89490295574069e-05,2.735236739681568e-05,0.9998937845230103
00930_4#00930_4_27,00930,00930_4,00930_4_27,A guest worker immigration reform program is a good idea for the United States...,"Evidence that 2005s increased border security measures have decreased important immigrant labor that farm industries depend on (particularly in California), which has caused much greater support for a Guest Worker program among farmers:",1,4.1725466871866956e-05,1.6070438505266793e-05,0.9999421834945679
00930_4#00930_4_20,00930,00930_4,00930_4_20,A guest worker immigration reform program is a good idea for the United States...,"""CBO (Congressional Budget Office) Analysis (8/18/06) finds increased revenues would offset increased entitlement costs under Senate Immigration Bill (S. 2611)""",1,4.129145236220211e-05,1.8595050278236158e-05,0.9999401569366455
00793_4#00793_4_7,00793,00793_4,00793_4_7,The US is justified in unilaterally striking targets in Pakistan.,"Abu Laith al-Libi, the Libyan Al Qaeda leader behind the 2007 assassination attempt on Vice President Cheyney, is an example of a terrorist who freely moved across the border.",1,0.00011934147187275812,0.00020967544696759433,0.9996711015701294
01071_4#01071_4_3,01071,01071_4,01071_4_3,"Mass migration, especially from developing to developed countries, is a good force.","The success of immigrants in boosting the American economy was only possible thanks to a huge internal free, liberal market there at the time, and the plentiful availability of cheap land.",-1,6.836185639258474e-05,8.709842950338498e-05,0.9998444318771362
00213_6#00213_6_10,00213,00213_6,00213_6_10,Military tribunals in the US were justified.,"Ex parte Milligan: Courts ruled against tribunals during the Civil War - that they""re not Article III courts - may undermine the Bush administrations claim that the War on Terror is an ""extraordinary"" justification:",-1,0.00013698203838430345,0.00017049898451659828,0.9996925592422485
00841_6#00841_6_9,00841,00841_6,00841_6_9,Military tribunals in the US were justified.,"Ex parte Milligan: Courts ruled against tribunals during the Civil War - that they""re not Article III courts - may undermine the Bush administrations claim that the War on Terror is an ""extraordinary"" justification:",-1,0.00013698203838430345,0.00017049898451659828,0.9996925592422485
00696_2#00696_2_3,00696,00696_2,00696_2_3,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,"A cap-and-trade system is ""fair"" because it rewards ""efficient""-polluters while punishing ""non-efficient"" polluters:",1,8.464464917778969e-05,6.324120477074757e-05,0.9998520612716675
01211_2#01211_2_3,01211,01211_2,01211_2_3,Web 2.0 citizen journalism is having a positive effect worldwide.,"""this latest, democratized culture, this user-generated content, is actually undermining many of our most valuable institutions, including movie studios, music labels, newspapers and publishing.""",1,5.0779275625245646e-05,6.526042852783576e-05,0.9998838901519775
01278_4#01278_4_6,01278,01278_4,01278_4_6,We would be more secure if military expenditures were replaced with better management of our planets resources.,"Access to abundant, nutritious food and clean water, energy independence, and climate stability are better measures of personal, national, and global security than military might.",1,0.00011559599806787446,1.6490717825945467e-05,0.9998679161071777
00688_3#00688_3_16,00688,00688_3,00688_3_16,Web 2.0 citizen journalism is having a positive effect worldwide.,"Some forums are designed to vet for quality content, while others are designed to allow for ""voice"" with few quality controls, and that both have their place; neither is ""better"":",-1,9.563250205246732e-05,0.0002967565960716456,0.9996076226234436
00930_2#00930_2_5,00930,00930_2,00930_2_5,A guest worker immigration reform program is a good idea for the United States...,"""Many union and advocacy groups are complaining a guest worker policy will contribute to further exploitation and poorer working conditions for illegal immigrants."" -Occupational Hazards 4/05/06",-1,3.9591956010553986e-05,1.938481000252068e-05,0.9999409914016724
00688_2#00688_2_1,00688,00688_2,00688_2_1,Web 2.0 citizen journalism is having a positive effect worldwide.,"""this latest, democratized culture, this user-generated content, is actually undermining many of our most valuable institutions, including movie studios, music labels, newspapers and publishing.""",1,5.0779275625245646e-05,6.526042852783576e-05,0.9998838901519775
00930_8#00930_8_2,00930,00930_8,00930_8_2,A guest worker immigration reform program is a good idea for the United States...,"""It would reduce the demand for fraudulent documents, which in turn would reduce the supply available for terrorists trying to operate surreptitiously inside the United States.""",1,7.943658420117572e-05,8.24555245344527e-05,0.99983811378479
01211_3#01211_3_9,01211,01211_3,01211_3_9,Web 2.0 citizen journalism is having a positive effect worldwide.,"Some forums are designed to vet for quality content, while others are designed to allow for ""voice"" with few quality controls, and that both have their place; neither is ""better"":",-1,9.563250205246732e-05,0.0002967565960716456,0.9996076226234436
00930_6#00930_6_12,00930,00930_6,00930_6_12,A guest worker immigration reform program is a good idea for the United States...,"A White House ""Principle of Immigration Reform"": ""Providing Incentives for Return to Home Country"", which is intended to make implementation of the guest worker program more feasible:",1,4.1032519220607355e-05,1.705570684862323e-05,0.9999419450759888
00902_2#00902_2_1,00902,00902_2,00902_2_1,Outsourcing (and offshoring) is a positive phenomenon.,"Offshoring allows more developed countries to focus their economic activity on more highly skilled, value-adding processes which may be more financially profitable than, for example, low-end manufacturing.",1,0.000547841947991401,3.4043787309201434e-05,0.9994181394577026
00505_5#00505_5_1,00505,00505_5,00505_5_1,The United States NSAs warrantless wiretapping program was justified.,FISA authorizes the Justice Department to obtain warrants from the secret Foreign Intelligence Surveillance Court (FISC) up to 72 hours after the beginning of the eavesdropping.,-1,5.7193934480892494e-05,6.159524491522461e-05,0.9998811483383179
00915_5#00915_5_3,00915,00915_5,00915_5_3,The United States NSAs warrantless wiretapping program was justified.,FISA authorizes the Justice Department to obtain warrants from the secret Foreign Intelligence Surveillance Court (FISC) up to 72 hours after the beginning of the eavesdropping.,-1,5.7193934480892494e-05,6.159524491522461e-05,0.9998811483383179
00930_9#00930_9_4,00930,00930_9,00930_9_4,A guest worker immigration reform program is a good idea for the United States...,"Democrat Senate Minority Leader Harry Reid blocked debate on Guest Worker legislation in April, 2006, some believe because labor (AFL-CIO) opposed a Guest Worker program:",-1,7.57869056542404e-05,1.9513199731591158e-05,0.9999046325683594
00930_6#00930_6_4,00930,00930_6,00930_6_4,A guest worker immigration reform program is a good idea for the United States...,"The existing foreign worker programs are ""too complex"" and ""not usable"", according to some sources who argue that the new guest worker program would be more practical:",1,4.701242869487032e-05,2.183122342103161e-05,0.9999312162399292
01270_5#01270_5_6,01270,01270_5,01270_5_6,The United States NSAs warrantless wiretapping program was justified.,FISA authorizes the Justice Department to obtain warrants from the secret Foreign Intelligence Surveillance Court (FISC) up to 72 hours after the beginning of the eavesdropping.,-1,5.7193934480892494e-05,6.159524491522461e-05,0.9998811483383179
01211_2#01211_2_1,01211,01211_2,01211_2_1,Web 2.0 citizen journalism is having a positive effect worldwide.,"The ""free"" content of Web 2.0 is not very different than the mostly free content of tv, radio, and newspapers; ads are where these business make their money:",-1,9.19724116101861e-05,1.3082248187856749e-05,0.9998948574066162
00688_2#00688_2_6,00688,00688_2,00688_2_6,Web 2.0 citizen journalism is having a positive effect worldwide.,"The ""free"" content of Web 2.0 is not very different than the mostly free content of tv, radio, and newspapers; ads are where these business make their money:",-1,9.19724116101861e-05,1.3082248187856749e-05,0.9998948574066162
00930_1#00930_1_10,00930,00930_1,00930_1_10,A guest worker immigration reform program is a good idea for the United States...,"Arguments that a guest worker program is still ""amnesty"" even if a fine is paid by illegal immigrants for having broken the law:Americans for Immigration Control ""06",-1,6.589345866814256e-05,1.7418351490050554e-05,0.999916672706604
01278_4#01278_4_2,01278,01278_4,01278_4_2,We would be more secure if military expenditures were replaced with better management of our planets resources.,"The United States military offers poor protection if China, for example, would get better value by buying key assets of the United States than by invading it.",1,7.478014595108107e-05,9.654750465415418e-05,0.9998286962509155
00688_3#00688_3_18,00688,00688_3,00688_3_18,Web 2.0 citizen journalism is having a positive effect worldwide.,"The crowd is becoming increasingly more intelligent, expert, and talented, making decentralizing Web 2.0 technologies increasingly capable of allowing the spotting of such things and their exposure:",-1,0.0016703788423910737,1.13637061076588e-05,0.9983183145523071
01071_4#01071_4_2,01071,01071_4,01071_4_2,"Mass migration, especially from developing to developed countries, is a good force.","Immigrants are mainly of working age, which means they consume less of the services provided by the state, such as health care and education, and pay more in taxes:",1,0.00015252655430231243,5.165940092410892e-05,0.9997958540916443
01211_3#01211_3_10,01211,01211_3,01211_3_10,Web 2.0 citizen journalism is having a positive effect worldwide.,"The crowd is becoming increasingly more intelligent, expert, and talented, making decentralizing Web 2.0 technologies increasingly capable of allowing the spotting of such things and their exposure:",-1,0.0016703788423910737,1.13637061076588e-05,0.9983183145523071
00930_6#00930_6_9,00930,00930_6,00930_6_9,A guest worker immigration reform program is a good idea for the United States...,"Contention that a guest worker program has existed in the U.S. for some time in H2-A visas, but that very few signed up:",-1,3.784576620091684e-05,1.832462839956861e-05,0.9999438524246216
00930_2#00930_2_1,00930,00930_2,00930_2_1,A guest worker immigration reform program is a good idea for the United States...,"""For the workers, [the Guest Worker program] would provide temporary legal status and some civil rights protections that an illegal worker would not have.""",1,7.915517926448956e-05,1.3277664947963785e-05,0.9999076128005981
00930_5#00930_5_2,00930,00930_5,00930_5_2,A guest worker immigration reform program is a good idea for the United States...,"""Such a program would lower the inflow of illegal immigrants by expanding the channel for legal entry."" -Cato Institute 10/30/06",1,4.069239730597474e-05,2.1263002054183744e-05,0.9999381303787231
00841_7#00841_7_5,00841,00841_7,00841_7_5,Military tribunals in the US were justified.,"The Executive Order establishing the tribunals applies to any member of Al Qaida and to those who harbor terrorists. Yet, such persons are not necessarily violators of the laws of war.",-1,6.979173485888168e-05,0.00011237370927119628,0.9998177886009216
00213_7#00213_7_7,00213,00213_7,00213_7_7,Military tribunals in the US were justified.,"The Executive Order establishing the tribunals applies to any member of Al Qaida and to those who harbor terrorists. Yet, such persons are not necessarily violators of the laws of war.",-1,6.979173485888168e-05,0.00011237370927119628,0.9998177886009216
00930_6#00930_6_1,00930,00930_6,00930_6_1,A guest worker immigration reform program is a good idea for the United States...,"Argument that many illegals want the opportunity to return to their home-lands, making the enforcement of the end of the temporary worker period more feasible:",1,9.01717648957856e-05,1.0950715477520134e-05,0.9998989105224609
01278_4#01278_4_5,01278,01278_4,01278_4_5,We would be more secure if military expenditures were replaced with better management of our planets resources.,"A strong military can protect countries from totalitarian regimes, such as in North Korea, whose disastrous policies cause hunger for many of their citizens.",-1,0.0002867917064577341,2.957838478323538e-05,0.9996836185455322
00791_2#00791_2_8,00791,00791_2,00791_2_8,Atheism is a sound (un)religious philosophy in the modern world.,Just because some wars have happened in the name of religion does not mean that all people who follow the religion can be tarnished by the same brush.,-1,0.0002326183603145182,0.0009296570206061006,0.9988376498222351
00543_4#00543_4_1,00543,00543_4,00543_4_1,A military draft generally is a good thing to have in place at all times.,"In case of total war, the conscription is the only alternative for a small nation to build an army of credible strength without having to depend on alliances.",1,0.00020094816864002496,1.5519950466114096e-05,0.9997835755348206
00930_8#00930_8_10,00930,00930_8,00930_8_10,A guest worker immigration reform program is a good idea for the United States...,"""Immigration makes security stronger, not weaker: ""immigrants provide a bridge to world understanding, helping to counter anti-American sentiment."""" -",1,3.491529423627071e-05,2.8964323064428754e-05,0.9999361038208008
00696_7#00696_7_3,00696,00696_7,00696_7_3,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,It is ok for some of the costs of a carbon tax to be passed on to consumers because they are also responsible for carbon emissions:,-1,0.0007288397173397243,2.5113646188401617e-05,0.9992460012435913
00930_9#00930_9_3,00930,00930_9,00930_9_3,A guest worker immigration reform program is a good idea for the United States...,"88 percent of Republican House Members voted Yes on the Sensenbrenner H.R. 4437 bill, which clearly opposed a guest worker program",-1,5.3878207836532965e-05,2.1927889974904247e-05,0.9999241828918457
00213_5#00213_5_12,00213,00213_5,00213_5_12,Military tribunals in the US were justified.,"Not the same as court-martials - Defendents in military tribunals have far fewer procedural rights than those in court-martials, which some argue is unfair and unjust:",-1,0.00044878432527184486,0.00033235832233913243,0.9992188215255737
01192_4#01192_4_2,01192,01192_4,01192_4_2,A military draft generally is a good thing to have in place at all times.,"In case of total war, the conscription is the only alternative for a small nation to build an army of credible strength without having to depend on alliances.",1,0.00020094816864002496,1.5519950466114096e-05,0.9997835755348206
00841_5#00841_5_6,00841,00841_5,00841_5_6,Military tribunals in the US were justified.,"Not the same as court-martials - Defendents in military tribunals have far fewer procedural rights than those in court-martials, which some argue is unfair and unjust:",-1,0.00044878432527184486,0.00033235832233913243,0.9992188215255737
01185_2#01185_2_5,01185,01185_2,01185_2_5,Atheism is a sound (un)religious philosophy in the modern world.,Just because some wars have happened in the name of religion does not mean that all people who follow the religion can be tarnished by the same brush.,-1,0.0002326183603145182,0.0009296570206061006,0.9988376498222351
01211_2#01211_2_9,01211,01211_2,01211_2_9,Web 2.0 citizen journalism is having a positive effect worldwide.,"Ads are increasingly being wound into or next to content as the primary means of revenue generation, and that the presence of such ads undermines the value of content:",1,0.00013520533684641123,0.00012296470231376588,0.9997418522834778
00696_5#00696_5_13,00696,00696_5,00696_5_13,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,"The necessity of a cap-and-trade system depends on the case being made that the environment is seriously, catastrophically threatened.",-1,0.0035124642308801413,2.0553923604893498e-05,0.9964669942855835
00688_2#00688_2_3,00688,00688_2,00688_2_3,Web 2.0 citizen journalism is having a positive effect worldwide.,"Ads are increasingly being wound into or next to content as the primary means of revenue generation, and that the presence of such ads undermines the value of content:",1,0.00013520533684641123,0.00012296470231376588,0.9997418522834778
00930_4#00930_4_8,00930,00930_4,00930_4_8,A guest worker immigration reform program is a good idea for the United States...,Argument that a Guest Worker program would be unfair to low-income US workers because it would provide guest workers with higher wages in some cases:,-1,9.339624375570565e-05,1.1050698049075436e-05,0.999895453453064
00696_3#00696_3_2,00696,00696_3,00696_3_2,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,"A carbon tax is not really that ""regressive"", since the wealthy consume more energy and would be taxed more:",-1,0.00011151298531331122,4.249822086421773e-05,0.9998458623886108
01211_2#01211_2_5,01211,01211_2,01211_2_5,Web 2.0 citizen journalism is having a positive effect worldwide.,"Web 2.0s democratizing and decentralizing effect causes a loss of focused, common culture, which could formally be set by an elite group:",1,6.193307490320876e-05,3.5534358175937086e-05,0.9999024868011475
01211_2#01211_2_8,01211,01211_2,01211_2_8,Web 2.0 citizen journalism is having a positive effect worldwide.,"Web 2.0 will not replace other, more traditional mediums of culture and information, but will simply be an addition on top of these mediums:",-1,9.692192543298006e-05,3.946991637349129e-05,0.9998636245727539
00688_3#00688_3_17,00688,00688_3,00688_3_17,Web 2.0 citizen journalism is having a positive effect worldwide.,"The new models ""long tail"" allows for everything to be presented and then for a more accurate determination of what is ""actually popular"" to be made:",-1,0.0001982378598768264,4.692289439844899e-05,0.9997548460960388
00281_10#00281_10_2,00281,00281_10,00281_10_2,The North American Free Trade Agreement (NAFTA) has been beneficial. It is a model.,It is possible that there is trade elitism within the trading bloc and therefore less trade with the rest of the world.,-1,8.157658157870173e-05,6.653053424088284e-05,0.9998519420623779
00688_2#00688_2_8,00688,00688_2,00688_2_8,Web 2.0 citizen journalism is having a positive effect worldwide.,"Web 2.0s democratizing and decentralizing effect causes a loss of focused, common culture, which could formally be set by an elite group:",1,6.193307490320876e-05,3.5534358175937086e-05,0.9999024868011475
00688_2#00688_2_9,00688,00688_2,00688_2_9,Web 2.0 citizen journalism is having a positive effect worldwide.,"Web 2.0 will not replace other, more traditional mediums of culture and information, but will simply be an addition on top of these mediums:",-1,9.692192543298006e-05,3.946991637349129e-05,0.9998636245727539
