pairid,argid,propid_to,propid_from,text_to,text_from,relation,ie_conf_any
00434_1#00434_1_4,00434,00434_1,00434_1_4,It was an acceptable deal.,Bitter debt deals debate undermines confidence in economy,-1,1.8041035970250816e-10
00434_1#00434_1_5,00434,00434_1,00434_1_5,It was an acceptable deal.,The debt deal ignores/distracts-from unemployment,-1,0.0
00434_1#00434_1_6,00434,00434_1,00434_1_6,It was an acceptable deal.,Debt deals modest cuts protect recovering economy,1,2.956133936831857e-08
00434_1#00434_1_7,00434,00434_1,00434_1_7,It was an acceptable deal.,Debt deal cuts spending too early for recovery,-1,1.1827188621984924e-07
00434_5#00434_5_1,00434,00434_5,00434_5_1,It was an acceptable deal.,Deal needed only start deficit reductions.,1,3.1627952150914754e-05
00434_5#00434_5_2,00434,00434_5,00434_5_2,It was an acceptable deal.,Tax deal was win for wealthiest and their lobbyists.,-1,6.378246418179801e-06
00434_5#00434_5_3,00434,00434_5,00434_5_3,It was an acceptable deal.,"Slashing spending hurts economy, revenues, and thus deficit.",-1,1.2271735930710082e-09
00434_5#00434_5_4,00434,00434_5,00434_5_4,It was an acceptable deal.,Deal is purely spending cuts when public wants mix.,-1,3.479356954578081e-07
00434_5#00434_5_5,00434,00434_5,00434_5_5,It was an acceptable deal.,"Debt deal doesn""t cut spending enough to solve deficit",-1,2.683734217855252e-06
00434_5#00434_5_6,00434,00434_5,00434_5_6,It was an acceptable deal.,US debt deal reaffirms core social institutions.,1,2.558068408045887e-10
00434_5#00434_5_7,00434,00434_5,00434_5_7,It was an acceptable deal.,Sweeping statements against the debt deal.,-1,0.0
00434_5#00434_5_8,00434,00434_5,00434_5_8,It was an acceptable deal.,Debt deal is better than nothing.,1,0.006423466607047222
00434_5#00434_5_9,00434,00434_5,00434_5_9,It was an acceptable deal.,Debt deal makes needed cuts to military budgets.,1,8.332313250470071e-07
00460_3#00460_3_1,00460,00460_3,00460_3_1,Obama does deserve a second term.,Obama has helped fight poverty and help disadvantaged.,1,5.067519573558197e-07
00460_3#00460_3_2,00460,00460_3,00460_3_2,Obama does deserve a second term.,Improved health access for disadvantaged.,1,0.0
00460_3#00460_3_3,00460,00460_3,00460_3_3,Obama does deserve a second term.,Obama has helped protect and advance interests of disabled.,1,1.2887029254199528e-06
00643_9#00643_9_1,00643,00643_9,00643_9_1,Colonizing the Moon is a good idea.,Knowledge of Moon extensive; colonization adds little,-1,0.00030250680354693046
00643_9#00643_9_2,00643,00643_9,00643_9_2,Colonizing the Moon is a good idea.,Moon is ideal for extra-terrestrial discovery,1,0.006893196401348894
00643_9#00643_9_3,00643,00643_9,00643_9_3,Colonizing the Moon is a good idea.,Too few scientific reasons to colonize the Moon,-1,0.0
00643_9#00643_9_4,00643,00643_9,00643_9_4,Colonizing the Moon is a good idea.,Moonbase will help answer remaining scientific questions,1,6.754683031740116e-06
00643_9#00643_9_5,00643,00643_9,00643_9_5,Colonizing the Moon is a good idea.,Manned mission to Moon less cost-effective than robotic missions,-1,0.0
00643_9#00643_9_6,00643,00643_9,00643_9_6,Colonizing the Moon is a good idea.,The Moon would be ideal site for a space observatory.,1,8.921700839926202e-05
00793_2#00793_2_1,00793,00793_2,00793_2_1,The US is justified in unilaterally striking targets in Pakistan.,A unilateral US strike would violate the Pakistani movement to sovereign democracy.,-1,1.9072568678393197e-05
00793_2#00793_2_2,00793,00793_2,00793_2_2,The US is justified in unilaterally striking targets in Pakistan.,The Pakistani public would view a US unilateral strike as an invasion,-1,2.991818567740546e-08
00793_2#00793_2_3,00793,00793_2,00793_2_3,The US is justified in unilaterally striking targets in Pakistan.,The Pakistani people would view unilateral strikes in a good light.,1,0.014119051449027469
00793_2#00793_2_4,00793,00793_2,00793_2_4,The US is justified in unilaterally striking targets in Pakistan.,The Pakistani people would act virulently.,-1,0.0
00862_3#00862_3_1,00862,00862_3,00862_3_1,Burying Osama Bin Laden at sea was the right choice.,Islamic law flexible to special burials such as Bin Ladens.,1,0.0
00862_3#00862_3_10,00862,00862_3,00862_3_10,Burying Osama Bin Laden at sea was the right choice.,Islamic traditions followed in Bin Laden burial.,1,6.241759971825016e-10
00862_3#00862_3_11,00862,00862_3,00862_3_11,Burying Osama Bin Laden at sea was the right choice.,Giving Bin Laden religious respects degrades Islam.,-1,8.682295076205348e-08
00862_3#00862_3_2,00862,00862_3,00862_3_2,Burying Osama Bin Laden at sea was the right choice.,Bin Laden sea burial takes religious sensitivities too far.,-1,0.0
00862_3#00862_3_3,00862,00862_3,00862_3_3,Burying Osama Bin Laden at sea was the right choice.,"Sea burial pays respect to Islam, not to Bin Laden.",1,0.0
00862_3#00862_3_4,00862,00862_3,00862_3_4,Burying Osama Bin Laden at sea was the right choice.,"Many Muslims would have preferred to see body, confirm death.",-1,0.0
00862_3#00862_3_5,00862,00862_3,00862_3_5,Burying Osama Bin Laden at sea was the right choice.,Why give Osama Bin Laden a dignified religious burial?,-1,0.0
00862_3#00862_3_6,00862,00862_3,00862_3_6,Burying Osama Bin Laden at sea was the right choice.,"Land burial only a tradition, not in Quran.",1,0.0
00862_3#00862_3_7,00862,00862_3,00862_3_7,Burying Osama Bin Laden at sea was the right choice.,Bin Laden sea burial violates Islamic tradition.,-1,2.8490872784560117e-08
00862_3#00862_3_8,00862,00862_3,00862_3_8,Burying Osama Bin Laden at sea was the right choice.,Remains buried at sea are considered lost by Muslims.,-1,1.190661527751611e-05
00862_3#00862_3_9,00862,00862_3,00862_3_9,Burying Osama Bin Laden at sea was the right choice.,Sea burial only option consistent with 24-hour Islamic rule.,1,0.0
00915_4#00915_4_1,00915,00915_4,00915_4_1,The United States NSAs warrantless wiretapping program was justified.,"The Supreme Court has long held that the Fourth Amendment allows warrantless searches where special needs, beyond the normal need for law enforcement"" exist",1,3.425640944091507e-05
00915_4#00915_4_12,00915,00915_4,00915_4_12,The United States NSAs warrantless wiretapping program was justified.,"The NSA programs abuses of civil liberties extend well beyond the ""special needs"" category of the law:",-1,0.0
00915_4#00915_4_20,00915,00915_4,00915_4_20,The United States NSAs warrantless wiretapping program was justified.,The program easily meets the Courts reasonableness test for whether a warrant is required.,1,0.03259734727870445
00915_4#00915_4_6,00915,00915_4,00915_4_6,The United States NSAs warrantless wiretapping program was justified.,"Judge Taylor misused the precedent of the ""Youngstown Sheet and Tube Case"" (seizure of U.S. steel mills in the face of a union strike) and overlooked many of its and subsequent rulings",1,0.0
00915_4#00915_4_9,00915,00915_4,00915_4_9,The United States NSAs warrantless wiretapping program was justified.,The NSA programs failure to procure judicial orders violated the fourth (right to privacy) and first amendments (freedom of speech):,-1,0.0
00915_9#00915_9_2,00915,00915_9,00915_9_2,The United States NSAs warrantless wiretapping program was justified.,The NSA program was legal under Title II of the USA PATRIOT Act entitled Enhanced Surveillance Procedures.,1,0.0
00915_9#00915_9_3,00915,00915_9,00915_9_3,The United States NSAs warrantless wiretapping program was justified.,The administration argued as early as 2004:,1,0.0
00915_9#00915_9_4,00915,00915_9,00915_9_4,The United States NSAs warrantless wiretapping program was justified.,"Some sources claim,according to Wikipedia, that in order for Title II to be used in defense of the program",-1,0.0
00924_3#00924_3_1,00924,00924_3,00924_3_1,Wave power is good.,Under-water wave power systems avoid aesthetic concerns.,1,4.5957988880296544e-05
00924_3#00924_3_2,00924,00924_3,00924_3_2,Wave power is good.,Wave generators degrade the pristine beauty of the environment.,-1,4.504768874359221e-06
00924_3#00924_3_3,00924,00924_3,00924_3_3,Wave power is good.,Under-water wave power is too expensive to solve aesthetics.,-1,0.0024213923418390025
00925_6#00925_6_1,00925,00925_6,00925_6_1,The New Start nuclear arms reduction treaty is a good idea.,New START is about national politics not interests.,-1,0.005953939602412231
00925_6#00925_6_2,00925,00925_6,00925_6_2,The New Start nuclear arms reduction treaty is a good idea.,Russia will build-up nuclear arms without New START.,1,4.26357968210416e-10
00925_6#00925_6_3,00925,00925_6,00925_6_3,The New Start nuclear arms reduction treaty is a good idea.,Reducing US-Russian nuclear weapons makes for a safer world.,1,9.498102594555425e-10
01026_1#01026_1_1,01026,01026_1,01026_1_1,Israels 2008/2009 military bombing and invasion of Gaza was justified.,"Israels strikes have severely damaged Hamas, secured Israel",1,0.0
01026_1#01026_1_10,01026,01026_1,01026_1_10,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israeli assault on Hamas upholds liberty globally,1,0.0
01026_1#01026_1_11,01026,01026_1,01026_1_11,Israels 2008/2009 military bombing and invasion of Gaza was justified.,"Israels Gaza assault was ""aggression"" not ""self-defense"" under i-law",-1,0.0
01026_1#01026_1_12,01026,01026_1,01026_1_12,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israel has a right to determine how best to uphold its security.,1,0.0
01026_1#01026_1_13,01026,01026_1,01026_1_13,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israels assault on Gaza was an act of self-defense,1,0.0
01026_1#01026_1_14,01026,01026_1,01026_1_14,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israel cannot be safe with a terrorist regime in Gaza,1,0.0
01026_1#01026_1_2,01026,01026_1,01026_1_2,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Hamas will easily rebuild from damage inflicted by Israel,-1,0.0
01026_1#01026_1_3,01026,01026_1,01026_1_3,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israel cannot destroy Hamas and end rocket attacks by force,-1,0.0
01026_1#01026_1_4,01026,01026_1,01026_1_4,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israels attack of Gaza was not an act of last resort,-1,0.0
01026_1#01026_1_5,01026,01026_1,01026_1_5,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israeli attacks on Gaza feed extremist resentment and terrorism,-1,0.0
01026_1#01026_1_6,01026,01026_1,01026_1_6,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Military strikes in Gaza re-establish Israeli deterrence,1,0.0
01026_1#01026_1_7,01026,01026_1,01026_1_7,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israeli attacks embolden extremists on both sides in cycle of violence,-1,0.0
01026_1#01026_1_8,01026,01026_1,01026_1_8,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israels assault in Gaza was an act of last resort,1,0.0
01026_1#01026_1_9,01026,01026_1,01026_1_9,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israeli assault may actually increase support for Hamas,-1,0.0
01101_13#01101_13_1,01101,01101_13,01101_13_1,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,China is actually taking good measures to fight global warming.,1,4.4073364116185754e-07
01101_13#01101_13_2,01101,01101_13,01101_13_2,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,Industrial countries caused global warming so should carry burden,1,9.86596544711522e-07
01101_13#01101_13_3,01101,01101_13,01101_13_3,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,Kyoto regulations on developed nations hurts developing nations,-1,2.2536031422031584e-09
01101_13#01101_13_4,01101,01101_13,01101_13_4,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,Kyoto Protocol wrongly exempts large developing nations.,-1,8.905235686759743e-08
01101_13#01101_13_5,01101,01101_13,01101_13_5,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,India/China can be pressured into joining Kyoto or other treaties,1,1.0061791578056939e-07
01151_19#01151_19_1,01151,01151_19,01151_19_1,Single-payer health care is a good idea.,"When the wealthy must use public health care, the system improves",1,3.978094208633281e-07
01151_19#01151_19_2,01151,01151_19,01151_19_2,Single-payer health care is a good idea.,Many single-payer systems give patients free choice of practitioners.,1,0.0
01151_19#01151_19_3,01151,01151_19,01151_19_3,Single-payer health care is a good idea.,People have a right to pay more for better health care,-1,1.8500291358755083e-06
01151_19#01151_19_4,01151,01151_19,01151_19_4,Single-payer health care is a good idea.,Universal health care will have rules that decrease patient flexibility,-1,1.214550228172636e-05
00002_1#00002_1_1,00002,00002_1,00002_1_1,"The US government ""fair use"" copyright clause is a good thing.","Fair use doesn""t give copyright holders enough rights",-1,0.0
00002_1#00002_1_2,00002,00002_1,00002_1_2,"The US government ""fair use"" copyright clause is a good thing.",Fair Use provides sufficient protection to copyright-holders to generate significant revenues.,1,6.376895337031768e-07
00002_1#00002_1_3,00002,00002_1,00002_1_3,"The US government ""fair use"" copyright clause is a good thing.",Fair Use allows reasonable copying of copyrighted works,1,6.269971087081151e-07
00002_1#00002_1_4,00002,00002_1,00002_1_4,"The US government ""fair use"" copyright clause is a good thing.",Difficulties in defining Fair Use leads to wasteful court-battles.,-1,6.550285133346399e-07
00112_7#00112_7_1,00112,00112_7,00112_7_1,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.","No Child Left Behind offers flexibility at state, local level",1,0.04528935676350084
00112_7#00112_7_2,00112,00112_7,00112_7_2,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",NCLB state testing is done more widely with greater effect.,1,0.0
00112_7#00112_7_3,00112,00112_7,00112_7_3,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",No Child Left Behind exerts too much federal power over states.,-1,0.04528935676350084
00112_7#00112_7_4,00112,00112_7,00112_7_4,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",No Child Left Behind encourages states to set low standards.,-1,0.04528933899028181
00112_7#00112_7_5,00112,00112_7,00112_7_5,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",Education standards between states are inconsistent under NCLB,-1,0.0
00112_7#00112_7_6,00112,00112_7,00112_7_6,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",Statewide standards are an improvement over major local failures:,1,8.87682448333329e-08
00112_7#00112_7_7,00112,00112_7,00112_7_7,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",States are free to opt out of No Child Left Behind,1,0.045289301444062194
00112_7#00112_7_8,00112,00112_7,00112_7_8,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",NCLB damages relationship/accountability of schools to community.,-1,0.0
00126_11#00126_11_1,00126,00126_11,00126_11_1,The idea of missile defenses in the Czech Republic and Poland is justified.,Iran poses a significant nuclear and ballistic missile threat,1,0.0
00126_11#00126_11_2,00126,00126_11,00126_11_2,The idea of missile defenses in the Czech Republic and Poland is justified.,Iran can be deterred; attacking others would result in its annihilation,-1,0.04771019830427381
00126_11#00126_11_3,00126,00126_11,00126_11_3,The idea of missile defenses in the Czech Republic and Poland is justified.,"Iran would not use missiles; they lack ""plausible deniability""",-1,0.0
00126_11#00126_11_4,00126,00126_11,00126_11_4,The idea of missile defenses in the Czech Republic and Poland is justified.,Intelligence reports show Iranian threat has been exaggerated,-1,0.016182251098811884
00126_11#00126_11_5,00126,00126_11,00126_11_5,The idea of missile defenses in the Czech Republic and Poland is justified.,Iran is simply not a geopolitical threat to international order,-1,0.0
00130_3#00130_3_1,00130,00130_3,00130_3_1,Airport security profiling is a good idea.,Israeli style profiling system not scalable in America.,-1,0.0
00130_3#00130_3_2,00130,00130_3,00130_3_2,Airport security profiling is a good idea.,"Profiling works well for Israel, can work well elsewhere",1,1.976914780154651e-07
00130_3#00130_3_3,00130,00130_3,00130_3_3,Airport security profiling is a good idea.,Profiling makes far less sense in America than Israel,-1,5.332408211575482e-05
00183_1#00183_1_1,00183,00183_1,00183_1_1,"The CTBT, or any other nuclear test ban treaty, is a good idea.",Enforcing a nuclear test ban is a risky proposition.,-1,0.22189575926661959
00183_1#00183_1_2,00183,00183_1,00183_1_2,"The CTBT, or any other nuclear test ban treaty, is a good idea.",Improved monitoring from test ban provides important information,1,1.1770195846624992e-08
00183_1#00183_1_3,00183,00183_1,00183_1_3,"The CTBT, or any other nuclear test ban treaty, is a good idea.",New technologies enable detection and ban of nuclear tests.,1,2.5459780782979128e-08
00183_1#00183_1_4,00183,00183_1,00183_1_4,"The CTBT, or any other nuclear test ban treaty, is a good idea.",Nuclear Test Ban lacks force behind it,-1,7.468673955042586e-07
00183_1#00183_1_5,00183,00183_1,00183_1_5,"The CTBT, or any other nuclear test ban treaty, is a good idea.","Enforcing a test ban, not detecting tests, is the issue",-1,0.0051443242753524505
00183_1#00183_1_6,00183,00183_1,00183_1_6,"The CTBT, or any other nuclear test ban treaty, is a good idea.",Detecting nuclear tests is too difficult to enforce ban,-1,0.00020867885345883988
00183_6#00183_6_1,00183,00183_6,00183_6_1,"The CTBT, or any other nuclear test ban treaty, is a good idea.",Monitoring NCBT could further alienate countries.,-1,5.067761493365629e-10
00183_6#00183_6_2,00183,00183_6,00183_6_2,"The CTBT, or any other nuclear test ban treaty, is a good idea.",CTBT has gained widespread support; should receive more.,1,0.00010617315368800231
00183_6#00183_6_3,00183,00183_6,00183_6_3,"The CTBT, or any other nuclear test ban treaty, is a good idea.",Test ban treaty helps reduce wasteful government spending,1,8.259669285075381e-06
00183_6#00183_6_4,00183,00183_6,00183_6_4,"The CTBT, or any other nuclear test ban treaty, is a good idea.",World can better leverage rogue states after ratifying CTBT,1,8.284337576298464e-10
00196_15#00196_15_1,00196,00196_15,00196_15_1,Capitalism is the superior system to socialism.,Poverty is a byproduct of inequalities under capitalism.,-1,0.005263524874560481
00196_15#00196_15_10,00196,00196_15,00196_15_10,Capitalism is the superior system to socialism.,Capitalism makes the rich richer and the poor poorer,-1,0.00019650836596621813
00196_15#00196_15_2,00196,00196_15,00196_15_2,Capitalism is the superior system to socialism.,"Business don""t take from poor; they add value and jobs.",1,0.002403758036533136
00196_15#00196_15_3,00196,00196_15,00196_15_3,Capitalism is the superior system to socialism.,"Capitalism fosters equal opportunity, not equal outcome.",1,0.0001364078900752198
00196_15#00196_15_4,00196,00196_15,00196_15_4,Capitalism is the superior system to socialism.,Inequalities in capitalism stifle individual opportunity.,-1,1.6548458683388605e-05
00196_15#00196_15_5,00196,00196_15,00196_15_5,Capitalism is the superior system to socialism.,Capitalism gives everyone the opportunity to succeed,1,0.0
00196_15#00196_15_6,00196,00196_15,00196_15_6,Capitalism is the superior system to socialism.,Capitalism is unequal riches; socialism is equal poverty,1,0.12393810764669022
00196_15#00196_15_7,00196,00196_15,00196_15_7,Capitalism is the superior system to socialism.,Income and rewards in capitalism are unequal,-1,0.24315023250498954
00196_15#00196_15_8,00196,00196_15,00196_15_8,Capitalism is the superior system to socialism.,Socialism does not bring poverty but prosperity.,-1,9.568982752140673e-06
00196_15#00196_15_9,00196,00196_15,00196_15_9,Capitalism is the superior system to socialism.,"In capitalism, profit is made through exploitation.",-1,0.0010256169794593572
00246_7#00246_7_1,00246,00246_7,00246_7_1,The farming and consumption of veal is acceptable.,Veal and cattle production is a generally inefficient use of land,-1,0.0
00246_7#00246_7_2,00246,00246_7,00246_7_2,The farming and consumption of veal is acceptable.,Veal farming is wasteful of the growth potential of a baby cow.,-1,0.0011259229706057916
00246_7#00246_7_3,00246,00246_7,00246_7_3,The farming and consumption of veal is acceptable.,Veal farming is a good alternative to the slaughtering of unwanted calves,1,0.00045175269563046494
00246_7#00246_7_4,00246,00246_7,00246_7_4,The farming and consumption of veal is acceptable.,The inefficient land-use of veal is not a justification to ban veal.,1,7.124733110662981e-06
00246_7#00246_7_5,00246,00246_7,00246_7_5,The farming and consumption of veal is acceptable.,"If cattle land-use is a problem, the markets are best for solving the problem.",1,0.02981951856436286
00246_7#00246_7_7,00246,00246_7,00246_7_7,The farming and consumption of veal is acceptable.,Veal farming is an economically important industry that cannot be scrapped,1,0.0005663331672623493
00246_7#00246_7_8,00246,00246_7,00246_7_8,The farming and consumption of veal is acceptable.,If veal is forbidden in one country its often simply exported abroad.,1,0.00869813809241231
00458_4#00458_4_1,00458,00458_4,00458_4_1,A no fly zone over Libya is a good idea.,No-fly zone justified against madman Gaddafi,1,1.0479194413979102e-07
00458_4#00458_4_2,00458,00458_4,00458_4_2,A no fly zone over Libya is a good idea.,No evidence that rebels would govern any better than Gaddafi,-1,0.0
00458_4#00458_4_3,00458,00458_4,00458_4_3,A no fly zone over Libya is a good idea.,No-fly zone could increase support for Gaddafi,-1,1.364939047147912e-07
00458_4#00458_4_4,00458,00458_4,00458_4_4,A no fly zone over Libya is a good idea.,No fly zone in Libya prevents a massacre,1,0.0001325392933151457
00458_4#00458_4_5,00458,00458_4,00458_4_5,A no fly zone over Libya is a good idea.,West has responsibility to countering oppression.,1,6.233103389966146e-06
00458_4#00458_4_6,00458,00458_4,00458_4_6,A no fly zone over Libya is a good idea.,No proof Libyan airforce fired on own people,-1,1.0567296693673587e-05
00458_4#00458_4_7,00458,00458_4,00458_4_7,A no fly zone over Libya is a good idea.,No-fly zone is an act of war; goes too far,-1,0.6750613852414761
00458_4#00458_4_8,00458,00458_4,00458_4_8,A no fly zone over Libya is a good idea.,No-fly zone does not constitute military intervention.,1,0.00012801600788351407
00458_4#00458_4_9,00458,00458_4,00458_4_9,A no fly zone over Libya is a good idea.,People will suspect US in Libya regardless of no-fly zone,1,0.0
00460_7#00460_7_1,00460,00460_7,00460_7_1,Obama does deserve a second term.,Took major steps toward universal and stronger healthcare.,1,0.0
00460_7#00460_7_2,00460,00460_7,00460_7_2,Obama does deserve a second term.,Pushed investigation of excessive insurance rate hikes.,1,0.0
00460_7#00460_7_3,00460,00460_7,00460_7_3,Obama does deserve a second term.,Republican Paul Ryan has provided an alternative to Obamacare.,-1,6.624893471550413e-07
00460_7#00460_7_4,00460,00460_7,00460_7_4,Obama does deserve a second term.,Obamacare was a bad political move for Obama.,-1,6.11430153861353e-06
00460_7#00460_7_5,00460,00460_7,00460_7_5,Obama does deserve a second term.,Individual mandate was conceived by conservatives.,1,9.152449279070925e-10
00460_7#00460_7_6,00460,00460_7,00460_7_6,Obama does deserve a second term.,Provided emergency healthcare to laid off workers.,1,0.0
00460_7#00460_7_7,00460,00460_7,00460_7_7,Obama does deserve a second term.,"AFA only offers access to about 20,000 w/ pre-existing conditions.",-1,0.0
00460_7#00460_7_8,00460,00460_7,00460_7_8,Obama does deserve a second term.,Affordable Care Act based off of Romneys plan in MA.,1,2.0068627281974974e-10
00460_7#00460_7_9,00460,00460_7,00460_7_9,Obama does deserve a second term.,Repealed restrictions on life-saving embryonic stem cell research.,1,0.0
00505_5#00505_5_1,00505,00505_5,00505_5_1,The United States NSAs warrantless wiretapping program was justified.,FISA authorizes the Justice Department to obtain warrants from the secret Foreign Intelligence Surveillance Court (FISC) up to 72 hours after the beginning of the eavesdropping.,-1,0.0
00505_5#00505_5_3,00505,00505_5,00505_5_3,The United States NSAs warrantless wiretapping program was justified.,FISA blocked terrorist intelligence findings pre 9/11:,1,7.343718468117073e-07
00505_5#00505_5_4,00505,00505_5,00505_5_4,The United States NSAs warrantless wiretapping program was justified.,"Specter 16 March, 2006 Statement on Introduced Bills:",1,0.0
00505_5#00505_5_6,00505,00505_5,00505_5_6,The United States NSAs warrantless wiretapping program was justified.,FISA was amended within the context of the emerging threat of terrorism:,-1,0.0
00505_5#00505_5_7,00505,00505_5,00505_5_7,The United States NSAs warrantless wiretapping program was justified.,Revealing sources and methods:,1,0.0
00648_5#00648_5_1,00648,00648_5,00648_5_1,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,Financial crisis requires and justifies strong executive powers.,1,1.421456256923337e-07
00648_5#00648_5_2,00648,00648_5,00648_5_2,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,Paulson Plan does not allow for enough Congressional oversight,-1,9.143793677652024e-08
00648_5#00648_5_3,00648,00648_5,00648_5_3,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,$700b bailout includes oversight/transparency,1,4.594419839562953e-08
00648_5#00648_5_4,00648,00648_5,00648_5_4,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,$700b plan gives unconstitutionally broad power to Treasury,-1,6.315040889903264e-05
00696_6#00696_6_1,00696,00696_6,00696_6_1,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,Cap-and-trade would cause job loss.,-1,0.0003431610378301149
00696_6#00696_6_10,00696,00696_6,00696_6_10,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,A carbon tax is more predictable and less volatile than a cap-and-trade system.,-1,0.06290698720582925
00696_6#00696_6_11,00696,00696_6,00696_6_11,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,The negative economic effects of a cap-and-trade system would be larger than its environmental benefits:,-1,5.20589034092665e-06
00696_6#00696_6_12,00696,00696_6,00696_6_12,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,Cap-and-trade is more flexible in the interconnected global economy.,1,0.0003903118139412763
00696_6#00696_6_13,00696,00696_6,00696_6_13,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,The consensus among economists is that a carbon tax is the better approach.,-1,0.010881326859591362
00696_6#00696_6_15,00696,00696_6,00696_6_15,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,A cap-and-trade system is complicated and entails substantial administrative costs.,-1,0.0001913622670500772
00696_6#00696_6_2,00696,00696_6,00696_6_2,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,A cap-and-trade system incentivizes reductions in carbon emissions where it can be done most efficiently.,1,3.184762694531038e-05
00696_6#00696_6_3,00696,00696_6,00696_6_3,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,A carbon tax would be more efficient.,-1,0.004790921593106078
00696_6#00696_6_5,00696,00696_6,00696_6_5,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,A cap-and-trade system would be harder on government budgets.,-1,4.407243896643356e-05
00696_6#00696_6_6,00696,00696_6,00696_6_6,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,A carbon tax would damage an economy.,1,2.4486758283077973e-06
