pairid,argid,propid_to,propid_from,text_to,text_from,relation,ie_conf_arg0,ie_conf_arg1,ie_conf_arg2,ie_conf_arg2p,ie_conf_any
00055_14#00055_14_2,00055,00055_14,00055_14_2,Iraq should be partitioned into three autonomous sectarian regions.,Claim that Sunnis fear being isolated from Iraqs oil resources:,-1,3.423323321678913e-08,7.975387523637343e-09,1.0963334844443702e-08,1.0963334844443702e-08,3.423323321678913e-08
00055_14#00055_14_3,00055,00055_14,00055_14_3,Iraq should be partitioned into three autonomous sectarian regions.,"Claim that Sunnis may have the most to gain from a partitioning of Iraq, giving them reasons to change their general position to support for a partition plan:",1,8.06469305224008e-10,1.0648786130357235e-10,3.0729107420764457e-09,3.0729107420764457e-09,3.0729107420764457e-09
00081_5#00081_5_1,00081,00081_5,00081_5_1,Women should breastfeed in public. It should be legal and protected.,If breastfeeders must cover; meateaters should eat under table,1,0.00019584891005089335,9.092810123373448e-06,4.15114508069187e-05,4.15114508069187e-05,0.00019584891005089335
00081_5#00081_5_2,00081,00081_5,00081_5_2,Women should breastfeed in public. It should be legal and protected.,Breastfeeding is a privilege.,1,6.528175333709145e-05,0.00019612466906380175,1.1070395715547709e-05,1.1070395715547709e-05,0.00019612466906380175
00081_5#00081_5_3,00081,00081_5,00081_5_3,Women should breastfeed in public. It should be legal and protected.,Those offended by breastfeeding should tolerate it.,1,1.5071290042246692e-05,1.3269596660897867e-05,1.3060978001158063e-06,1.3060978001158063e-06,1.5071290042246692e-05
00171_4#00171_4_1,00171,00171_4,00171_4_1,The Palestinians do have the right to return.,The right of return is internationally recognized,1,0.0,0.0,0.0,0.0,0.0
00171_4#00171_4_2,00171,00171_4,00171_4_2,The Palestinians do have the right to return.,More of a right to leave than right to return.,-1,0.0,0.0,0.0,0.0,0.0
00171_4#00171_4_3,00171,00171_4,00171_4_3,The Palestinians do have the right to return.,Jews expelled from Arab countries have no right of return.,-1,1.9580519429625806e-05,2.7983043243656588e-08,0.05621092094643758,0.05621092094643758,0.05621092094643758
00171_4#00171_4_4,00171,00171_4,00171_4_4,The Palestinians do have the right to return.,"Palestinians maybe ""should"" be allowed to return, but have no ""right""",-1,3.09830661581379e-06,1.544738338337107e-06,0.9643881783593442,0.9643881783593442,0.9643881783593442
00171_4#00171_4_5,00171,00171_4,00171_4_5,The Palestinians do have the right to return.,"Palestinians were forced to leave, have a right to return.",1,0.00502274486331225,0.0025042177725059208,0.0008000325308828772,0.0008000325308828772,0.00502274486331225
00171_4#00171_4_6,00171,00171_4,00171_4_6,The Palestinians do have the right to return.,"Right of return jeopardizes Israeli welfare, so invalid",-1,0.0,0.0,0.0,0.0,0.0
00171_4#00171_4_7,00171,00171_4,00171_4_7,The Palestinians do have the right to return.,Right of return based on claim of unprovoked victimhood.,-1,0.0,0.0,0.0,0.0,0.0
00171_4#00171_4_8,00171,00171_4,00171_4_8,The Palestinians do have the right to return.,"Palestinians never citizens of Israel, no right to return.",-1,0.0,0.0,0.0,0.0,0.0
00184_3#00184_3_1,00184,00184_3,00184_3_1,Catholic priests still should be required to take a vow of celibacy.,Celibate priests avoid being torn between God and family,-1,2.3266458710984284e-05,2.037942804240227e-06,7.656036276758009e-08,7.656036276758009e-08,2.3266458710984284e-05
00184_3#00184_3_10,00184,00184_3,00184_3_10,Catholic priests still should be required to take a vow of celibacy.,Marriage/sex are sacred; priests should be allowed to marry,1,6.965882947771448e-07,5.383538596325067e-07,1.0095089936219047e-07,1.0095089936219047e-07,6.965882947771448e-07
00184_3#00184_3_2,00184,00184_3,00184_3_2,Catholic priests still should be required to take a vow of celibacy.,Marriage and family do not distract from priesthood.,1,5.634281902588788e-07,5.387966997535817e-06,0.0003674130926954549,0.0003674130926954549,0.0003674130926954549
00184_3#00184_3_3,00184,00184_3,00184_3_3,Catholic priests still should be required to take a vow of celibacy.,Married priests could better consult married churchgoers,1,4.567849711334033e-05,1.7366126803087697e-07,2.1664050708297876e-05,2.1664050708297876e-05,4.567849711334033e-05
00184_3#00184_3_4,00184,00184_3,00184_3_4,Catholic priests still should be required to take a vow of celibacy.,Statements that Catholic priests should be allowed to marry,1,0.0,0.0,0.0,0.0,0.0
00184_3#00184_3_9,00184,00184_3,00184_3_9,Catholic priests still should be required to take a vow of celibacy.,Celibacy forces priests to live lonely life; bad for Church.,1,0.00016353486223659022,3.2270896923052815e-06,1.9326709969831918e-06,1.9326709969831918e-06,0.00016353486223659022
00211_8#00211_8_12,00211,00211_8,00211_8_12,The US federal government should increase the minimum wage.,"""President Bush signaled readiness last week to consider some Democratic priorities such as a minimum-wage increase"".",1,1.6872264514715856e-07,2.1573532326595725e-09,4.256940427404158e-08,4.256940427404158e-08,1.6872264514715856e-07
00211_8#00211_8_14,00211,00211_8,00211_8_14,The US federal government should increase the minimum wage.,Senator Rick Santorum (R-PA),1,0.0,0.0,0.0,0.0,0.0
00211_8#00211_8_2,00211,00211_8,00211_8_2,The US federal government should increase the minimum wage.,Sen. Edward Kennedy,1,0.0,0.0,0.0,0.0,0.0
00211_8#00211_8_3,00211,00211_8,00211_8_3,The US federal government should increase the minimum wage.,Democrats tend to support raising the minimum wage and are making it majority legislative priority for the 110th Congress:,1,0.003469098003511237,4.797956591343754e-05,5.727831239478864e-06,5.727831239478864e-06,0.003469098003511237
00211_8#00211_8_4,00211,00211_8,00211_8_4,The US federal government should increase the minimum wage.,Assistant Majority Leader Dick Durbin:,1,6.279905314740582e-11,1.3097680664514818e-09,2.556442075278564e-10,2.556442075278564e-10,1.3097680664514818e-09
00211_8#00211_8_6,00211,00211_8,00211_8_6,The US federal government should increase the minimum wage.,Nancy Pelosi - 110th Congress House Speaker,1,0.0,0.0,0.0,0.0,0.0
00211_8#00211_8_7,00211,00211_8,00211_8_7,The US federal government should increase the minimum wage.,Republicans tend to oppose raising the minimum wage:,-1,3.654008475223448e-07,0.00018193029855541546,1.4904059853760148e-06,1.4904059853760148e-06,0.00018193029855541546
00233_1#00233_1_2,00233,00233_1,00233_1_2,Aboriginals should be treated differently under the law.,"Cultures, including aboriginal traditions, evolve and morph through time and the interaction with other cultures:",-1,0.0,0.0,0.0,0.0,0.0
00233_1#00233_1_4,00233,00233_1,00233_1_4,Aboriginals should be treated differently under the law.,The treaties were made by a colonial power in a different age and time:,-1,4.813696256886519e-09,1.3311991838816834e-08,2.2172383761085862e-08,2.2172383761085862e-08,2.2172383761085862e-08
00233_1#00233_1_5,00233,00233_1,00233_1_5,Aboriginals should be treated differently under the law.,Aboriginal culture will be lost if modern governments do not help to protect it:,1,1.0062800277067222e-06,4.904280596848624e-06,3.702229040215416e-06,3.702229040215416e-06,4.904280596848624e-06
00233_1#00233_1_6,00233,00233_1,00233_1_6,Aboriginals should be treated differently under the law.,Aboriginals deserve differential treatment as compensation for violated treaties:,1,8.600125237175676e-08,0.00010052864374231722,0.00019593800707755,0.00019593800707755,0.00019593800707755
00280_3#00280_3_1,00280,00280_3,00280_3_1,Men found guilty of sex crimes should be chemically castrated.,"Any attempt to ""help"" offender may be soft on him.",-1,4.033037742053158e-08,1.985495928741381e-09,4.600787318586737e-08,4.600787318586737e-08,4.600787318586737e-08
00280_3#00280_3_2,00280,00280_3,00280_3_2,Men found guilty of sex crimes should be chemically castrated.,Castration exposes sex offenders to side effects,-1,0.0,0.0,0.0,0.0,0.0
00280_3#00280_3_3,00280,00280_3,00280_3_3,Men found guilty of sex crimes should be chemically castrated.,"Do those that can""t stand side-effects go back to jail.",-1,1.3681031772786346e-08,6.489349266988314e-08,1.556515823380844e-08,1.556515823380844e-08,6.489349266988314e-08
00280_3#00280_3_4,00280,00280_3,00280_3_4,Men found guilty of sex crimes should be chemically castrated.,Castration is a humane alternative to life-long imprisonment.,1,1.5428793044366246e-07,1.9076426666708247e-08,1.5755327415354317e-05,1.5755327415354317e-05,1.5755327415354317e-05
00280_3#00280_3_5,00280,00280_3,00280_3_5,Men found guilty of sex crimes should be chemically castrated.,Castrating sex offenders less effective than psychotheraphy.,-1,0.0,0.0,0.0,0.0,0.0
00280_3#00280_3_6,00280,00280_3,00280_3_6,Men found guilty of sex crimes should be chemically castrated.,Castration helps sex offender by freeing them of urges.,1,2.5499923412291006e-06,2.490477276294291e-07,9.01550477838824e-07,9.01550477838824e-07,2.5499923412291006e-06
00321_2#00321_2_1,00321,00321_2,00321_2_1,Human reproductive cloning should be banned and punishments should be leveled against it.,Human cloning would enable infertile couples to have children,-1,4.937445784690147e-09,2.8541302274828473e-08,2.162998447506525e-09,2.162998447506525e-09,2.8541302274828473e-08
00321_2#00321_2_2,00321,00321_2,00321_2_2,Human reproductive cloning should be banned and punishments should be leveled against it.,Cloning allows gay couples to have children of their own blood,-1,1.1056851017672233e-07,1.4463772201559479e-06,5.863557944760306e-07,5.863557944760306e-07,1.4463772201559479e-06
00321_2#00321_2_3,00321,00321_2,00321_2_3,Human reproductive cloning should be banned and punishments should be leveled against it.,"The ends don""t justify the means in cloning a child.",1,3.062637966732427e-08,4.072249819141623e-08,1.9901040743465223e-07,1.9901040743465223e-07,1.9901040743465223e-07
00321_2#00321_2_4,00321,00321_2,00321_2_4,Human reproductive cloning should be banned and punishments should be leveled against it.,By the will of nature/God infertile couples are not meant to reproduce,1,0.04454976633862051,0.0013225825929966128,0.0,0.0,0.04454976633862051
00322_13#00322_13_1,00322,00322_13,00322_13_1,The American War on Drugs is succeeding and it should not be abandoned.,State justified in protecting individuals from own drug abuse.,1,0.0,0.0,0.0,0.0,0.0
00322_13#00322_13_2,00322,00322_13,00322_13_2,The American War on Drugs is succeeding and it should not be abandoned.,"Individuals are at liberty to take drugs, harm themselves",-1,0.0,0.0,0.0,0.0,0.0
00322_13#00322_13_3,00322,00322_13,00322_13_3,The American War on Drugs is succeeding and it should not be abandoned.,State should not regulate belief in creative value of drugs,-1,0.0,0.0,0.0,0.0,0.0
00322_13#00322_13_4,00322,00322_13,00322_13_4,The American War on Drugs is succeeding and it should not be abandoned.,War on Drugs is overly punitive and draconian,-1,0.0,0.0,0.0,0.0,0.0
00322_13#00322_13_5,00322,00322_13,00322_13_5,The American War on Drugs is succeeding and it should not be abandoned.,State should not regulate spiritual interest in drugs,-1,0.0,0.0,0.0,0.0,0.0
00322_13#00322_13_6,00322,00322_13,00322_13_6,The American War on Drugs is succeeding and it should not be abandoned.,War on Drugs invades privacy of Americans,-1,0.0,0.0,0.0,0.0,0.0
00322_13#00322_13_7,00322,00322_13,00322_13_7,The American War on Drugs is succeeding and it should not be abandoned.,The state is justified in protecting society from drug-users.,1,0.0,0.0,0.0,0.0,0.0
00387_5#00387_5_1,00387,00387_5,00387_5_1,Hydrogen vehicles should be a major part of strategies to fight global warming.,Hydrogen cars will help end foreign oil dependencies,1,2.6463031104203777e-08,5.597550847282728e-06,2.817003355526913e-05,2.817003355526913e-05,2.817003355526913e-05
00387_5#00387_5_2,00387,00387_5,00387_5_2,Hydrogen vehicles should be a major part of strategies to fight global warming.,Hydrogen can decrease tensions over oil and promote peace,1,1.0817257836261106e-07,7.140249640708539e-05,0.0001755211651544795,0.0001755211651544795,0.0001755211651544795
00387_5#00387_5_3,00387,00387_5,00387_5_3,Hydrogen vehicles should be a major part of strategies to fight global warming.,"Uneconomical hydrogen cars can""t lower foreign dependencies.",-1,0.0,0.0,0.0,0.0,0.0
00387_5#00387_5_4,00387,00387_5,00387_5_4,Hydrogen vehicles should be a major part of strategies to fight global warming.,Alternatives to hydrogen exist to lower foreign oil dependencies.,-1,0.0,0.0,0.0,0.0,0.0
00466_5#00466_5_1,00466,00466_5,00466_5_1,Acts of hate should be criminalized.,Hate crime laws can help emphasize the importance of tolerance.,1,0.0,0.0,0.0,0.0,0.0
00466_5#00466_5_2,00466,00466_5,00466_5_2,Acts of hate should be criminalized.,Hate crime laws target violent acts not thoughts,1,0.0,0.0,0.0,0.0,0.0
00466_5#00466_5_3,00466,00466_5,00466_5_3,Acts of hate should be criminalized.,Hate is a learned attribute; no individual is born hating.,1,3.436500185433587e-05,3.283351173857601e-07,0.0,0.0,3.436500185433587e-05
00466_5#00466_5_4,00466,00466_5,00466_5_4,Acts of hate should be criminalized.,"Hate crime laws won""t change hatred.",-1,0.0,0.0,0.0,0.0,0.0
00466_5#00466_5_5,00466,00466_5,00466_5_5,Acts of hate should be criminalized.,Hate Crime laws would only INCREASE racial tension.,-1,0.0,0.0,0.0,0.0,0.0
00549_10#00549_10_1,00549,00549_10,00549_10_1,The United Kingdom should hand over the Falkland Islands to Argentina.,The Argentines invaded British territory.,-1,0.0,0.0,0.0,0.0,0.0
00549_10#00549_10_2,00549,00549_10,00549_10_2,The United Kingdom should hand over the Falkland Islands to Argentina.,Britain sent its soldiers to fight an unjust war in the Falkland Islands.,1,4.756203565086996e-12,3.739086104005062e-10,1.3178640889522404e-10,8.520679806840903e-08,8.520679806840903e-08
00549_10#00549_10_3,00549,00549_10,00549_10_3,The United Kingdom should hand over the Falkland Islands to Argentina.,Returning the Falkland Islands would be an insult to dead soldiers.,-1,0.0,0.0,0.0,0.0,0.0
00549_10#00549_10_4,00549,00549_10,00549_10_4,The United Kingdom should hand over the Falkland Islands to Argentina.,The British had permission from the UN to use reasonable force to retake the islands,-1,8.930598469732909e-12,3.533405546195582e-08,3.959172481010617e-09,1.278138402788344e-06,1.278138402788344e-06
00572_7#00572_7_1,00572,00572_7,00572_7_1,The US-Indian nuclear deal was justified. It should move forward.,US-India nuclear deal heightens India-Pakistan nuclear tensions.,-1,1.3112459045121124e-09,4.071274337630265e-09,1.491442393143287e-09,1.491442393143287e-09,4.071274337630265e-09
00572_7#00572_7_3,00572,00572_7,00572_7_3,The US-Indian nuclear deal was justified. It should move forward.,US-India nuclear deal could cause Pakistan to seek similar deal elsewhere.,-1,4.851478022878716e-07,4.5551903250838645e-09,3.705959885902021e-07,3.705959885902021e-07,4.851478022878716e-07
00572_7#00572_7_4,00572,00572_7,00572_7_4,The US-Indian nuclear deal was justified. It should move forward.,US-India nuclear deal alienates Pakistan (does not have a deal).,-1,5.738928131352104e-10,3.059665379118629e-09,4.358771398048502e-10,4.358771398048502e-10,3.059665379118629e-09
00637_3#00637_3_1,00637,00637_3,00637_3_1,Public schools should have condom distribution programs.,Religious considerations are not irrelevant.,-1,1.0080050705478734e-09,1.790746994525344e-08,1.0156182912212301e-09,1.0156182912212301e-09,1.790746994525344e-08
00637_3#00637_3_2,00637,00637_3,00637_3_2,Public schools should have condom distribution programs.,Condoms for students can offend people from different religions.,-1,2.654844509100135e-09,1.4134922698899384e-08,3.913809792225749e-09,3.913809792225749e-09,1.4134922698899384e-08
00637_3#00637_3_3,00637,00637_3,00637_3_3,Public schools should have condom distribution programs.,Putting a condom machine in a school does not mean that all students are encouraged to have sex,1,0.016931306653035317,1.3640042720992564e-05,5.3556381816778485e-05,5.3556381816778485e-05,0.016931306653035317
00750_4#00750_4_1,00750,00750_4,00750_4_1,Governments should require that genetically modified foods be labeled.,Food producers opposing GM labels appear to be hiding risks.,1,0.00016888649759015315,5.993733511994967e-06,3.596346292773564e-08,3.596346292773564e-08,0.00016888649759015315
00750_4#00750_4_2,00750,00750_4,00750_4_2,Governments should require that genetically modified foods be labeled.,Labeling is part of efforts to stigmatize GM foods,-1,1.6027075378502992e-09,2.3711735522707254e-09,3.0223906083467366e-10,3.0223906083467366e-10,2.3711735522707254e-09
00750_4#00750_4_3,00750,00750_4,00750_4_3,Governments should require that genetically modified foods be labeled.,GM food producers opposing labels seem against consumer choice.,1,5.8974197711939534e-05,3.3463955652778985e-06,5.158802912661679e-10,5.158802912661679e-10,5.8974197711939534e-05
00750_4#00750_4_4,00750,00750_4,00750_4_4,Governments should require that genetically modified foods be labeled.,GM labeling improves confidence in food safety measures,1,4.659540475159755e-10,1.2256757839214896e-10,1.1221275487534741e-10,1.1221275487534741e-10,4.659540475159755e-10
00750_4#00750_4_5,00750,00750_4,00750_4_5,Governments should require that genetically modified foods be labeled.,Labeling of GM foods alarms and turns-away consumers.,-1,0.0,0.0,0.0,0.0,0.0
00750_4#00750_4_6,00750,00750_4,00750_4_6,Governments should require that genetically modified foods be labeled.,It is good for labeling to turn consumers off to GM foods.,1,1.9425339377411446e-07,1.4124772183322912e-06,2.805689237819821e-07,2.805689237819821e-07,1.4124772183322912e-06
00838_6#00838_6_1,00838,00838_6,00838_6_1,There should be an outright ban on the smacking or spanking of children.,Children deserve the same rights as everyone else.,1,0.0,0.0,0.0,0.0,0.0
00838_6#00838_6_2,00838,00838_6,00838_6_2,There should be an outright ban on the smacking or spanking of children.,You cannot legally smack an adult.,1,0.0,0.0,0.0,0.0,0.0
00838_6#00838_6_3,00838,00838_6,00838_6_3,There should be an outright ban on the smacking or spanking of children.,Children deserve rights but smacking can be justified.,-1,0.04221896139056369,0.00426874195632343,0.0,0.0,0.04221896139056369
00867_2#00867_2_1,00867,00867_2,00867_2_1,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,AIG employees are not only ones capable of restructuring,-1,0.0,0.0,0.0,0.0,0.0
00867_2#00867_2_2,00867,00867_2,00867_2_2,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,AIG bonuses blackmail taxpayers with threat of collapse,-1,0.0,0.0,0.0,0.0,0.0
00867_2#00867_2_3,00867,00867_2,00867_2_3,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,Bonuses help AIG keep employees and survive,1,0.0009080108806173715,0.0012449225582572832,0.0,0.0,0.0012449225582572832
00867_2#00867_2_4,00867,00867_2,00867_2_4,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,Reneging AIG bonuses would undermine shareholder confidence,1,0.0,0.0,0.0,0.0,0.0
00867_2#00867_2_5,00867,00867_2,00867_2_5,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,"AIG workers/execs that caused collapse won""t help recovery",-1,0.0,0.0,0.0,0.0,0.0
00867_2#00867_2_6,00867,00867_2,00867_2_6,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,Punishing bonuses will distract AIG from restructuring,1,6.012576351977587e-08,1.4167661998105627e-07,0.0,0.0,1.4167661998105627e-07
00883_3#00883_3_1,00883,00883_3,00883_3_1,Puerto Rico should move for US statehood. The US should accept it.,Puerto Rico has waited for too long for full citizenship.,1,0.0,0.0,0.0,0.0,0.0
00883_3#00883_3_2,00883,00883_3,00883_3_2,Puerto Rico should move for US statehood. The US should accept it.,Puerto Ricans are already considered Americans.,-1,0.0,0.0,0.0,0.0,0.0
00883_3#00883_3_3,00883,00883_3,00883_3_3,Puerto Rico should move for US statehood. The US should accept it.,Puerto Rican statehood would require changing the US flag.,-1,2.0402751432452464e-06,2.4450310952214584e-07,4.840868544619293e-05,4.840868544619293e-05,4.840868544619293e-05
00883_3#00883_3_4,00883,00883_3,00883_3_4,Puerto Rico should move for US statehood. The US should accept it.,Puerto Rico as colony is unacceptable.,1,0.00023381172024484166,3.864053701574898e-06,2.766831908937833e-07,2.766831908937833e-07,0.00023381172024484166
00883_3#00883_3_5,00883,00883_3,00883_3_5,Puerto Rico should move for US statehood. The US should accept it.,Puerto Ricans deserve full political rights and citizenship.,1,1.1111864149959467e-06,2.1741344099599885e-05,0.0025035786264345494,0.0025035786264345494,0.0025035786264345494
00883_3#00883_3_6,00883,00883_3,00883_3_6,Puerto Rico should move for US statehood. The US should accept it.,Puerto Ricans have rejected statehood many times now.,-1,0.0,0.0,0.0,0.0,0.0
00883_3#00883_3_7,00883,00883_3,00883_3_7,Puerto Rico should move for US statehood. The US should accept it.,Puerto Ricans have earned statehood through support of US.,1,1.9893801711433304e-06,0.00015296125573229853,6.388796478484132e-06,6.388796478484132e-06,0.00015296125573229853
00883_5#00883_5_1,00883,00883_5,00883_5_1,Puerto Rico should move for US statehood. The US should accept it.,Democrats want Puerto Rican statehood to gain votes,-1,3.317476858109121e-07,4.0601498159990885e-07,6.568590985490838e-07,6.568590985490838e-07,6.568590985490838e-07
00883_5#00883_5_2,00883,00883_5,00883_5_2,Puerto Rico should move for US statehood. The US should accept it.,Puerto Rico statehood does not clearly benefit one party,1,1.4801902284087747e-05,4.793012320318832e-06,5.7989326094824974e-05,5.7989326094824974e-05,5.7989326094824974e-05
00883_5#00883_5_3,00883,00883_5,00883_5_3,Puerto Rico should move for US statehood. The US should accept it.,Puerto Rico would outrank 26 states in size/representation.,-1,0.00013753935220302155,2.595529484090954e-05,1.2917705344913956e-05,1.2917705344913956e-05,0.00013753935220302155
00883_5#00883_5_4,00883,00883_5,00883_5_4,Puerto Rico should move for US statehood. The US should accept it.,Puerto Rico statehood forces re-assigning Congressional seats.,-1,8.01287296976948e-08,6.39163865559828e-08,3.6193283537815603e-07,3.6193283537815603e-07,3.6193283537815603e-07
00889_34#00889_34_1,00889,00889_34,00889_34_1,Tibet should seek and gain independence.,Between the 13th and 14th centuries Tibet was under Mongol not Chinese rule,1,0.0,0.0,0.0,0.0,0.0
00889_34#00889_34_2,00889,00889_34,00889_34_2,Tibet should seek and gain independence.,"Even during the periods of nominal subjugation to the Mongol and Qing Empires, Tibet was largely self-governing.",1,0.0,0.0,0.0,0.0,0.0
00889_34#00889_34_3,00889,00889_34,00889_34_3,Tibet should seek and gain independence.,Mongolia gave diplomatic recognition to the Tibetan state in 1207,1,0.0,0.0,0.0,0.0,0.0
00889_34#00889_34_4,00889,00889_34,00889_34_4,Tibet should seek and gain independence.,Tibet has been part of China since 13th century Mongol invasions,-1,0.0,0.0,0.0,0.0,0.0
00899_1#00899_1_1,00899,00899_1,00899_1_1,"Govts should mandate that people buy private health insurance, or face penalties.",Health insurance mandates do not foster responsibility,-1,1.3506251027263155e-07,7.240592702168598e-06,1.0585957091599023e-07,1.0585957091599023e-07,7.240592702168598e-06
