pairid,argid,propid_to,propid_from,text_to,text_from,relation,sa_conf_npvp,sa_cons_npvp
00081_5#00081_5_3,00081,00081_5,00081_5_3,Women should breastfeed in public. It should be legal and protected.,Those offended by breastfeeding should tolerate it.,1,0.47930949261912525,0.9649008297637581
00171_4#00171_4_1,00171,00171_4,00171_4_1,The Palestinians do have the right to return.,The right of return is internationally recognized,1,0.0007724594756004396,0.9855639209219538
00171_4#00171_4_2,00171,00171_4,00171_4_2,The Palestinians do have the right to return.,More of a right to leave than right to return.,-1,0.025657892321688785,0.8931737574089933
00171_4#00171_4_3,00171,00171_4,00171_4_3,The Palestinians do have the right to return.,Jews expelled from Arab countries have no right of return.,-1,0.9616283247203471,0.013486157722835386
00171_4#00171_4_4,00171,00171_4,00171_4_4,The Palestinians do have the right to return.,"Palestinians maybe ""should"" be allowed to return, but have no ""right""",-1,0.9519397025978522,0.9912592993694405
00171_4#00171_4_5,00171,00171_4,00171_4_5,The Palestinians do have the right to return.,"Palestinians were forced to leave, have a right to return.",1,0.5754508944925146,0.9946722669018235
00171_4#00171_4_6,00171,00171_4,00171_4_6,The Palestinians do have the right to return.,"Right of return jeopardizes Israeli welfare, so invalid",-1,0.9633915757254468,0.0029321492993126474
00171_4#00171_4_7,00171,00171_4,00171_4_7,The Palestinians do have the right to return.,Right of return based on claim of unprovoked victimhood.,-1,0.36656012071418,0.951866564852954
00171_4#00171_4_8,00171,00171_4,00171_4_8,The Palestinians do have the right to return.,"Palestinians never citizens of Israel, no right to return.",-1,0.7542042919048012,0.26750053334078744
00184_3#00184_3_1,00184,00184_3,00184_3_1,Catholic priests still should be required to take a vow of celibacy.,Celibate priests avoid being torn between God and family,-1,0.01135263371765817,0.8262831286296303
00184_3#00184_3_10,00184,00184_3,00184_3_10,Catholic priests still should be required to take a vow of celibacy.,Marriage/sex are sacred; priests should be allowed to marry,1,0.00696902595421548,0.9775056438187542
00184_3#00184_3_2,00184,00184_3,00184_3_2,Catholic priests still should be required to take a vow of celibacy.,Marriage and family do not distract from priesthood.,1,0.5866413507761437,0.24891242558323587
00184_3#00184_3_3,00184,00184_3,00184_3_3,Catholic priests still should be required to take a vow of celibacy.,Married priests could better consult married churchgoers,1,4.5355369738932297e-05,0.013146922108895487
00184_3#00184_3_4,00184,00184_3,00184_3_4,Catholic priests still should be required to take a vow of celibacy.,Statements that Catholic priests should be allowed to marry,1,0.1032800315276068,0.6596812835062199
00184_3#00184_3_9,00184,00184_3,00184_3_9,Catholic priests still should be required to take a vow of celibacy.,Celibacy forces priests to live lonely life; bad for Church.,1,0.9347871181677687,0.05504469825705266
00211_8#00211_8_12,00211,00211_8,00211_8_12,The US federal government should increase the minimum wage.,"""President Bush signaled readiness last week to consider some Democratic priorities such as a minimum-wage increase"".",1,0.0007944848618029381,0.9775076498912165
00211_8#00211_8_14,00211,00211_8,00211_8_14,The US federal government should increase the minimum wage.,Senator Rick Santorum (R-PA),1,0.00011382802824777468,0.005416147219209122
00211_8#00211_8_2,00211,00211_8,00211_8_2,The US federal government should increase the minimum wage.,Sen. Edward Kennedy,1,1.5616192428668846e-05,6.374936379601354e-05
00211_8#00211_8_3,00211,00211_8,00211_8_3,The US federal government should increase the minimum wage.,Democrats tend to support raising the minimum wage and are making it majority legislative priority for the 110th Congress:,1,0.014808163427818549,0.9932523223343281
00211_8#00211_8_4,00211,00211_8,00211_8_4,The US federal government should increase the minimum wage.,Assistant Majority Leader Dick Durbin:,1,2.106560237560926e-05,0.00012151666580153209
00211_8#00211_8_6,00211,00211_8,00211_8_6,The US federal government should increase the minimum wage.,Nancy Pelosi - 110th Congress House Speaker,1,3.107218908100778e-05,0.0017121596349696268
00211_8#00211_8_7,00211,00211_8,00211_8_7,The US federal government should increase the minimum wage.,Republicans tend to oppose raising the minimum wage:,-1,0.927067507471018,0.2656530214435416
00233_1#00233_1_2,00233,00233_1,00233_1_2,Aboriginals should be treated differently under the law.,"Cultures, including aboriginal traditions, evolve and morph through time and the interaction with other cultures:",-1,0.004037908307294725,0.41188548382924345
00233_1#00233_1_4,00233,00233_1,00233_1_4,Aboriginals should be treated differently under the law.,The treaties were made by a colonial power in a different age and time:,-1,7.125086021387773e-05,0.005195309738379994
00233_1#00233_1_5,00233,00233_1,00233_1_5,Aboriginals should be treated differently under the law.,Aboriginal culture will be lost if modern governments do not help to protect it:,1,0.957852521625879,0.07946338824669222
00233_1#00233_1_6,00233,00233_1,00233_1_6,Aboriginals should be treated differently under the law.,Aboriginals deserve differential treatment as compensation for violated treaties:,1,0.01958495524928251,0.937590065389373
00280_3#00280_3_1,00280,00280_3,00280_3_1,Men found guilty of sex crimes should be chemically castrated.,"Any attempt to ""help"" offender may be soft on him.",-1,0.6670542966630136,0.512698845385191
00280_3#00280_3_2,00280,00280_3,00280_3_2,Men found guilty of sex crimes should be chemically castrated.,Castration exposes sex offenders to side effects,-1,0.9104888146415384,0.9694713137977158
00280_3#00280_3_3,00280,00280_3,00280_3_3,Men found guilty of sex crimes should be chemically castrated.,"Do those that can""t stand side-effects go back to jail.",-1,0.6333728881668046,0.09348098255137678
00280_3#00280_3_4,00280,00280_3,00280_3_4,Men found guilty of sex crimes should be chemically castrated.,Castration is a humane alternative to life-long imprisonment.,1,0.11406983128315722,0.9391877506876903
00280_3#00280_3_5,00280,00280_3,00280_3_5,Men found guilty of sex crimes should be chemically castrated.,Castrating sex offenders less effective than psychotheraphy.,-1,0.9143675965750613,0.9736013340997418
00280_3#00280_3_6,00280,00280_3,00280_3_6,Men found guilty of sex crimes should be chemically castrated.,Castration helps sex offender by freeing them of urges.,1,0.7873503386633589,0.8349762435559897
00321_2#00321_2_1,00321,00321_2,00321_2_1,Human reproductive cloning should be banned and punishments should be leveled against it.,Human cloning would enable infertile couples to have children,-1,0.8737033094794431,0.0861727406463772
00321_2#00321_2_2,00321,00321_2,00321_2_2,Human reproductive cloning should be banned and punishments should be leveled against it.,Cloning allows gay couples to have children of their own blood,-1,0.716891416002828,0.04874099221948678
00321_2#00321_2_3,00321,00321_2,00321_2_3,Human reproductive cloning should be banned and punishments should be leveled against it.,"The ends don""t justify the means in cloning a child.",1,0.8863312140745028,0.5633352111982546
00321_2#00321_2_4,00321,00321_2,00321_2_4,Human reproductive cloning should be banned and punishments should be leveled against it.,By the will of nature/God infertile couples are not meant to reproduce,1,0.333902877461992,0.9864793721575641
00322_13#00322_13_1,00322,00322_13,00322_13_1,The American War on Drugs is succeeding and it should not be abandoned.,State justified in protecting individuals from own drug abuse.,1,0.48772494855022913,0.7347780696893889
00322_13#00322_13_2,00322,00322_13,00322_13_2,The American War on Drugs is succeeding and it should not be abandoned.,"Individuals are at liberty to take drugs, harm themselves",-1,0.9656715672791646,0.7879765031471514
00322_13#00322_13_3,00322,00322_13,00322_13_3,The American War on Drugs is succeeding and it should not be abandoned.,State should not regulate belief in creative value of drugs,-1,0.9246879420171914,0.8139072520014553
00322_13#00322_13_4,00322,00322_13,00322_13_4,The American War on Drugs is succeeding and it should not be abandoned.,War on Drugs is overly punitive and draconian,-1,0.9716483371099082,0.8432374000558025
00322_13#00322_13_5,00322,00322_13,00322_13_5,The American War on Drugs is succeeding and it should not be abandoned.,State should not regulate spiritual interest in drugs,-1,0.9496241393338103,0.8347510576488618
00322_13#00322_13_6,00322,00322_13,00322_13_6,The American War on Drugs is succeeding and it should not be abandoned.,War on Drugs invades privacy of Americans,-1,0.970297858394796,0.8420719407384103
00322_13#00322_13_7,00322,00322_13,00322_13_7,The American War on Drugs is succeeding and it should not be abandoned.,The state is justified in protecting society from drug-users.,1,0.6529127035957814,0.8020396109403298
00387_5#00387_5_1,00387,00387_5,00387_5_1,Hydrogen vehicles should be a major part of strategies to fight global warming.,Hydrogen cars will help end foreign oil dependencies,1,0.019806725719548293,0.9631635861647172
00387_5#00387_5_2,00387,00387_5,00387_5_2,Hydrogen vehicles should be a major part of strategies to fight global warming.,Hydrogen can decrease tensions over oil and promote peace,1,0.009475224565188248,0.8378307336747821
00387_5#00387_5_3,00387,00387_5,00387_5_3,Hydrogen vehicles should be a major part of strategies to fight global warming.,"Uneconomical hydrogen cars can""t lower foreign dependencies.",-1,0.9638732058888783,0.01081734853085535
00387_5#00387_5_4,00387,00387_5,00387_5_4,Hydrogen vehicles should be a major part of strategies to fight global warming.,Alternatives to hydrogen exist to lower foreign oil dependencies.,-1,0.3658716987931412,0.544386257008129
00466_5#00466_5_1,00466,00466_5,00466_5_1,Acts of hate should be criminalized.,Hate crime laws can help emphasize the importance of tolerance.,1,0.5095976805708692,0.3711444716299803
00466_5#00466_5_2,00466,00466_5,00466_5_2,Acts of hate should be criminalized.,Hate crime laws target violent acts not thoughts,1,0.5621806970144498,0.9786758193849909
00466_5#00466_5_3,00466,00466_5,00466_5_3,Acts of hate should be criminalized.,Hate is a learned attribute; no individual is born hating.,1,0.8961896443641809,0.9757599551763486
00466_5#00466_5_4,00466,00466_5,00466_5_4,Acts of hate should be criminalized.,"Hate crime laws won""t change hatred.",-1,0.561360139486341,0.9347243498089868
00466_5#00466_5_5,00466,00466_5,00466_5_5,Acts of hate should be criminalized.,Hate Crime laws would only INCREASE racial tension.,-1,0.593151405350777,0.8224191888890949
00549_10#00549_10_1,00549,00549_10,00549_10_1,The United Kingdom should hand over the Falkland Islands to Argentina.,The Argentines invaded British territory.,-1,0.3727060515543618,0.4319291181282764
00549_10#00549_10_2,00549,00549_10,00549_10_2,The United Kingdom should hand over the Falkland Islands to Argentina.,Britain sent its soldiers to fight an unjust war in the Falkland Islands.,1,0.7835766929351989,0.6734839167275777
00549_10#00549_10_3,00549,00549_10,00549_10_3,The United Kingdom should hand over the Falkland Islands to Argentina.,Returning the Falkland Islands would be an insult to dead soldiers.,-1,0.8764604361411095,0.7762143370229203
00549_10#00549_10_4,00549,00549_10,00549_10_4,The United Kingdom should hand over the Falkland Islands to Argentina.,The British had permission from the UN to use reasonable force to retake the islands,-1,0.19278792566997463,0.9134539675662451
00572_7#00572_7_1,00572,00572_7,00572_7_1,The US-Indian nuclear deal was justified. It should move forward.,US-India nuclear deal heightens India-Pakistan nuclear tensions.,-1,0.0014670407448253533,0.01498630468002351
00572_7#00572_7_3,00572,00572_7,00572_7_3,The US-Indian nuclear deal was justified. It should move forward.,US-India nuclear deal could cause Pakistan to seek similar deal elsewhere.,-1,0.005794084569909381,0.17032868373682283
00572_7#00572_7_4,00572,00572_7,00572_7_4,The US-Indian nuclear deal was justified. It should move forward.,US-India nuclear deal alienates Pakistan (does not have a deal).,-1,0.5498426402085407,0.016046162516154146
00637_3#00637_3_1,00637,00637_3,00637_3_1,Public schools should have condom distribution programs.,Religious considerations are not irrelevant.,-1,0.02047097587647211,0.0005741723002858309
00637_3#00637_3_2,00637,00637_3,00637_3_2,Public schools should have condom distribution programs.,Condoms for students can offend people from different religions.,-1,0.7097975354891208,0.0280861273382429
00637_3#00637_3_3,00637,00637_3,00637_3_3,Public schools should have condom distribution programs.,Putting a condom machine in a school does not mean that all students are encouraged to have sex,1,0.3236609564885259,0.8585578819118684
00750_4#00750_4_1,00750,00750_4,00750_4_1,Governments should require that genetically modified foods be labeled.,Food producers opposing GM labels appear to be hiding risks.,1,0.1902515515440425,0.07339746081183075
00750_4#00750_4_2,00750,00750_4,00750_4_2,Governments should require that genetically modified foods be labeled.,Labeling is part of efforts to stigmatize GM foods,-1,0.8757040815337106,0.2844883324009804
00750_4#00750_4_3,00750,00750_4,00750_4_3,Governments should require that genetically modified foods be labeled.,GM food producers opposing labels seem against consumer choice.,1,0.7140284900809389,0.021600968858145445
00750_4#00750_4_4,00750,00750_4,00750_4_4,Governments should require that genetically modified foods be labeled.,GM labeling improves confidence in food safety measures,1,0.019858317434926276,0.7644020683339252
00750_4#00750_4_5,00750,00750_4,00750_4_5,Governments should require that genetically modified foods be labeled.,Labeling of GM foods alarms and turns-away consumers.,-1,0.8603635688592741,0.11056736394767067
00750_4#00750_4_6,00750,00750_4,00750_4_6,Governments should require that genetically modified foods be labeled.,It is good for labeling to turn consumers off to GM foods.,1,0.08661161095348989,0.5318755351519814
00838_6#00838_6_1,00838,00838_6,00838_6_1,There should be an outright ban on the smacking or spanking of children.,Children deserve the same rights as everyone else.,1,0.9642441736522523,0.11387775909155703
00838_6#00838_6_2,00838,00838_6,00838_6_2,There should be an outright ban on the smacking or spanking of children.,You cannot legally smack an adult.,1,0.0522156352311847,0.06777841060421172
00838_6#00838_6_3,00838,00838_6,00838_6_3,There should be an outright ban on the smacking or spanking of children.,Children deserve rights but smacking can be justified.,-1,0.8876149619322851,0.30386390255779244
00867_2#00867_2_1,00867,00867_2,00867_2_1,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,AIG employees are not only ones capable of restructuring,-1,0.7739161378870621,0.025715652849743476
00867_2#00867_2_2,00867,00867_2,00867_2_2,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,AIG bonuses blackmail taxpayers with threat of collapse,-1,0.51064067532203,0.2773710139469834
00867_2#00867_2_3,00867,00867_2,00867_2_3,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,Bonuses help AIG keep employees and survive,1,0.30368737748003566,0.010169326960938222
00867_2#00867_2_4,00867,00867_2,00867_2_4,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,Reneging AIG bonuses would undermine shareholder confidence,1,0.18363532943427596,0.2166606559495298
00867_2#00867_2_5,00867,00867_2,00867_2_5,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,"AIG workers/execs that caused collapse won""t help recovery",-1,0.0020534541202547637,0.10687588762715289
00867_2#00867_2_6,00867,00867_2,00867_2_6,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,Punishing bonuses will distract AIG from restructuring,1,0.5097287812896901,0.06990365557722779
00883_3#00883_3_1,00883,00883_3,00883_3_1,Puerto Rico should move for US statehood. The US should accept it.,Puerto Rico has waited for too long for full citizenship.,1,0.1400112653472934,0.1751455167058709
00883_3#00883_3_2,00883,00883_3,00883_3_2,Puerto Rico should move for US statehood. The US should accept it.,Puerto Ricans are already considered Americans.,-1,0.02131266949194107,0.6918293996327061
00883_3#00883_3_3,00883,00883_3,00883_3_3,Puerto Rico should move for US statehood. The US should accept it.,Puerto Rican statehood would require changing the US flag.,-1,0.22089806670110293,0.7286570511356386
00883_3#00883_3_4,00883,00883_3,00883_3_4,Puerto Rico should move for US statehood. The US should accept it.,Puerto Rico as colony is unacceptable.,1,0.06261675058370467,0.09433904725471126
00883_3#00883_3_5,00883,00883_3,00883_3_5,Puerto Rico should move for US statehood. The US should accept it.,Puerto Ricans deserve full political rights and citizenship.,1,0.0001480993158109989,0.29900128967355794
00883_3#00883_3_6,00883,00883_3,00883_3_6,Puerto Rico should move for US statehood. The US should accept it.,Puerto Ricans have rejected statehood many times now.,-1,0.003866033284408609,0.0023928505377145705
00883_3#00883_3_7,00883,00883_3,00883_3_7,Puerto Rico should move for US statehood. The US should accept it.,Puerto Ricans have earned statehood through support of US.,1,0.034695559171589126,0.9922676290460718
00883_5#00883_5_1,00883,00883_5,00883_5_1,Puerto Rico should move for US statehood. The US should accept it.,Democrats want Puerto Rican statehood to gain votes,-1,0.0008988772510234214,0.10258152605190604
00883_5#00883_5_2,00883,00883_5,00883_5_2,Puerto Rico should move for US statehood. The US should accept it.,Puerto Rico statehood does not clearly benefit one party,1,0.9430138079490332,0.002841921390558963
00883_5#00883_5_3,00883,00883_5,00883_5_3,Puerto Rico should move for US statehood. The US should accept it.,Puerto Rico would outrank 26 states in size/representation.,-1,0.04147362191215206,0.013299386313955212
00883_5#00883_5_4,00883,00883_5,00883_5_4,Puerto Rico should move for US statehood. The US should accept it.,Puerto Rico statehood forces re-assigning Congressional seats.,-1,0.00024772136450278544,0.009018668618040382
00889_34#00889_34_1,00889,00889_34,00889_34_1,Tibet should seek and gain independence.,Between the 13th and 14th centuries Tibet was under Mongol not Chinese rule,1,0.060464834729466045,0.04226285737867069
00889_34#00889_34_2,00889,00889_34,00889_34_2,Tibet should seek and gain independence.,"Even during the periods of nominal subjugation to the Mongol and Qing Empires, Tibet was largely self-governing.",1,0.03881649523122471,0.29751438823014126
00889_34#00889_34_3,00889,00889_34,00889_34_3,Tibet should seek and gain independence.,Mongolia gave diplomatic recognition to the Tibetan state in 1207,1,0.0077288260733622115,0.6551804525725761
00889_34#00889_34_4,00889,00889_34,00889_34_4,Tibet should seek and gain independence.,Tibet has been part of China since 13th century Mongol invasions,-1,0.11513220736255972,0.17702761809477743
00899_1#00899_1_1,00899,00899_1,00899_1_1,"Govts should mandate that people buy private health insurance, or face penalties.",Health insurance mandates do not foster responsibility,-1,0.8843905793365975,0.004308646379163957
00899_1#00899_1_2,00899,00899_1,00899_1_2,"Govts should mandate that people buy private health insurance, or face penalties.","Health insurance mandates preserve markets, limit govt",1,0.32264776494943337,0.37827229119321576
00899_1#00899_1_3,00899,00899_1,00899_1_3,"Govts should mandate that people buy private health insurance, or face penalties.","Less government, not more, is answer for uninsured",-1,0.6700014624704713,0.07958380057953324
00899_1#00899_1_4,00899,00899_1,00899_1_4,"Govts should mandate that people buy private health insurance, or face penalties.",Mandates in society are very rare and exceptional,-1,0.3648204278623739,0.8921669132670801
00904_6#00904_6_1,00904,00904_6,00904_6_1,The Confederate flag should be banned.,The confederate flag represented more than racism (a complicated issue):,-1,0.015473830465288139,0.9122010644062952
00904_6#00904_6_2,00904,00904_6,00904_6_2,The Confederate flag should be banned.,The Confederate flag is no more racist than the Union flag:,-1,0.008786685192158009,0.9588701267809601
00904_6#00904_6_3,00904,00904_6,00904_6_3,The Confederate flag should be banned.,The Confederate flag has not been a consistent cultural fixture of the South:,1,0.005512233041093358,0.9695097749502173
00904_6#00904_6_4,00904,00904_6,00904_6_4,The Confederate flag should be banned.,The Confederate flag is an important symbol of Southern culture and solidarity:,-1,0.9386209382173193,0.0049363744175502785
00904_6#00904_6_5,00904,00904_6,00904_6_5,The Confederate flag should be banned.,The Confederate flag is inherently racist in its symbolism:,1,0.006392231358452278,0.9702186439594266
00942_5#00942_5_1,00942,00942_5,00942_5_1,Geothermal energy should be a major part of plans to combat global warming.,Geothermal energy does not cause acid rain like fossil fuels.,1,0.6816978295111907,0.09555641976129965
00942_5#00942_5_2,00942,00942_5,00942_5_2,Geothermal energy should be a major part of plans to combat global warming.,Geothermal energy takes less land than other renewables,1,0.8952404124974126,0.015131357856276981
00942_5#00942_5_3,00942,00942_5,00942_5_3,Geothermal energy should be a major part of plans to combat global warming.,Geothermal drilling can release toxic gases from the earth,-1,0.5901714868127054,0.1776448480042515
00942_5#00942_5_4,00942,00942_5,00942_5_4,Geothermal energy should be a major part of plans to combat global warming.,The environmental benefits of geothermal outweigh the costs,1,0.02437294965488605,0.8985605384193771
00942_5#00942_5_5,00942,00942_5,00942_5_5,Geothermal energy should be a major part of plans to combat global warming.,Geothermal drilling can be regulated to avoid releasing toxins.,1,0.03859403059288157,0.4997980020124638
00942_5#00942_5_6,00942,00942_5,00942_5_6,Geothermal energy should be a major part of plans to combat global warming.,Geothermal energy does not release any waste byproduct.,1,0.8884771791158539,0.006733331080673734
00942_5#00942_5_7,00942,00942_5,00942_5_7,Geothermal energy should be a major part of plans to combat global warming.,Geothermal energy drilling and extraction can cause earthquakes,-1,0.714806652807442,0.15193248800044348
00942_5#00942_5_8,00942,00942_5,00942_5_8,Geothermal energy should be a major part of plans to combat global warming.,Geothermal wastewater contains toxic chemicals.,-1,0.09175580948004529,0.0004148921949743117
00971_4#00971_4_4,00971,00971_4,00971_4_4,The state should be fully privatised.,The electorate will hold elected officials accountable to running state-owned companies efficiently:,-1,0.002513289749387192,0.8234929256629913
00971_4#00971_4_5,00971,00971_4,00971_4_5,The state should be fully privatised.,"Natural monopolies are by definition not subject to competition, and may be better administered by the state.",-1,0.2220634151137599,0.9467004880105174
00971_4#00971_4_6,00971,00971_4,00971_4_6,The state should be fully privatised.,The most efficient and consumer friendly services are provided in industries driven by free choice and the power of the buyer.,1,0.0008036038807601786,0.29461284677664895
01015_1#01015_1_1,01015,01015_1,01015_1_1,There should be a tax on fatty foods.,A fat tax will not solve the problem of low exercise levels,-1,0.8818894744171207,0.04539087249212275
01015_1#01015_1_2,01015,01015_1,01015_1_2,There should be a tax on fatty foods.,"A fat-tax won""t solve the problem of over-eating.",-1,0.9295436299206712,0.11167245384216527
01015_1#01015_1_3,01015,01015_1,01015_1_3,There should be a tax on fatty foods.,"A ""fat tax"" would save lives.",1,0.07381729445045285,0.8780180733122046
01015_1#01015_1_4,01015,01015_1,01015_1_4,There should be a tax on fatty foods.,Pandoras Box has been opened.,-1,0.13417322751832453,0.03357812163328091
01015_1#01015_1_5,01015,01015_1,01015_1_5,There should be a tax on fatty foods.,"Obesity is an ""epidemic"" that warrants a fat tax",1,0.3283048826576349,0.8888904604065734
01015_1#01015_1_6,01015,01015_1,01015_1_6,There should be a tax on fatty foods.,A fat tax is just as appropriate as cigarette and alcohol taxes,1,0.04550853687337742,0.8901252031054553
01021_6#01021_6_1,01021,01021_6,01021_6_1,The military should be allowed to recruit in public schools.,Military does not equate educationally disadvantaged students necessarily as good soldiers.,-1,0.6989364085937804,0.8083615669533946
01021_6#01021_6_2,01021,01021_6,01021_6_2,The military should be allowed to recruit in public schools.,Military provides important role in disadvantaged communities,1,0.009215114564827242,0.4365747743405491
01021_6#01021_6_3,01021,01021_6,01021_6_3,The military should be allowed to recruit in public schools.,Military wrongly targets disadvantaged communities.,-1,0.9634286160501341,0.0012757317593565865
